northing, easting, zone, longitude, latitude
NaN,NaN,NaN,NaN,NaN
4777436.519,532124.0816,30,-2.6049241307691333,43.14899608453319
4779715.773,531000.5783,30,-2.6186135245360314,43.16956681885294
4779313.024,532159.4404,30,-2.604380286926283,43.16589180970651
4777072.989,532457.6901,30,-2.6008426663164768,43.14570838817493
4777964.231,531388.7069,30,-2.613937975746269,43.15377881432297
4777566.585,531399.8838,30,-2.613823055046256,43.150197689092664
4774608.062,531328.0271,30,-2.6148740035704594,43.12356014345903
4777400.603,532071.9075,30,-2.6055678551131916,43.14867488754938
4778018.01,533791.3865,30,-2.5843839294749666,43.15415954857928
4778186.07,531611.7723,30,-2.6111818042537527,43.155767104432506
4779313.656,531216.6956,30,-2.615977470920411,43.165937013356825
4774559.689,531307.698,30,-2.615126641065838,43.12312540032922
4777746.203,531609.1147,30,-2.611239599054439,43.151806371506645
4775421.649,529949.4021,30,-2.631777613287138,43.13094203903121
4774535.309,531297.3589,30,-2.6152551151156413,43.12290629334431
4777377.036,532079.6868,30,-2.60547354950088,43.148462345308054
4778093.041,531149.7891,30,-2.6168692090613157,43.15494857977488
4777162.254,532227.8313,30,-2.603664158431908,43.146522013803164
4776451.706,532794.4767,30,-2.596737813046152,43.14009943434071
4779169.747,532468.038,30,-2.6005924695362306,43.16458846669869
4776818.139,532234.0342,30,-2.6036078987149676,43.143423115882484
4778367.681,531778.9511,30,-2.609115163151829,43.157395438892024
4779305.375,531614.7071,30,-2.6110817834125006,43.16584590783295
4777433.263,531423.8703,30,-2.6135356232669023,43.1489961752371
4777209.48,532092.4451,30,-2.605326354728877,43.14695302217837
4790413.449,504851.6711,30,-2.9402173571546704,43.26651669996278
4779313.026,532159.8765,30,-2.604374922110792,43.165891809165736
4780148.634,531935.3457,30,-2.6070887682227672,43.17342565116964
4780419.992,531944.044,30,-2.6069660826233094,43.17586875454122
4775351.385,532173.2799,30,-2.604440138652005,43.13021808134293
4775866.859,531612.4165,30,-2.6113062179605757,43.13488338624205
4779213.04,531676.9774,30,-2.6103210481166137,43.16501185976684
4779269.165,532167.0682,30,-2.604289002497304,43.16549655185866
4775349.208,532166.7159,30,-2.604520965285611,43.13019875712726
4777518.593,531734.0599,30,-2.6097159746261767,43.14975159320593
4777002.77,532091.4914,30,-2.605350057384968,43.145091712264126
4779782.069,530826.7943,30,-2.6207477730376763,43.17017089606998
4778406.321,532440.9042,30,-2.600970989607937,43.15771527244466
4778296.808,532501.8514,30,-2.600227774526607,43.156726532356345
NaN,NaN,30,NaN,NaN
4777892.418,532636.1567,30,-2.5985996951713917,43.15307936853004
4777647.466,531864.816,30,-2.608100482163251,43.150906551975396
4778199.942,531503.8284,30,-2.6125086726141804,43.15589652077875
4779163.031,531477.1459,30,-2.6127820934359707,43.16456989333487
4776770.573,532197.8483,30,-2.6040556418813186,43.14299634144668
4776866.603,532275.8939,30,-2.6030903256418294,43.14385773267544
4778244.112,531538.2341,30,-2.612082982427126,43.15629282168245
4779313.656,531216.6956,30,-2.615977470920411,43.165937013356825
4778064.22,531209.8682,30,-2.6161318991778213,43.15468658020975
NaN,NaN,30,NaN,NaN
4778573.442,532532.4613,30,-2.5998350272606565,43.15921620062516
4778126.628,533916.0603,30,-2.5828438951405803,43.155132030796395
4777178.019,532090.3244,30,-2.6053542570224746,43.14666981700603
4777811.181,531411.7423,30,-2.613663341866926,43.15239969730314
4774751.723,530718.1863,30,-2.6223628640117354,43.12487875421406
4776623.208,530026.0028,30,-2.6307707490284047,43.141758668352395
4777708.946,532162.671,30,-2.604433733123448,43.151447551497235
4776014.692,530574.9101,30,-2.6240545585210056,43.13625719823939
