northing,easting,zone
"4777436,519","532124,0816",30
"4779715,773","531000,5783",30
"4779313,024","532159,4404",30
"4777072,989","532457,6901",30
"4777964,231","531388,7069",30
"4777566,585","531399,8838",30
"4774608,062","531328,0271",30
"4777400,603","532071,9075",30
"4778018,01","533791,3865",30
"4778186,07","531611,7723",30
"4779313,656","531216,6956",30
"4774559,689","531307,698",30
"4777746,203","531609,1147",30
"4775421,649","529949,4021",30
"4774535,309","531297,3589",30
"4777377,036","532079,6868",30
"4778093,041","531149,7891",30
"4777162,254","532227,8313",30
"4776451,706","532794,4767",30
"4779169,747","532468,038",30
"4776818,139","532234,0342",30
"4778367,681","531778,9511",30
"4779305,375","531614,7071",30
"4777433,263","531423,8703",30
"4777209,48","532092,4451",30
"4790413,449","504851,6711",30
"4779313,026","532159,8765",30
"4780148,634","531935,3457",30
"4780419,992","531944,044",30
"4775351,385","532173,2799",30
"4775866,859","531612,4165",30
"4779213,04","531676,9774",30
"4779269,165","532167,0682",30
"4775349,208","532166,7159",30
"4777518,593","531734,0599",30
"4777002,77","532091,4914",30
"4779782,069","530826,7943",30
"4778406,321","532440,9042",30
"4778296,808","532501,8514",30
,,30
"4777892,418","532636,1567",30
"4777647,466","531864,816",30
"4778199,942","531503,8284",30
"4779163,031","531477,1459",30
"4776770,573","532197,8483",30
"4776866,603","532275,8939",30
"4778244,112","531538,2341",30
"4779313,656","531216,6956",30
"4778064,22","531209,8682",30
,,30
"4778573,442","532532,4613",30
"4778126,628","533916,0603",30
"4777178,019","532090,3244",30
"4777811,181","531411,7423",30
"4774751,723","530718,1863",30
"4776623,208","530026,0028",30
"4777708,946","532162,671",30
"4776014,692","530574,9101",30
"4777927,186","531475,5494",30
,,30
"4777234,457","531867,6071",30
"4777392,154","532073,3792",30
"4779425,529","531552,6421",30
"4777540,199","531727,5973",30
"4777609,076","531660,6952",30
"4779820,689","531510,9627",30
"4778573,442","532532,4613",30
"4779789,966","531824,9561",30
"4778058,736","531461,8018",30
"4778186,551","531288,0075",30
,,30
,,30
"4779949,487","532009,2702",30
"4780141,296","531873,6933",30
"4777060,421","532316,0029",30
"4776072,417","530245,0271",30
"4777877,849","531450,3348",30
"4778578,758","531424,8129",30
"4779831,396","531778,6308",30
"4779515,649","531804,9317",30
"4777626,394","531592,1878",30
"4774792,184","530721,38",30
"4778228,92","532750,1",30
"4779702,54","531782,85",30
"4777994,594","531123,1002",30
"4776967,85","532324,97",30
"4774515,66","531327,14",30
"4777297,64","532066,41",30
"4778034,7","533768,27",30
"4796139,304","493654,7297",30
"4794903,605","493153,9094",30
"4796019,557","494041,4094",30
"4797202,548","493941,5156",30
"4796363,755","493974,4683",30
"4795788,881","493928,524",30
"4795780,364","493937,181",30
"4796218,752","493883,6934",30
"4796787,637","494028,5944",30
"4795932,096","493047,4533",30
"4795775,728","494292,7953",30
"4795456,797","493454,6897",30
"4796073,501","492162,6284",30
"4795942,859","493453,7437",30
"4795787,541","493860,5474",30
"4796651,631","494374,6021",30
"4795478,592","494018,4113",30
"4796791,404","494094,2005",30
"4796293,596","493918,5728",30
"4795897,585","493956,1937",30
,,30
"4795380,415","492010,9635",30
"4796895,15","494031,0499",30
"4795583,032","494036,8691",30
,,30
"4795554,329","494045,6675",30
"4796288,24","493422,3089",30
,,30
"4794899,565","492738,8819",30
"4796110,295","492032,2991",30
"4794482,35","493320,9322",30
"4794480,827","493326,7736",30
"4795764,257","491190,2513",30
,,30
"4796718,136","492752,8083",30
"4796286,672","493423,0298",30
"4793648,072","490749,4478",30
"4796709,173","492655,1598",30
,,30
,,30
"4795583,871","494037,4305",30
,,30
"4795617,059","493929,9306",30
"4796092,684","492320,823",30
,,30
"4795893,62","492267,9772",30
,,30
"4795444,915","492781,9877",30
"4794295,255","493713,3228",30
"4797196,892","493893,3436",30
,,30
"4796440,677","494220,1129",30
"4795921,69","491146,2454",30
,,30
"4794903,52","492634,588",30
"4796405,41","492048,02",30
"4796047,777","492473,6544",30
"4796040,055","492352,3697",30
"4796850,103","493177,6093",30
"4795513,17","492959,9532",30
"4795419,169","493002,5048",30
"4796464,987","493638,5021",30
"4794309,337","493520,1536",30
"4794309,337","493520,1536",30
"4796108,898","492585,4414",30
,,30
"4795564,58","494010,78",30
"4793378,275","493920,1293",30
"4795586,457","492430,5496",30
"4795749,001","494265,6208",30
"4796629,926","493240,4231",30
"4796517,432","493764,0694",30
"4795611,584","491543,0336",30
"4795504,587","491155,7776",30
"4794945,569","492160,5615",30
"4796013,621","493730,0332",30
"4796548,678","493113,5705",30
"4796246,386","493619,7582",30
"4795306,732","491425,531",30
"4796822,616","494552,7796",30
"4796059,789","492638,8265",30
"4795753,56","492570,3199",30
"4795816,344","492295,7979",30
"4796651,631","494374,6021",30
"4796643,483","493952,1822",30
"4796345,234","493505,3848",30
"4795678,224","494253,9235",30
"4796430,977","493189,4118",30
"4796474,056","492855,4843",30
"4796120,722","491930,933",30
"4795936,317","492333,0119",30
"4796452,502","493583,6424",30
"4796350,731","493496,2685",30
"4796789,172","494128,4762",30
"4793281,627","493539,4921",30
"4795686,073","493979,0583",30
"4797116,446","494004,643",30
"4796972,169","493979,4544",30
"4796952,782","493984,3352",30
"4796833,071","493605,8765",30
"4796352,712","491669,4222",30
"4796205,585","491492,6204",30
"4795522,141","493909,2639",30
"4793720,251","490723,6637",30
"4796673,002","494087,9797",30
"4796927,005","494334,6006",30
,,30
,,30
"4796651,631","494374,6021",30
"4795777,195","494284,5648",30
"4795636,087","493088,6303",30
"4795054,877","492754,0816",30
"4793912,576","494042,9245",30
"4796339,448","493953,4164",30
,,30
"4795486,871","493872,5107",30
"4796120,444","491863,8915",30
"4794840,34","493250,47",30
"4796482,286","493239,8865",30
"4796315,437","493034,0561",30
"4795757,103","494304,1768",30
"4795982,307","492505,5267",30
"4795711,236","491478,2185",30
"4797154,227","494045,6129",30
"4795652,618","493986,924",30
"4794920,993","492752,9004",30
"4797449,756","494138,161",30
"4794917,765","492079,4973",30
"4796141,579","493664,0719",30
"4796651,631","494374,6021",30
"4795800,729","494276,2526",30
"4795820,479","494274,1452",30
"4796313,391","493581,46",30
"4794261,525","493636,8964",30
"4795861,339","493990,1563",30
"4796543,211","493464,6142",30
"4797120,735","494055,8782",30
"4795934,023","493981,7221",30
"4796553,93","493466,9989",30
"4796095,238","492889,9934",30
"4795916,802","492268,3549",30
"4796647,592","493174,1626",30
"4795848,252","494088,0621",30
"4796120,393","492574,2193",30
"4797116,838","494080,5879",30
"4796109,664","492513,5852",30
"4796285,484","493913,7859",30
"4795576,96","494365,94",30
"4795873,1","493811,33",30
"4797128,183","493966,7027",30
"4793461,233","527185,1819",30
"4795118,721","527836,3818",30
"4795652,681","527073,7193",30
"4795917,736","527184,0284",30
"4794127,249","526601,1428",30
"4795520,254","527002,8989",30
"4795920,105","527164,5749",30
"4794502,437","527043,5064",30
"4795891,736","527184,1327",30
"4795681,298","527479,0702",30
"4794339,597","526968,9531",30
"4790494,092","481033,4298",30
"4794353,528","526159,9097",30
"4793077,49","527145,1717",30
"4794560,353","526550,7191",30
"4795728,972","527416,6653",30
"4794433,632","527060,0983",30
"4795758,614","527497,7897",30
"4795768,694","527424,2839",30
