code,year,month,humedad_media_diaria
C076,2016,1,86.1
C076,2016,2,86.4
C076,2016,3,84.6
C076,2016,4,79.7
C076,2016,5,77.3
C076,2016,6,77.6
C076,2016,7,76.5
C076,2016,8,71.7
C076,2016,9,77.9
C076,2016,10,82.9
C076,2016,11,87.0
C076,2016,12,93.0
C056,2016,1,90.9
C056,2016,2,90.3
C056,2016,3,88.8
C056,2016,4,83.1
C056,2016,5,80.4
C056,2016,6,80.5
C056,2016,7,77.9
C056,2016,8,69.7
C056,2016,9,78.6
C056,2016,10,84.1
C056,2016,11,93.1
C035,2016,1,91.9
C035,2016,2,94.2
C035,2016,3,95.3
C035,2016,4,89.4
C035,2016,5,83.0
C035,2016,6,85.8
C035,2016,7,88.6
C035,2016,8,83.7
C035,2016,9,87.1
C035,2016,10,93.4
C035,2016,11,96.8
C035,2016,12,98.5
C001,2016,1,85.6
C001,2016,2,86.1
C001,2016,3,83.1
C001,2016,4,80.2
C001,2016,5,78.1
C001,2016,6,77.7
C001,2016,7,76.1
C001,2016,8,71.1
C001,2016,9,77.2
C001,2016,10,82.7
C001,2016,11,87.6
C001,2016,12,94.1
C025,2016,1,85.2
C025,2016,2,86.7
C025,2016,3,87.8
C025,2016,4,81.9
C025,2016,5,80.5
C025,2016,6,83.9
C025,2016,7,84.9
C025,2016,8,74.5
C025,2016,9,77.9
C025,2016,10,81.8
C025,2016,11,87.2
C025,2016,12,92.2
C034,2016,1,84.4
C034,2016,2,82.0
C034,2016,3,80.4
C034,2016,4,77.7
C034,2016,5,76.3
C034,2016,6,73.8
C034,2016,7,67.9
C034,2016,8,63.6
C034,2016,9,69.6
C034,2016,10,75.2
C034,2016,11,83.3
C034,2016,12,93.8
C0AA,2016,1,88.2
C0AA,2016,2,87.8
C0AA,2016,3,85.8
C0AA,2016,4,81.3
C0AA,2016,5,81.1
C0AA,2016,6,80.2
C0AA,2016,7,78.0
C0AA,2016,8,71.5
C0AA,2016,9,77.5
C0AA,2016,10,82.0
C0AA,2016,11,87.1
C0AA,2016,12,94.7
C067,2016,1,77.5
C067,2016,2,80.2
C067,2016,3,80.5
C067,2016,4,69.9
C067,2016,5,71.1
C067,2016,6,73.9
C067,2016,7,74.4
C067,2016,8,69.8
C067,2016,9,74.6
C067,2016,10,76.8
C067,2016,11,81.7
C067,2016,12,81.4
C040,2016,1,79.3
C040,2016,2,79.4
C040,2016,3,76.5
C040,2016,4,71.8
C040,2016,5,70.2
C040,2016,6,73.1
C040,2016,7,74.2
C040,2016,8,67.9
C040,2016,9,72.2
C040,2016,10,75.5
C040,2016,11,79.3
C040,2016,12,89.9
C044,2016,1,95.8
C044,2016,2,88.0
C044,2016,3,85.7
C044,2016,4,82.6
C044,2016,5,80.2
C044,2016,6,84.1
C044,2016,7,85.3
C044,2016,8,80.1
C044,2016,9,83.8
C044,2016,10,88.5
C044,2016,11,91.3
C044,2016,12,95.1
C048,2016,1,94.8
C048,2016,2,92.7
C048,2016,3,94.0
C048,2016,4,88.9
C048,2016,5,79.0
C048,2016,6,79.2
C048,2016,7,80.8
C048,2016,8,71.0
C048,2016,9,76.0
C048,2016,10,78.1
C048,2016,11,88.2
C048,2016,12,77.9
C068,2016,1,83.8
C068,2016,2,81.6
C068,2016,3,80.3
C068,2016,4,74.1
C068,2016,5,74.6
C068,2016,6,74.3
C068,2016,7,71.9
C068,2016,8,62.5
C068,2016,9,71.0
C068,2016,10,75.5
C068,2016,11,82.5
C068,2016,12,88.2
C024,2016,1,89.5
C024,2016,2,88.8
C024,2016,3,86.8
C024,2016,4,81.0
C024,2016,5,80.4
C024,2016,6,78.8
C024,2016,7,75.3
C024,2016,8,65.0
C024,2016,9,73.9
C024,2016,10,80.9
C024,2016,11,88.8
C024,2016,12,87.0
C00A,2016,1,85.6
C00A,2016,2,81.2
C00A,2016,3,78.4
C00A,2016,4,73.1
C00A,2016,5,72.8
C00A,2016,6,66.8
C00A,2016,7,63.2
C00A,2016,8,56.0
C00A,2016,9,65.7
C00A,2016,10,77.2
C00A,2016,11,85.0
C00A,2016,12,93.9
C047,2016,1,94.0
C047,2016,2,92.6
C047,2016,3,93.0
C047,2016,4,87.5
C047,2016,5,84.4
C047,2016,6,82.7
C047,2016,7,82.3
C047,2016,8,71.7
C047,2016,9,77.9
C047,2016,10,81.3
C047,2016,11,90.6
C047,2016,12,82.2
C031,2016,1,80.2
C031,2016,2,74.1
C031,2016,3,73.0
C031,2016,4,69.6
C031,2016,5,67.6
C031,2016,6,60.7
C031,2016,7,60.9
C031,2016,8,53.6
C031,2016,9,61.8
C031,2016,10,72.0
C031,2016,11,79.1
C031,2016,12,91.2
C041,2016,1,87.8
C041,2016,2,87.7
C041,2016,3,84.9
C041,2016,4,79.5
C041,2016,5,76.5
C041,2016,6,74.3
C041,2016,7,72.3
C041,2016,8,64.4
C041,2016,9,73.5
C041,2016,10,81.8
C041,2016,11,88.9
C041,2016,12,95.6
C055,2016,1,82.7
C055,2016,2,81.4
C055,2016,3,80.2
C055,2016,4,76.1
C055,2016,5,76.1
C055,2016,6,76.8
C055,2016,7,77.2
C055,2016,8,72.7
C055,2016,9,78.6
C055,2016,10,83.2
C055,2016,11,85.5
C055,2016,12,91.8
C060,2016,1,83.0
C060,2016,2,77.9
C060,2016,3,75.2
C060,2016,4,70.3
C060,2016,5,67.1
C060,2016,6,63.2
C060,2016,7,63.7
C060,2016,8,56.4
C060,2016,9,65.1
C060,2016,10,74.6
C060,2016,11,80.8
C060,2016,12,93.7
C021,2016,1,96.1
C021,2016,2,95.2
C021,2016,3,95.1
C021,2016,4,91.1
C021,2016,5,87.5
C021,2016,6,85.7
C021,2016,7,80.9
C021,2016,8,69.0
C021,2016,9,78.0
C021,2016,10,86.3
C021,2016,11,93.2
C021,2016,12,88.1
C030,2016,1,83.9
C030,2016,2,82.2
C030,2016,3,79.9
C030,2016,4,75.3
C030,2016,5,75.6
C030,2016,6,75.6
C030,2016,7,70.5
C030,2016,8,61.5
C030,2016,9,69.9
C030,2016,10,75.5
C030,2016,11,83.8
C030,2016,12,91.2
C051,2016,1,72.1
C051,2016,2,75.9
C051,2016,3,76.5
C051,2016,4,68.8
C051,2016,5,69.0
C051,2016,6,72.2
