code,year,month,lam_agua_nivel_medio
C076,2016,1,0.082
C076,2016,2,0.349
C076,2016,3,0.890
C076,2016,4,0.159
C076,2016,5,0.066
C076,2016,6,0.058
C076,2016,7,0.054
C076,2016,8,0.054
C076,2016,9,0.052
C076,2016,10,0.049
C076,2016,11,0.059
C076,2016,12,0.046
C056,2016,1,0.287
C056,2016,2,0.657
C056,2016,3,0.947
C056,2016,4,0.543
C056,2016,5,0.339
C056,2016,6,0.431
C056,2016,7,0.435
C056,2016,8,0.374
C056,2016,9,0.505
C056,2016,10,0.276
C056,2016,11,0.160
C056,2016,12,0.151
C0AA,2016,1,0.397
C0AA,2016,2,0.691
C0AA,2016,3,0.741
C0AA,2016,4,0.418
C0AA,2016,5,0.250
C0AA,2016,6,0.164
C0AA,2016,7,0.096
C0AA,2016,8,0.049
C0AA,2016,9,0.067
C0AA,2016,10,0.069
C0AA,2016,11,0.182
C0AA,2016,12,0.193
C067,2016,1,0.270
C067,2016,2,0.503
C067,2016,3,0.573
C067,2016,4,0.392
C067,2016,5,0.209
C067,2016,6,0.140
C067,2016,7,0.111
C067,2016,8,0.093
C067,2016,9,0.111
C067,2016,10,0.093
C067,2016,11,0.215
C067,2016,12,0.150
C055,2016,1,0.133
C055,2016,2,0.329
C055,2016,3,0.413
C055,2016,4,0.218
C055,2016,5,0.095
C055,2016,6,0.096
C055,2016,7,0.111
C055,2016,8,0.115
C055,2016,9,0.084
C055,2016,10,0.109
C055,2016,11,0.304
C055,2016,12,0.314
C051,2016,1,0.203
C051,2016,2,0.393
C051,2016,3,0.408
C051,2016,4,0.278
C051,2016,5,0.151
C051,2016,6,0.115
C051,2016,7,0.094
C051,2016,8,0.084
C051,2016,9,0.093
C051,2016,10,0.081
C051,2016,11,0.170
C051,2016,12,0.118
C0A0,2016,1,0.235
C0A0,2016,2,0.396
C0A0,2016,3,0.468
C0A0,2016,4,0.295
C0A0,2016,5,0.176
C0A0,2016,6,0.122
C0A0,2016,7,0.081
C0A0,2016,8,0.046
C0A0,2016,9,0.086
C0A0,2016,10,0.069
C0A0,2016,11,0.228
C0A0,2016,12,0.165
C0B1,2016,1,0.430
C0B1,2016,2,1.021
C0B1,2016,3,1.177
C0B1,2016,4,0.576
C0B1,2016,5,0.244
C0B1,2016,6,0.165
C0B1,2016,7,0.101
C0B1,2016,8,0.060
C0B1,2016,9,0.142
C0B1,2016,10,0.076
C0B1,2016,11,0.421
C0B1,2016,12,0.179
C079,2016,1,0.470
C079,2016,2,0.806
C079,2016,3,0.799
C079,2016,4,0.493
C079,2016,5,0.341
C079,2016,6,0.307
C079,2016,7,0.274
C079,2016,8,0.240
C079,2016,9,0.275
C079,2016,10,0.251
C079,2016,11,0.473
C079,2016,12,0.303
C0C1,2016,1,0.768
C0C1,2016,2,1.067
C0C1,2016,3,1.337
C0C1,2016,4,0.948
C0C1,2016,5,0.574
C0C1,2016,6,0.482
C0C1,2016,7,0.432
C0C1,2016,8,0.397
C0C1,2016,9,0.411
C0C1,2016,10,0.389
C0C1,2016,11,0.539
C0C1,2016,12,0.461
C032,2016,1,0.281
C032,2016,2,0.413
C032,2016,3,0.455
C032,2016,4,0.341
C032,2016,5,0.257
C032,2016,6,0.241
C032,2016,7,0.233
C032,2016,8,0.220
C032,2016,9,0.242
C032,2016,10,0.225
C032,2016,11,0.289
C032,2016,12,0.247
C0C2,2016,1,0.318
C0C2,2016,2,0.487
C0C2,2016,3,0.638
C0C2,2016,4,0.404
C0C2,2016,5,0.307
C0C2,2016,6,0.279
C0C2,2016,7,0.261
C0C2,2016,8,0.255
C0C2,2016,9,0.258
C0C2,2016,10,0.253
C0C2,2016,11,0.288
C0C2,2016,12,0.270
C0BE,2016,1,0.274
C0BE,2016,2,0.518
C0BE,2016,3,0.463
C0BE,2016,4,0.288
C0BE,2016,5,0.185
C0BE,2016,6,0.166
C0BE,2016,7,0.141
C0BE,2016,8,0.122
C0BE,2016,9,0.131
C0BE,2016,10,0.111
C0BE,2016,11,0.270
C0BE,2016,12,0.145
C074,2016,1,0.189
C074,2016,2,0.340
C074,2016,3,0.342
C074,2016,4,0.229
C074,2016,5,0.143
C074,2016,6,0.119
C074,2016,7,0.108
C074,2016,8,0.095
C074,2016,9,0.097
C074,2016,10,0.090
C074,2016,11,0.168
C074,2016,12,0.115
C0BD,2016,1,0.240
C0BD,2016,2,0.386
C0BD,2016,3,0.364
C0BD,2016,4,0.234
C0BD,2016,5,0.158
C0BD,2016,6,0.144
C0BD,2016,7,0.125
C0BD,2016,8,0.111
C0BD,2016,9,0.119
C0BD,2016,10,0.110
C0BD,2016,11,0.238
C0BD,2016,12,0.136
C0B7,2016,1,0.243
C0B7,2016,2,0.411
C0B7,2016,3,0.446
C0B7,2016,4,0.255
C0B7,2016,5,0.168
C0B7,2016,6,0.155
C0B7,2016,7,0.137
C0B7,2016,8,0.111
C0B7,2016,9,0.127
C0B7,2016,10,0.111
C0B7,2016,11,0.276
C0B7,2016,12,0.151
C057,2016,1,0.662
C057,2016,2,1.520
C057,2016,3,1.238
C057,2016,4,0.568
C057,2016,5,0.439
C057,2016,6,0.404
C057,2016,7,0.342
C057,2016,8,0.286
C057,2016,9,0.357
C057,2016,10,0.313
C057,2016,11,0.903
C057,2016,12,0.436
C063,2016,1,0.255
C063,2016,2,0.472
C063,2016,3,0.440
C063,2016,4,0.241
C063,2016,5,0.183
C063,2016,6,0.163
C063,2016,7,0.144
C063,2016,8,0.126
C063,2016,9,0.146
C063,2016,10,0.120
C063,2016,11,0.254
C063,2016,12,0.147
C0BA,2016,1,0.263
C0BA,2016,2,0.544
C0BA,2016,3,0.446
C0BA,2016,4,0.261
C0BA,2016,5,0.157
C0BA,2016,6,0.142
C0BA,2016,7,0.116
C0BA,2016,8,0.097
C0BA,2016,9,0.116
C0BA,2016,10,0.104
C0BA,2016,11,0.319
C0BA,2016,12,0.144
C0B4,2016,1,0.133
C0B4,2016,2,0.341
C0B4,2016,3,0.400
C0B4,2016,4,0.187
C0B4,2016,5,0.080
C0B4,2016,6,0.055
C0B4,2016,7,0.063
C0B4,2016,8,0.066
C0B4,2016,9,0.055
C0B4,2016,10,0.025
C0B4,2016,11,0.109
C0B4,2016,12,0.078
C054,2016,1,0.323
C054,2016,2,0.594
C054,2016,3,0.603
C054,2016,4,0.321
C054,2016,5,0.172
C054,2016,6,0.115
C054,2016,7,0.071
C054,2016,8,0.044
C054,2016,9,0.059
C054,2016,10,0.058
C054,2016,11,0.263
C054,2016,12,0.146
C0B9,2016,1,0.511
C0B9,2016,2,0.838
C0B9,2016,3,0.756
C0B9,2016,4,0.492
C0B9,2016,5,0.422
C0B9,2016,6,0.391
C0B9,2016,7,0.379
C0B9,2016,8,0.337
C0B9,2016,9,0.387
C0B9,2016,10,0.357
C0B9,2016,11,0.551
C0B9,2016,12,0.410
C0C4,2016,1,0.390
C0C4,2016,2,0.584
C0C4,2016,3,0.729
C0C4,2016,4,0.520
C0C4,2016,5,0.354
C0C4,2016,6,0.308
C0C4,2016,7,0.284
C0C4,2016,8,0.269
C0C4,2016,9,0.275
C0C4,2016,10,0.262
C0C4,2016,11,0.351
C0C4,2016,12,0.326
C0B3,2016,1,0.324
C0B3,2016,2,0.749
C0B3,2016,3,1.019
C0B3,2016,4,0.444
C0B3,2016,5,0.226
C0B3,2016,6,0.203
C0B3,2016,7,0.162
C0B3,2016,8,0.136
C0B3,2016,9,0.185
C0B3,2016,10,0.180
C0B3,2016,11,0.317
C0B3,2016,12,0.203
C0E5,2016,1,0.278
C0E5,2016,2,0.432
C0E5,2016,3,0.472
C0E5,2016,4,0.340
C0E5,2016,5,0.199
