code,year,month,lam_agua_nivel_min
C076,2019,1,0.028
C076,2019,2,0.055
C076,2019,3,0.035
C076,2019,4,0.033
C076,2019,5,0.017
C076,2019,6,0.033
C076,2019,7,0.046
C076,2019,8,0.039
C076,2019,9,0.042
C076,2019,10,0.036
C076,2019,11,0.037
C076,2019,12,0.084
C0A4,2019,1,0.225
C0A4,2019,2,0.268
C0A4,2019,3,0.218
C0A4,2019,4,0.230
C0A4,2019,5,0.196
C0A4,2019,6,0.133
C0A4,2019,7,0.076
C0A4,2019,8,0.047
C0A4,2019,9,0.007
C0A4,2019,10,0.075
C0A4,2019,11,0.090
C0A4,2019,12,0.307
C056,2019,1,0.182
C056,2019,2,0.300
C056,2019,3,0.196
C056,2019,4,0.190
C056,2019,5,0.213
C056,2019,6,0.146
C056,2019,7,0.084
C056,2019,8,0.120
C056,2019,9,0.500
C056,2019,10,0.098
C056,2019,11,0.105
C056,2019,12,0.356
C0A3,2019,1,0.402
C0A3,2019,2,0.389
C0A3,2019,3,0.445
C0A3,2019,4,0.461
C0A3,2019,5,0.405
C0A3,2019,6,0.402
C0A3,2019,7,0.430
C0A3,2019,8,0.404
C0A3,2019,9,0.380
C0A3,2019,10,0.399
C0A3,2019,11,0.439
C0A3,2019,12,0.509
C0A2,2019,1,0.117
C0A2,2019,2,0.219
C0A2,2019,3,0.159
C0A2,2019,4,0.152
C0A2,2019,5,0.140
C0A2,2019,6,0.074
C0A2,2019,7,0.001
C0A2,2019,8,0.000
C0A2,2019,9,0.000
C0A2,2019,10,0.000
C0A2,2019,11,0.097
C0A2,2019,12,0.220
C0AA,2019,1,0.207
C0AA,2019,2,0.284
C0AA,2019,3,0.193
C0AA,2019,4,0.186
C0AA,2019,5,0.160
C0AA,2019,6,0.001
C0AA,2019,7,0.001
C0AA,2019,8,0.000
C0AA,2019,9,0.004
C0AA,2019,10,0.074
C0AA,2019,11,0.117
C0AA,2019,12,0.392
C067,2019,1,0.112
C067,2019,2,0.190
C067,2019,3,0.156
C067,2019,4,0.133
C067,2019,5,0.124
C067,2019,6,0.070
C067,2019,7,0.070
C067,2019,8,0.062
C067,2019,9,0.054
C067,2019,10,0.070
C067,2019,11,0.096
C067,2019,12,0.214
C055,2019,1,0.030
C055,2019,2,0.037
C055,2019,3,0.019
C055,2019,4,0.075
C055,2019,5,0.071
C055,2019,6,0.040
C055,2019,11,0.004
C055,2019,12,0.088
C0A1,2019,1,0.193
C0A1,2019,2,0.221
C0A1,2019,3,0.224
C0A1,2019,4,0.226
C0A1,2019,5,0.219
C0A1,2019,6,0.236
C0A1,2019,7,0.222
C0A1,2019,8,0.211
C0A1,2019,9,0.179
C0A1,2019,10,0.174
C0A1,2019,11,0.180
C0A1,2019,12,0.204
C051,2019,1,0.094
C051,2019,2,0.152
C051,2019,3,0.132
C051,2019,4,0.156
C051,2019,5,0.144
C051,2019,6,0.076
C051,2019,7,0.070
C051,2019,8,0.072
C051,2019,9,0.072
C051,2019,10,0.064
C051,2019,11,0.086
C051,2019,12,0.154
C0A0,2019,1,0.143
C0A0,2019,2,0.169
C0A0,2019,3,0.145
C0A0,2019,4,0.165
C0A0,2019,5,0.151
C0A0,2019,6,0.070
C0A0,2019,7,0.032
C0A0,2019,8,0.042
C0A0,2019,9,0.049
C0A0,2019,10,0.049
C0A0,2019,11,0.144
C0A0,2019,12,0.189
C0B1,2019,1,0.118
C0B1,2019,2,0.220
C0B1,2019,3,0.172
C0B1,2019,4,0.144
C0B1,2019,5,0.098
C0B1,2019,6,0.038
C0B1,2019,7,0.022
C0B1,2019,8,0.032
C0B1,2019,9,0.030
C0B1,2019,10,0.024
C0B1,2019,11,0.112
C0B1,2019,12,0.312
C079,2019,1,0.214
C079,2019,2,0.285
C079,2019,3,0.292
C079,2019,4,0.289
C079,2019,5,0.264
C079,2019,6,0.220
C079,2019,7,0.209
C079,2019,8,0.215
C079,2019,9,0.210
C079,2019,10,0.195
C079,2019,11,0.223
C079,2019,12,0.413
C0C1,2019,1,0.332
C0C1,2019,2,0.553
C0C1,2019,3,0.000
C0C1,2019,4,0.371
C0C1,2019,5,0.355
C0C1,2019,6,0.332
C0C1,2019,7,0.319
