code,year,month,precipitacion_acumulada
C076,2016,1,75.7
C076,2016,2,176.4
C076,2016,3,104.8
C076,2016,4,49.6
C076,2016,5,32.4
C076,2016,6,47.4
C076,2016,7,9.3
C076,2016,8,4.8
C076,2016,9,45.5
C076,2016,10,17.5
C076,2016,11,112.6
C076,2016,12,13.8
C056,2016,1,83.6
C056,2016,2,173.4
C056,2016,3,98.3
C056,2016,4,48.9
C056,2016,5,35.4
C056,2016,6,52.4
C056,2016,7,6.1
C056,2016,8,18.7
C056,2016,9,24
C056,2016,10,16.2
C056,2016,11,110.3
C056,2016,12,7.3
C035,2016,1,115.9
C035,2016,2,254.3
C035,2016,3,218.9
C035,2016,4,109
C035,2016,5,51.6
C035,2016,6,49.1
C035,2016,7,31.3
C035,2016,8,11
C035,2016,9,100.1
C035,2016,10,21
C035,2016,11,146.1
C035,2016,12,34.4
C001,2016,1,84.7
C001,2016,2,188.6
C001,2016,3,108.2
C001,2016,4,50
C001,2016,5,35.5
C001,2016,6,44.2
C001,2016,7,7.9
C001,2016,8,11.7
C001,2016,9,35.5
C001,2016,10,20.7
C001,2016,11,115.2
C001,2016,12,13.4
C034,2016,1,94.4
C034,2016,2,138.7
C034,2016,3,107.3
C034,2016,4,66.4
C034,2016,5,64.1
C034,2016,6,32.8
C034,2016,7,9.6
C034,2016,8,3.6
C034,2016,9,25.8
C034,2016,10,7.9
C034,2016,11,80.5
C034,2016,12,10.5
C0AA,2016,1,64.6
C0AA,2016,2,208.3
C0AA,2016,3,160.2
C0AA,2016,4,58.4
C0AA,2016,5,29.3
C0AA,2016,6,43.9
C0AA,2016,7,5.3
C0AA,2016,8,8.8
C0AA,2016,9,36.4
C0AA,2016,10,15.5
C0AA,2016,11,129.9
C0AA,2016,12,11.3
C067,2016,1,106.8
C067,2016,2,308.3
C067,2016,3,274.1
C067,2016,4,57.8
C067,2016,5,65
C067,2016,6,28.8
C067,2016,7,21.3
C067,2016,8,7.1
C067,2016,9,85.8
C067,2016,10,19.7
C067,2016,11,165
C067,2016,12,34.1
C044,2016,1,132
C044,2016,2,350.4
C044,2016,3,284
C044,2016,4,99.5
C044,2016,5,37.8
C044,2016,6,42.3
C044,2016,7,37.9
C044,2016,8,11.2
C044,2016,9,82.4
C044,2016,10,20.7
C044,2016,11,161.5
C044,2016,12,26.9
C048,2016,1,71.7
C048,2016,2,169.1
C048,2016,3,90.4
C048,2016,4,56.6
C048,2016,5,57.1
C048,2016,6,22.6
C048,2016,7,8.9
C048,2016,8,4.8
C048,2016,9,44.8
C048,2016,10,28.5
C048,2016,11,103.5
C048,2016,12,12.3
C068,2016,1,116.2
C068,2016,2,287.6
C068,2016,3,226.4
C068,2016,4,68.4
C068,2016,5,49.1
C068,2016,6,46.2
C068,2016,7,10.7
C068,2016,8,9.8
C068,2016,9,65.1
C068,2016,10,31
C068,2016,11,170.7
C068,2016,12,11.7
C024,2016,1,142
C024,2016,2,271
C024,2016,3,199.9
C024,2016,4,80.7
C024,2016,5,75.2
C024,2016,6,30.8
C024,2016,7,17.4
C024,2016,8,7.7
C024,2016,9,61.3
C024,2016,10,26.4
C024,2016,11,146
C024,2016,12,19
C0A0,2016,1,101.1
C0A0,2016,2,217.6
C0A0,2016,3,136.7
C0A0,2016,4,40.1
C0A0,2016,5,70
C0A0,2016,6,8.4
C0A0,2016,7,17.4
C0A0,2016,8,0.4
C0A0,2016,9,16.8
C0A0,2016,10,18.5
C0A0,2016,11,100.1
C0A0,2016,12,17.1
C047,2016,1,103.2
C047,2016,2,186.1
C047,2016,3,125.7
C047,2016,4,81.7
C047,2016,5,60.9
C047,2016,6,46.1
C047,2016,7,25.9
C047,2016,8,20
C047,2016,9,58.1
C047,2016,10,41.7
C047,2016,11,133.1
C047,2016,12,10
C031,2016,1,39
C031,2016,2,63
C031,2016,3,44.1
C031,2016,4,11.6
C031,2016,5,12.1
C031,2016,6,9.8
C031,2016,7,13.5
C031,2016,8,0.3
C031,2016,9,9.4
C031,2016,10,13
C031,2016,11,68.4
C031,2016,12,9.7
C041,2016,1,85.9
C041,2016,2,140.1
C041,2016,3,85.5
C041,2016,4,45
C041,2016,5,35.3
C041,2016,6,18.6
C041,2016,7,10.6
C041,2016,8,1.3
C041,2016,9,22.4
C041,2016,10,14.8
C041,2016,11,105.8
C041,2016,12,7.8
C055,2016,1,91.4
C055,2016,2,244.7
C055,2016,3,187.4
C055,2016,4,62.6
C055,2016,5,30.3
C055,2016,6,36.5
C055,2016,7,4.7
C055,2016,8,9
C055,2016,9,60.8
C055,2016,10,19.2
C055,2016,11,132.1
C055,2016,12,14
C060,2016,1,62
C060,2016,2,141.2
C060,2016,3,82.5
C060,2016,4,33.8
C060,2016,5,22.1
C060,2016,6,13.1
C060,2016,7,6.9
C060,2016,8,1.5
C060,2016,9,19.5
C060,2016,10,9.8
C060,2016,11,70.2
C060,2016,12,7
C030,2016,1,94
C030,2016,2,217.2
C030,2016,3,166.9
C030,2016,4,58
C030,2016,5,39.8
C030,2016,6,48.1
C030,2016,7,4
C030,2016,8,5.2
C030,2016,9,29.5
C030,2016,10,27.1
C030,2016,11,126.5
C030,2016,12,10.6
C051,2016,1,97.2
C051,2016,2,225.5
C051,2016,3,189.3
C051,2016,4,58.7
C051,2016,5,52.5
C051,2016,6,23.2
C051,2016,7,32.7
C051,2016,8,12.9
C051,2016,9,72.4
C051,2016,10,21.2
C051,2016,11,112
C051,2016,12,24.7
C0A0,2016,1,128.5
C0A0,2016,2,324.8
C0A0,2016,3,288
C0A0,2016,4,107.1
C0A0,2016,5,47.4
C0A0,2016,6,52.1
C0A0,2016,7,23.2
C0A0,2016,8,8.5
C0A0,2016,9,86.4
C0A0,2016,10,21.1
C0A0,2016,11,188.8
C0A0,2016,12,36.1
C049,2016,1,82.9
C049,2016,2,142.1
C049,2016,3,128.5
C049,2016,4,78.2
C049,2016,5,50.4
C049,2016,6,41.7
C049,2016,7,7.3
C049,2016,8,1.4
C049,2016,9,47.4
C049,2016,10,27.8
C049,2016,11,118.9
C049,2016,12,19.9
C020,2016,1,49.9
C020,2016,2,124.8
C020,2016,3,66
C020,2016,4,38.7
C020,2016,5,38.9
C020,2016,6,28.6
C020,2016,7,10.5
C020,2016,8,9.4
C020,2016,9,42.8
C020,2016,10,22.8
C020,2016,11,111.8
C020,2016,12,12.6
C070,2016,1,67.5
C070,2016,2,135.1
C070,2016,3,77.6
C070,2016,4,42.6
C070,2016,5,48.2
C070,2016,6,47.2
C070,2016,7,13.9
C070,2016,8,6.6
C070,2016,9,56.5
C070,2016,10,12.4
C070,2016,11,89.3
C070,2016,12,7.8
