code,year,month,precipitacion_dias
C076,2016,1,20
C076,2016,2,19
C076,2016,3,22
C076,2016,4,19
C076,2016,5,14
C076,2016,6,11
C076,2016,7,5
C076,2016,8,4
C076,2016,9,11
C076,2016,10,7
C076,2016,11,14
C076,2016,12,8
C056,2016,1,22
C056,2016,2,19
C056,2016,3,20
C056,2016,4,20
C056,2016,5,15
C056,2016,6,11
C056,2016,7,7
C056,2016,8,5
C056,2016,9,10
C056,2016,10,9
C056,2016,11,14
C056,2016,12,7
C035,2016,1,22
C035,2016,2,20
C035,2016,3,23
C035,2016,4,21
C035,2016,5,19
C035,2016,6,12
C035,2016,7,16
C035,2016,8,8
C035,2016,9,12
C035,2016,10,10
C035,2016,11,16
C035,2016,12,8
C001,2016,1,19
C001,2016,2,18
C001,2016,3,21
C001,2016,4,21
C001,2016,5,15
C001,2016,6,12
C001,2016,7,8
C001,2016,8,5
C001,2016,9,12
C001,2016,10,8
C001,2016,11,14
C001,2016,12,9
C034,2016,1,21
C034,2016,2,16
C034,2016,3,22
C034,2016,4,19
C034,2016,5,15
C034,2016,6,6
C034,2016,7,4
C034,2016,8,3
C034,2016,9,8
C034,2016,10,7
C034,2016,11,14
C034,2016,12,5
C0AA,2016,1,20
C0AA,2016,2,19
C0AA,2016,3,20
C0AA,2016,4,20
C0AA,2016,5,13
C0AA,2016,6,12
C0AA,2016,7,8
C0AA,2016,8,6
C0AA,2016,9,11
C0AA,2016,10,10
C0AA,2016,11,15
C0AA,2016,12,9
C067,2016,1,23
C067,2016,2,21
C067,2016,3,23
C067,2016,4,17
C067,2016,5,14
C067,2016,6,12
C067,2016,7,15
C067,2016,8,6
C067,2016,9,11
C067,2016,10,9
C067,2016,11,13
C067,2016,12,8
C044,2016,1,23
C044,2016,2,20
C044,2016,3,23
C044,2016,4,20
C044,2016,5,16
C044,2016,6,12
C044,2016,7,14
C044,2016,8,9
C044,2016,9,12
C044,2016,10,10
C044,2016,11,16
C044,2016,12,7
C048,2016,1,16
C048,2016,2,19
C048,2016,3,22
C048,2016,4,17
C048,2016,5,17
C048,2016,6,10
C048,2016,7,7
C048,2016,8,8
C048,2016,9,11
C048,2016,10,10
C048,2016,11,16
C048,2016,12,9
C068,2016,1,20
C068,2016,2,21
C068,2016,3,20
C068,2016,4,15
C068,2016,5,20
C068,2016,6,12
C068,2016,7,5
C068,2016,8,8
C068,2016,9,13
C068,2016,10,9
C068,2016,11,17
C068,2016,12,8
C024,2016,1,19
C024,2016,2,20
C024,2016,3,20
C024,2016,4,19
C024,2016,5,19
C024,2016,6,9
C024,2016,7,10
C024,2016,8,9
C024,2016,9,11
C024,2016,10,11
C024,2016,11,16
C024,2016,12,10
C00A,2016,1,19
C00A,2016,2,19
C00A,2016,3,18
C00A,2016,4,18
C00A,2016,5,13
C00A,2016,6,7
C00A,2016,7,4
C00A,2016,8,1
C00A,2016,9,6
C00A,2016,10,11
C00A,2016,11,15
C00A,2016,12,6
C047,2016,1,21
C047,2016,2,20
C047,2016,3,23
C047,2016,4,20
C047,2016,5,19
C047,2016,6,13
C047,2016,7,16
C047,2016,8,12
C047,2016,9,14
C047,2016,10,13
C047,2016,11,15
C047,2016,12,9
C031,2016,1,13
C031,2016,2,16
C031,2016,3,11
C031,2016,4,6
C031,2016,5,13
C031,2016,6,7
C031,2016,7,7
C031,2016,8,2
C031,2016,9,5
C031,2016,10,9
C031,2016,11,14
C031,2016,12,7
C041,2016,1,19
C041,2016,2,18
C041,2016,3,17
C041,2016,4,17
C041,2016,5,13
C041,2016,6,9
C041,2016,7,7
C041,2016,8,4
C041,2016,9,11
C041,2016,10,11
C041,2016,11,15
C041,2016,12,6
C055,2016,1,22
C055,2016,2,20
C055,2016,3,23
C055,2016,4,20
C055,2016,5,14
C055,2016,6,12
C055,2016,7,5
C055,2016,8,5
C055,2016,9,12
C055,2016,10,8
C055,2016,11,15
C055,2016,12,9
C060,2016,1,17
C060,2016,2,18
C060,2016,3,17
C060,2016,4,17
C060,2016,5,10
C060,2016,6,6
C060,2016,7,3
C060,2016,8,1
C060,2016,9,7
C060,2016,10,9
C060,2016,11,14
C060,2016,12,9
C030,2016,1,21
C030,2016,2,19
C030,2016,3,20
C030,2016,4,19
C030,2016,5,20
C030,2016,6,12
C030,2016,7,6
C030,2016,8,5
C030,2016,9,11
C030,2016,10,8
C030,2016,11,16
C030,2016,12,9
C051,2016,1,22
C051,2016,2,19
C051,2016,3,22
C051,2016,4,21
C051,2016,5,15
C051,2016,6,11
C051,2016,7,15
C051,2016,8,10
C051,2016,9,11
C051,2016,10,7
C051,2016,11,15
C051,2016,12,7
C0A0,2016,1,23
C0A0,2016,2,20
C0A0,2016,3,23
C0A0,2016,4,23
C0A0,2016,5,20
C0A0,2016,6,12
C0A0,2016,7,13
C0A0,2016,8,6
C0A0,2016,9,10
C0A0,2016,10,9
C0A0,2016,11,17
C0A0,2016,12,8
C049,2016,1,22
C049,2016,2,19
C049,2016,3,21
C049,2016,4,20
C049,2016,5,19
C049,2016,6,8
C049,2016,7,8
C049,2016,8,4
C049,2016,9,8
C049,2016,10,8
C049,2016,11,14
C049,2016,12,6
C020,2016,1,18
C020,2016,2,15
C020,2016,3,19
C020,2016,4,18
C020,2016,5,15
C020,2016,6,9
C020,2016,7,4
C020,2016,8,5
C020,2016,9,10
C020,2016,10,9
C020,2016,11,14
C020,2016,12,8
C070,2016,1,19
C070,2016,2,18
C070,2016,3,19
C070,2016,4,20
C070,2016,5,16
C070,2016,6,13
C070,2016,7,8
C070,2016,8,9
C070,2016,9,13
C070,2016,10,10
C070,2016,11,14
C070,2016,12,5
C050,2016,1,17
C050,2016,2,17
C050,2016,3,19
C050,2016,4,18
C050,2016,5,14
C050,2016,6,7
C050,2016,7,5
C050,2016,8,5
C050,2016,9,7
C050,2016,10,7
C050,2016,11,14
C050,2016,12,5
C0B1,2016,1,20
C0B1,2016,2,19
C0B1,2016,3,21
C0B1,2016,4,20
C0B1,2016,5,15
C0B1,2016,6,11
C0B1,2016,7,15
C0B1,2016,8,9
C0B1,2016,9,10
C0B1,2016,10,9
C0B1,2016,11,17
C0B1,2016,12,10
C079,2016,1,21
C079,2016,2,20
C079,2016,3,21
C079,2016,4,18
C079,2016,5,16
C079,2016,6,12
C079,2016,7,15
C079,2016,8,10
C079,2016,9,12
C079,2016,10,9
C079,2016,11,17
C079,2016,12,7
C0C1,2016,1,17
C0C1,2016,2,19
C0C1,2016,3,21
C0C1,2016,4,19
C0C1,2016,5,16
C0C1,2016,6,8
C0C1,2016,7,9
C0C1,2016,8,5
C0C1,2016,9,10
C0C1,2016,10,9
C0C1,2016,11,14
C0C1,2016,12,6
C061,2016,1,17
C061,2016,2,20
C061,2016,3,21
C061,2016,4,20
C061,2016,5,15
C061,2016,6,12
C061,2016,7,16
C061,2016,8,8
C061,2016,9,11
C061,2016,10,7
C061,2016,11,17
C061,2016,12,6
C032,2016,1,25
C032,2016,2,21
C032,2016,3,22
C032,2016,4,19
C032,2016,5,18
C032,2016,6,11
C032,2016,7,15
C032,2016,8,9
C032,2016,9,10
C032,2016,10,10
C032,2016,11,13
C032,2016,12,8
C002,2016,1,23
C002,2016,2,22
C002,2016,3,20
C002,2016,4,18
C002,2016,5,15
C002,2016,6,10
C002,2016,7,15
C002,2016,8,9
C002,2016,9,13
C002,2016,10,13
C002,2016,11,19
C002,2016,12,10
C0C2,2016,1,17
C0C2,2016,2,20
C0C2,2016,3,20
C0C2,2016,4,20
C0C2,2016,5,16
C0C2,2016,6,9
C0C2,2016,7,10
C0C2,2016,8,7
C0C2,2016,9,10
C0C2,2016,10,7
C0C2,2016,11,15
C0C2,2016,12,12
C069,2016,1,21
C069,2016,2,22
C069,2016,3,21
C069,2016,4,21
C069,2016,5,16
C069,2016,6,10
C069,2016,7,14
C069,2016,8,10
C069,2016,9,12
C069,2016,10,8
C069,2016,11,17
C069,2016,12,10
C0B6,2016,1,23
C0B6,2016,2,20
C0B6,2016,3,22
C0B6,2016,4,18
C0B6,2016,5,15
C0B6,2016,6,13
C0B6,2016,7,14
C0B6,2016,8,9
C0B6,2016,9,11
C0B6,2016,10,9
C0B6,2016,11,18
C0B6,2016,12,8
C0BE,2016,1,21
C0BE,2016,2,21
C0BE,2016,3,18
C0BE,2016,4,22
C0BE,2016,5,17
C0BE,2016,6,10
