code,year,month,precipitacion_maxima_10min
C076,2016,1,1.4
C076,2016,2,1.7
C076,2016,3,1.5
C076,2016,4,1.3
C076,2016,5,2.7
C076,2016,6,2.2
C076,2016,7,1.3
C076,2016,8,1.7
C076,2016,9,3.2
C076,2016,10,1.1
C076,2016,11,1.1
C076,2016,12,0.4
C056,2016,1,1.1
C056,2016,2,1.4
C056,2016,3,2.4
C056,2016,4,2.6
C056,2016,5,2.3
C056,2016,6,5.9
C056,2016,7,0.7
C056,2016,8,7.4
C056,2016,9,1.6
C056,2016,10,1.9
C056,2016,11,1.7
C056,2016,12,0.2
C035,2016,1,1.5
C035,2016,2,2.2
C035,2016,3,1.6
C035,2016,4,6.2
C035,2016,5,3.1
C035,2016,6,3.7
C035,2016,7,2
C035,2016,8,1.1
C035,2016,9,6
C035,2016,10,1.3
C035,2016,11,1.4
C035,2016,12,1.3
C001,2016,1,1.3
C001,2016,2,1.3
C001,2016,3,1.4
C001,2016,4,1.4
C001,2016,5,2
C001,2016,6,4.1
C001,2016,7,0.6
C001,2016,8,5.1
C001,2016,9,3.1
C001,2016,10,2.8
C001,2016,11,1.1
C001,2016,12,0.5
C034,2016,1,1.4
C034,2016,2,1.3
C034,2016,3,2.3
C034,2016,4,1.7
C034,2016,5,7.6
C034,2016,6,3.9
C034,2016,7,1.4
C034,2016,8,1.8
C034,2016,9,2.1
C034,2016,10,0.7
C034,2016,11,0.9
C034,2016,12,0.3
C0AA,2016,1,1.1
C0AA,2016,2,2.2
C0AA,2016,3,2.1
C0AA,2016,4,1.5
C0AA,2016,5,1.6
C0AA,2016,6,3.1
C0AA,2016,7,0.5
C0AA,2016,8,2.5
C0AA,2016,9,3
C0AA,2016,10,1.6
C0AA,2016,11,1.5
C0AA,2016,12,0.3
C067,2016,1,2.1
C067,2016,2,2.9
C067,2016,3,2.5
C067,2016,4,2
C067,2016,5,6.5
C067,2016,6,7
C067,2016,7,2.3
C067,2016,8,1.1
C067,2016,9,4.3
C067,2016,10,3.3
C067,2016,11,2.3
C067,2016,12,0.8
C044,2016,1,1.5
C044,2016,2,3.5
C044,2016,3,1.9
C044,2016,4,2
C044,2016,5,2.9
C044,2016,6,4
C044,2016,7,6.9
C044,2016,8,2
C044,2016,9,3
C044,2016,10,1.2
C044,2016,11,1.9
C044,2016,12,1
C048,2016,1,0.7
C048,2016,2,2.8
C048,2016,3,3.7
C048,2016,4,2.6
C048,2016,5,2.3
C048,2016,6,1.1
C048,2016,7,2.8
C048,2016,8,0.5
C048,2016,9,3.1
C048,2016,10,2.8
C048,2016,11,1.2
C048,2016,12,0.4
C068,2016,1,1.2
C068,2016,2,3.8
C068,2016,3,2.3
C068,2016,4,2.8
C068,2016,5,1.3
C068,2016,6,4.1
C068,2016,7,0.8
C068,2016,8,0.6
C068,2016,9,10.9
C068,2016,10,4.8
C068,2016,11,1.8
C068,2016,12,0.5
C024,2016,1,1
C024,2016,2,3
C024,2016,3,2
C024,2016,4,3.1
C024,2016,5,3
C024,2016,6,1.4
C024,2016,7,1.1
C024,2016,8,0.4
C024,2016,9,3.1
C024,2016,10,1.5
C024,2016,11,1.3
C024,2016,12,0.3
C00A,2016,1,1.7
C00A,2016,2,2.8
C00A,2016,3,2.8
C00A,2016,4,3
C00A,2016,5,3.2
C00A,2016,6,1.5
C00A,2016,7,7.6
C00A,2016,8,0.3
C00A,2016,9,1.7
C00A,2016,10,1.3
C00A,2016,11,2.1
C00A,2016,12,0.7
C047,2016,1,1.8
C047,2016,2,3.3
C047,2016,3,2.1
C047,2016,4,4.1
C047,2016,5,1.5
C047,2016,6,2.1
C047,2016,7,1.2
C047,2016,8,2.9
C047,2016,9,1.1
C047,2016,10,4.7
C047,2016,11,1.6
C047,2016,12,0.4
C031,2016,1,0.9
C031,2016,2,1
C031,2016,3,4.2
C031,2016,4,0.8
C031,2016,5,0.8
C031,2016,6,1.5
C031,2016,7,2.1
C031,2016,8,0.3
C031,2016,9,0.6
C031,2016,10,1.2
C031,2016,11,1.5
C031,2016,12,0.5
C041,2016,1,1
C041,2016,2,3.5
C041,2016,3,3.2
C041,2016,4,3
C041,2016,5,2.8
C041,2016,6,1.5
C041,2016,7,3.3
C041,2016,8,0.6
C041,2016,9,1.3
C041,2016,10,1.6
C041,2016,11,1.1
C041,2016,12,0.3
C055,2016,1,1.1
C055,2016,2,2.7
C055,2016,3,1.6
C055,2016,4,2.8
C055,2016,5,2.4
C055,2016,6,2.1
C055,2016,7,0.4
C055,2016,8,3
C055,2016,9,6.4
C055,2016,10,2
C055,2016,11,2
C055,2016,12,0.5
C060,2016,1,0.7
C060,2016,2,1.8
C060,2016,3,2
C060,2016,4,1.9
C060,2016,5,1.8
C060,2016,6,2
C060,2016,7,2.3
C060,2016,8,1.3
C060,2016,9,0.9
C060,2016,10,0.5
C060,2016,11,1.2
C060,2016,12,0.3
C030,2016,1,1
C030,2016,2,1.8
C030,2016,3,4.4
C030,2016,4,3.4
C030,2016,5,2.3
C030,2016,6,6.9
C030,2016,7,0.4
C030,2016,8,0.8
C030,2016,9,3.8
C030,2016,10,3.2
C030,2016,11,2.5
