code,year,month,precipitacion_maxima_1dia
C076,2016,1,19.1
C076,2016,2,55.2
C076,2016,3,24.7
C076,2016,4,7.3
C076,2016,5,10.5
C076,2016,6,18.1
C076,2016,7,6.1
C076,2016,8,4
C076,2016,9,11.8
C076,2016,10,5.9
C076,2016,11,42.5
C076,2016,12,4.8
C056,2016,1,25
C056,2016,2,52.3
C056,2016,3,22.8
C056,2016,4,9.1
C056,2016,5,5.7
C056,2016,6,24.6
C056,2016,7,3.1
C056,2016,8,10.5
C056,2016,9,8
C056,2016,10,5.1
C056,2016,11,38.1
C056,2016,12,3
C035,2016,1,21.6
C035,2016,2,51.9
C035,2016,3,44.2
C035,2016,4,23.4
C035,2016,5,11.2
C035,2016,6,15.7
C035,2016,7,8.7
C035,2016,8,2.5
C035,2016,9,34
C035,2016,10,9.4
C035,2016,11,48.6
C035,2016,12,12.1
C001,2016,1,20.5
C001,2016,2,54.7
C001,2016,3,21.5
C001,2016,4,7.4
C001,2016,5,6.8
C001,2016,6,24.3
C001,2016,7,4
C001,2016,8,8.4
C001,2016,9,9.4
C001,2016,10,5.7
C001,2016,11,42.7
C001,2016,12,5.5
C034,2016,1,19
C034,2016,2,25.1
C034,2016,3,32.9
C034,2016,4,12.1
C034,2016,5,18.4
C034,2016,6,14.8
C034,2016,7,6.7
C034,2016,8,2
C034,2016,9,8.8
C034,2016,10,4.5
C034,2016,11,24.6
C034,2016,12,4.8
C0AA,2016,1,15.1
C0AA,2016,2,63.4
C0AA,2016,3,34.3
C0AA,2016,4,11.9
C0AA,2016,5,5.9
C0AA,2016,6,19.1
C0AA,2016,7,2.6
C0AA,2016,8,3.4
C0AA,2016,9,12.3
C0AA,2016,10,4.7
C0AA,2016,11,46.2
C0AA,2016,12,4
C067,2016,1,22.2
C067,2016,2,81.5
C067,2016,3,41.4
C067,2016,4,12.8
C067,2016,5,20.3
C067,2016,6,12.1
C067,2016,7,4.7
C067,2016,8,2.6
C067,2016,9,34.5
C067,2016,10,10.9
C067,2016,11,47.8
C067,2016,12,15.1
C044,2016,1,23.1
C044,2016,2,88.4
C044,2016,3,68.7
C044,2016,4,16.4
C044,2016,5,9.1
C044,2016,6,10
C044,2016,7,18.6
C044,2016,8,5.6
C044,2016,9,35.8
C044,2016,10,9.2
C044,2016,11,54.9
C044,2016,12,10.5
C048,2016,1,22.2
C048,2016,2,33.2
C048,2016,3,28
C048,2016,4,7.6
C048,2016,5,12.3
C048,2016,6,12
C048,2016,7,6.1
C048,2016,8,1.3
C048,2016,9,11.1
C048,2016,10,7.7
C048,2016,11,38.6
C048,2016,12,3.8
C068,2016,1,28.9
C068,2016,2,81.4
C068,2016,3,36.1
C068,2016,4,16.2
C068,2016,5,14.7
C068,2016,6,20.1
C068,2016,7,3.8
C068,2016,8,3.3
C068,2016,9,21.1
C068,2016,10,17.2
C068,2016,11,49.3
C068,2016,12,4.5
C024,2016,1,40.6
C024,2016,2,55
C024,2016,3,43.6
C024,2016,4,11
C024,2016,5,31.6
C024,2016,6,10
C024,2016,7,4.6
C024,2016,8,2.6
C024,2016,9,16.1
C024,2016,10,7.8
C024,2016,11,51.3
C024,2016,12,4.8
C00A,2016,1,25.5
C00A,2016,2,50.4
C00A,2016,3,38.4
C00A,2016,4,8.7
C00A,2016,5,26
C00A,2016,6,4
C00A,2016,7,10
C00A,2016,8,0.4
C00A,2016,9,7.5
C00A,2016,10,5.9
C00A,2016,11,35.5
C00A,2016,12,9.5
C047,2016,1,24.8
C047,2016,2,30.7
C047,2016,3,30.2
C047,2016,4,18.4
C047,2016,5,10.3
C047,2016,6,19.2
C047,2016,7,12.1
C047,2016,8,4.3
C047,2016,9,11.7
C047,2016,10,13.6
C047,2016,11,60.2
C047,2016,12,2.5
C031,2016,1,10.6
C031,2016,2,19.8
C031,2016,3,12.9
C031,2016,4,4.1
C031,2016,5,2.6
C031,2016,6,4.1
C031,2016,7,6
C031,2016,8,0.2
C031,2016,9,5.1
C031,2016,10,5.7
C031,2016,11,30.2
C031,2016,12,4.4
