code,year,month,precipitacion_superior1mm_dias
C076,2016,1,11
C076,2016,2,16
C076,2016,3,16
C076,2016,4,14
C076,2016,5,9
C076,2016,6,7
C076,2016,7,2
C076,2016,8,1
C076,2016,9,8
C076,2016,10,4
C076,2016,11,12
C076,2016,12,4
C056,2016,1,12
C056,2016,2,16
C056,2016,3,14
C056,2016,4,14
C056,2016,5,9
C056,2016,6,7
C056,2016,7,2
C056,2016,8,4
C056,2016,9,7
C056,2016,10,5
C056,2016,11,12
C056,2016,12,3
C035,2016,1,15
C035,2016,2,17
C035,2016,3,19
C035,2016,4,16
C035,2016,5,12
C035,2016,6,5
C035,2016,7,8
C035,2016,8,6
C035,2016,9,10
C035,2016,10,5
C035,2016,11,13
C035,2016,12,5
C001,2016,1,13
C001,2016,2,17
C001,2016,3,17
C001,2016,4,14
C001,2016,5,9
C001,2016,6,8
C001,2016,7,3
C001,2016,8,3
C001,2016,9,9
C001,2016,10,7
C001,2016,11,11
C001,2016,12,3
C034,2016,1,15
C034,2016,2,12
C034,2016,3,14
C034,2016,4,14
C034,2016,5,10
C034,2016,6,4
C034,2016,7,2
C034,2016,8,2
C034,2016,9,5
C034,2016,10,2
C034,2016,11,12
C034,2016,12,4
C0AA,2016,1,12
C0AA,2016,2,18
C0AA,2016,3,16
C0AA,2016,4,14
C0AA,2016,5,9
C0AA,2016,6,7
C0AA,2016,7,2
C0AA,2016,8,2
C0AA,2016,9,8
C0AA,2016,10,6
C0AA,2016,11,13
C0AA,2016,12,3
C067,2016,1,14
C067,2016,2,16
C067,2016,3,17
C067,2016,4,11
C067,2016,5,11
C067,2016,6,6
C067,2016,7,9
C067,2016,8,4
C067,2016,9,9
C067,2016,10,4
C067,2016,11,12
C067,2016,12,5
C044,2016,1,20
C044,2016,2,17
C044,2016,3,18
C044,2016,4,17
C044,2016,5,11
C044,2016,6,8
C044,2016,7,8
C044,2016,8,3
C044,2016,9,8
C044,2016,10,5
C044,2016,11,13
C044,2016,12,5
C048,2016,1,11
C048,2016,2,18
C048,2016,3,14
C048,2016,4,16
C048,2016,5,11
C048,2016,6,6
C048,2016,7,2
C048,2016,8,2
C048,2016,9,8
C048,2016,10,5
C048,2016,11,11
C048,2016,12,4
C068,2016,1,16
C068,2016,2,19
C068,2016,3,18
C068,2016,4,11
C068,2016,5,12
C068,2016,6,8
C068,2016,7,3
C068,2016,8,3
C068,2016,9,8
C068,2016,10,6
C068,2016,11,14
C068,2016,12,4
C024,2016,1,16
C024,2016,2,19
C024,2016,3,19
C024,2016,4,15
C024,2016,5,12
C024,2016,6,8
C024,2016,7,6
C024,2016,8,3
C024,2016,9,9
C024,2016,10,6
C024,2016,11,15
C024,2016,12,7
C00A,2016,1,12
C00A,2016,2,15
C00A,2016,3,14
C00A,2016,4,9
C00A,2016,5,11
C00A,2016,6,3
C00A,2016,7,3
C00A,2016,9,4
C00A,2016,10,5
C00A,2016,11,10
C00A,2016,12,4
C047,2016,1,14
C047,2016,2,16
C047,2016,3,19
C047,2016,4,14
C047,2016,5,12
C047,2016,6,8
C047,2016,7,6
C047,2016,8,7
C047,2016,9,9
C047,2016,10,8
C047,2016,11,12
C047,2016,12,4
C031,2016,1,9
C031,2016,2,9
C031,2016,3,7
C031,2016,4,4
C031,2016,5,4
C031,2016,6,2
C031,2016,7,3
C031,2016,9,3
C031,2016,10,3
C031,2016,11,7
C031,2016,12,4
C041,2016,1,13
C041,2016,2,12
C041,2016,3,9
C041,2016,4,11
C041,2016,5,10
C041,2016,6,5
C041,2016,7,4
C041,2016,9,7
C041,2016,10,6
C041,2016,11,12
C041,2016,12,2
C055,2016,1,13
C055,2016,2,18
C055,2016,3,17
C055,2016,4,15
C055,2016,5,10
C055,2016,6,5
C055,2016,7,2
C055,2016,8,2
C055,2016,9,9
C055,2016,10,7
C055,2016,11,13
C055,2016,12,3
C060,2016,1,10
C060,2016,2,13
C060,2016,3,7
C060,2016,4,9
C060,2016,5,8
C060,2016,6,3
C060,2016,7,3
C060,2016,8,1
C060,2016,9,4
C060,2016,10,3
C060,2016,11,9
C060,2016,12,1
C030,2016,1,13
C030,2016,2,18
C030,2016,3,18
C030,2016,4,12
C030,2016,5,8
C030,2016,6,7
C030,2016,7,2
C030,2016,8,3
C030,2016,9,6
C030,2016,10,4
C030,2016,11,12
C030,2016,12,2
C051,2016,1,14
C051,2016,2,16
C051,2016,3,17
C051,2016,4,14
C051,2016,5,10
C051,2016,6,7
C051,2016,7,7
C051,2016,8,3
C051,2016,9,9
C051,2016,10,3
C051,2016,11,12
C051,2016,12,5
C0A0,2016,1,18
C0A0,2016,2,18
C0A0,2016,3,18
C0A0,2016,4,18
C0A0,2016,5,12
C0A0,2016,6,8
C0A0,2016,7,5
C0A0,2016,8,3
C0A0,2016,9,8
C0A0,2016,10,4
C0A0,2016,11,13
C0A0,2016,12,7
C049,2016,1,12
C049,2016,2,15
C049,2016,3,15
C049,2016,4,14
C049,2016,5,9
C049,2016,6,6
C049,2016,7,1
C049,2016,9,6
