code,year,month,temp_max_abs
C076,2016,1,16.8
C076,2016,2,17.1
C076,2016,3,22.3
C076,2016,4,21.4
C076,2016,5,29.5
C076,2016,6,33.9
C076,2016,7,38.7
C076,2016,8,38.3
C076,2016,9,37.7
C076,2016,10,28.1
C076,2016,11,23.0
C076,2016,12,15.9
C056,2016,1,17.6
C056,2016,2,17.2
C056,2016,3,20.8
C056,2016,4,20.8
C056,2016,5,27.4
C056,2016,6,32.8
C056,2016,7,37.3
C056,2016,8,36.2
C056,2016,9,35.5
C056,2016,10,26.4
C056,2016,11,22.3
C056,2016,12,14.9
C035,2016,1,18.3
C035,2016,2,17.6
C035,2016,3,21.5
C035,2016,4,22.2
C035,2016,5,28.3
C035,2016,6,33.1
C035,2016,7,37.1
C035,2016,8,36.4
C035,2016,9,37.1
C035,2016,10,26.5
C035,2016,11,23.1
C035,2016,12,16.5
C001,2016,1,17.6
C001,2016,2,17.1
C001,2016,3,21.6
C001,2016,4,21.4
C001,2016,5,27.7
C001,2016,6,33.4
C001,2016,7,37.2
C001,2016,8,36.7
C001,2016,9,37.4
C001,2016,10,27.1
C001,2016,11,22.7
C001,2016,12,16.8
C025,2016,1,16.6
C025,2016,2,15.6
C025,2016,3,19.3
C025,2016,4,19.8
C025,2016,5,26.0
C025,2016,6,31.1
C025,2016,7,36.1
C025,2016,8,36.5
C025,2016,9,36.7
C025,2016,10,25.4
C025,2016,11,22.8
C025,2016,12,14.9
C034,2016,1,16.8
C034,2016,2,17.2
C034,2016,3,19.8
C034,2016,4,20.3
C034,2016,5,27.5
C034,2016,6,33.8
C034,2016,7,38.1
C034,2016,8,36.6
C034,2016,9,37.3
C034,2016,10,28.6
C034,2016,11,22.6
C034,2016,12,16.7
C0AA,2016,1,16.7
C0AA,2016,2,15.5
C0AA,2016,3,20.4
C0AA,2016,4,19.6
C0AA,2016,5,26.7
C0AA,2016,6,33.4
C0AA,2016,7,37.1
C0AA,2016,8,36.8
C0AA,2016,9,36.0
C0AA,2016,10,26.3
C0AA,2016,11,21.9
C0AA,2016,12,15.1
C067,2016,1,19.7
C067,2016,2,20.3
C067,2016,3,23.5
C067,2016,4,21.2
C067,2016,5,30.7
C067,2016,6,37.4
C067,2016,7,39.4
C067,2016,8,38.9
C067,2016,9,38.8
C067,2016,10,29.8
C067,2016,11,23.9
C067,2016,12,19.3
C040,2016,1,17.6
C040,2016,2,17.2
C040,2016,3,22.1
C040,2016,4,20.1
C040,2016,5,28.3
C040,2016,6,33.4
C040,2016,7,37.5
C040,2016,8,36.3
C040,2016,9,36.5
C040,2016,10,27.8
C040,2016,11,23.3
C040,2016,12,16.4
C044,2016,1,15.6
C044,2016,2,16.1
C044,2016,3,19.1
C044,2016,4,18.4
C044,2016,5,26.6
C044,2016,6,31.9
C044,2016,7,35.3
C044,2016,8,33.9
C044,2016,9,35.5
C044,2016,10,25.3
C044,2016,11,21.4
C044,2016,12,14.8
C048,2016,1,14.6
C048,2016,2,10.9
C048,2016,3,15.9
C048,2016,4,15.7
C048,2016,5,23.2
C048,2016,6,28.2
C048,2016,7,30.9
C048,2016,8,29.7
C048,2016,9,32.3
C048,2016,10,23.6
C048,2016,11,20.2
C048,2016,12,15.2
C068,2016,1,16.3
C068,2016,2,17.4
C068,2016,3,20.2
C068,2016,4,21.0
C068,2016,5,25.9
C068,2016,6,31.9
C068,2016,7,35.8
C068,2016,8,35.2
C068,2016,9,36.3
C068,2016,10,26.7
C068,2016,11,22.7
C068,2016,12,15.4
C024,2016,1,14.7
C024,2016,2,13.5
C024,2016,3,16.9
C024,2016,4,16.8
C024,2016,5,23.0
C024,2016,6,29.3
C024,2016,7,33.4
C024,2016,8,32.6
C024,2016,9,32.6
C024,2016,10,24.0
C024,2016,11,20.0
C024,2016,12,15.2
C00A,2016,1,15.9
C00A,2016,2,16.3
C00A,2016,3,20.2
C00A,2016,4,20.8
C00A,2016,5,26.5
C00A,2016,6,33.8
C00A,2016,7,37.0
C00A,2016,8,34.9
C00A,2016,9,36.0
C00A,2016,10,28.2
C00A,2016,11,24.0
C00A,2016,12,16.1
C047,2016,1,13.5
C047,2016,2,10.7
C047,2016,3,16.2
C047,2016,4,16.2
C047,2016,5,22.0
C047,2016,6,26.2
C047,2016,7,31.1
C047,2016,8,29.0
C047,2016,9,31.0
C047,2016,10,22.6
C047,2016,11,18.7
C047,2016,12,13.6
C031,2016,1,17.7
C031,2016,2,17.7
C031,2016,3,24.1
C031,2016,4,22.3
C031,2016,5,30.0
C031,2016,6,35.3
C031,2016,7,38.4
C031,2016,8,37.4
C031,2016,9,37.6
C031,2016,10,29.0
C031,2016,11,25.3
C031,2016,12,16.3
C041,2016,1,16.0
C041,2016,2,15.5
C041,2016,3,20.5
C041,2016,4,20.3
C041,2016,5,26.6
C041,2016,6,32.5
C041,2016,7,36.0
C041,2016,8,34.4
C041,2016,9,34.6
C041,2016,10,26.4
C041,2016,11,23.1
C041,2016,12,15.7
C055,2016,1,17.3
C055,2016,2,17.0
C055,2016,3,21.4
C055,2016,4,21.0
C055,2016,5,27.8
C055,2016,6,34.1
C055,2016,7,37.0
C055,2016,8,36.8
C055,2016,9,36.0
C055,2016,10,27.2
C055,2016,11,24.5
C055,2016,12,17.1
C060,2016,1,17.1
