code,year,month,temp_max_media
C076,2016,1,11.4
C076,2016,2,10.9
C076,2016,3,11.5
C076,2016,4,15.4
C076,2016,5,21.1
C076,2016,6,24.8
C076,2016,7,26.7
C076,2016,8,29.2
C076,2016,9,26.2
C076,2016,10,20.4
C076,2016,11,12.7
C076,2016,12,9.8
C056,2016,1,11.3
C056,2016,2,10.0
C056,2016,3,10.4
C056,2016,4,14.2
C056,2016,5,19.3
C056,2016,6,22.8
C056,2016,7,25.6
C056,2016,8,27.6
C056,2016,9,25.0
C056,2016,10,19.4
C056,2016,11,12.0
C056,2016,12,9.5
C035,2016,1,12.0
C035,2016,2,10.8
C035,2016,3,10.9
C035,2016,4,14.5
C035,2016,5,19.8
C035,2016,6,22.4
C035,2016,7,24.0
C035,2016,8,27.4
C035,2016,9,24.9
C035,2016,10,19.3
C035,2016,11,12.7
C035,2016,12,11.7
C001,2016,1,11.7
C001,2016,2,10.9
C001,2016,3,11.5
C001,2016,4,15.1
C001,2016,5,20.2
C001,2016,6,23.6
C001,2016,7,25.7
C001,2016,8,28.2
C001,2016,9,25.7
C001,2016,10,20.1
C001,2016,11,13.2
C001,2016,12,10.4
C025,2016,1,10.1
C025,2016,2,8.9
C025,2016,3,9.2
C025,2016,4,12.4
C025,2016,5,18.0
C025,2016,6,21.0
C025,2016,7,22.9
C025,2016,8,26.9
C025,2016,9,24.0
C025,2016,10,18.0
C025,2016,11,11.2
C025,2016,12,10.1
C034,2016,1,11.1
C034,2016,2,11.3
C034,2016,3,11.6
C034,2016,4,15.1
C034,2016,5,20.4
C034,2016,6,24.7
C034,2016,7,28.2
C034,2016,8,29.8
C034,2016,9,26.8
C034,2016,10,20.8
C034,2016,11,13.1
C034,2016,12,9.4
C0AA,2016,1,10.8
C0AA,2016,2,9.8
C0AA,2016,3,10.2
C0AA,2016,4,13.7
C0AA,2016,5,18.6
C0AA,2016,6,22.7
C0AA,2016,7,25.3
C0AA,2016,8,27.6
C0AA,2016,9,24.8
C0AA,2016,10,19.2
C0AA,2016,11,12.0
C0AA,2016,12,9.6
C067,2016,1,14.8
C067,2016,2,13.3
C067,2016,3,13.4
C067,2016,4,16.7
C067,2016,5,21.9
C067,2016,6,24.2
C067,2016,7,25.3
C067,2016,8,28.9
C067,2016,9,26.5
C067,2016,10,21.5
C067,2016,11,15.0
C067,2016,12,14.3
C040,2016,1,11.9
C040,2016,2,11.3
C040,2016,3,11.7
C040,2016,4,14.5
C040,2016,5,20.0
C040,2016,6,23.1
C040,2016,7,24.9
C040,2016,8,27.3
C040,2016,9,25.2
C040,2016,10,20.0
C040,2016,11,13.3
C040,2016,12,10.7
C044,2016,1,10.5
C044,2016,2,9.4
C044,2016,3,9.4
C044,2016,4,12.4
C044,2016,5,17.6
C044,2016,6,20.6
C044,2016,7,22.1
C044,2016,8,24.8
C044,2016,9,23.0
C044,2016,10,17.6
C044,2016,11,11.3
C044,2016,12,9.6
C048,2016,1,6.7
C048,2016,2,5.7
C048,2016,3,5.4
C048,2016,4,9.3
C048,2016,5,14.9
C048,2016,6,19.3
C048,2016,7,22.0
C048,2016,8,23.4
C048,2016,9,20.6
C048,2016,10,15.9
C048,2016,11,8.1
C048,2016,12,9.3
C068,2016,1,10.8
C068,2016,2,9.7
C068,2016,3,10.2
C068,2016,4,13.9
C068,2016,5,18.6
C068,2016,6,22.5
C068,2016,7,24.1
C068,2016,8,26.7
C068,2016,9,24.7
C068,2016,10,18.6
C068,2016,11,11.8
C068,2016,12,10.1
C024,2016,1,7.8
C024,2016,2,6.7
C024,2016,3,6.9
C024,2016,4,10.7
C024,2016,5,15.5
C024,2016,6,19.9
C024,2016,7,23.4
C024,2016,8,25.4
C024,2016,9,22.1
C024,2016,10,16.5
C024,2016,11,8.8
C024,2016,12,8.9
C00A,2016,1,10.1
C00A,2016,2,10.4
C00A,2016,3,10.8
C00A,2016,4,14.6
C00A,2016,5,19.1
C00A,2016,6,24.7
C00A,2016,7,28.3
C00A,2016,8,29.3
C00A,2016,9,25.8
C00A,2016,10,19.9
C00A,2016,11,12.1
C00A,2016,12,9.9
C047,2016,1,6.3
C047,2016,2,5.2
C047,2016,3,5.0
C047,2016,4,9.3
C047,2016,5,14.1
C047,2016,6,18.2
C047,2016,7,20.8
C047,2016,8,22.5
C047,2016,9,19.7
C047,2016,10,14.8
C047,2016,11,7.2
C047,2016,12,7.8
C031,2016,1,10.9
C031,2016,2,11.9
C031,2016,3,12.6
C031,2016,4,16.2
C031,2016,5,21.2
C031,2016,6,26.7
C031,2016,7,30.1
C031,2016,8,30.9
C031,2016,9,27.3
C031,2016,10,21.2
C031,2016,11,13.4
C031,2016,12,9.8
C041,2016,1,9.7
C041,2016,2,9.3
C041,2016,3,9.7
C041,2016,4,13.4
C041,2016,5,18.8
C041,2016,6,23.3
C041,2016,7,26.2
C041,2016,8,27.9
C041,2016,9,24.6
C041,2016,10,19.1
C041,2016,11,11.2
C041,2016,12,9.4
C055,2016,1,11.7
C055,2016,2,10.6
C055,2016,3,11.3
C055,2016,4,14.9
C055,2016,5,19.8
C055,2016,6,23.6
C055,2016,7,25.6
C055,2016,8,27.7
C055,2016,9,25.2
C055,2016,10,19.9
C055,2016,11,13.4
C055,2016,12,10.9
C060,2016,1,9.9
C060,2016,2,10.4
C060,2016,3,11.1
C060,2016,4,14.5
C060,2016,5,19.9
C060,2016,6,25.0
C060,2016,7,28.0
C060,2016,8,28.9
C060,2016,9,25.5
C060,2016,10,19.9
C060,2016,11,12.3
C060,2016,12,8.9
C021,2016,1,8.4
C021,2016,2,7.1
C021,2016,3,7.4
C021,2016,4,11.3
C021,2016,5,16.0
C021,2016,6,20.6
C021,2016,7,24.2
C021,2016,8,26.1
C021,2016,9,23.0
C021,2016,10,17.2
C021,2016,11,9.5
C021,2016,12,9.5
C030,2016,1,10.9
C030,2016,2,9.8
C030,2016,3,10.5
C030,2016,4,14.2
C030,2016,5,19.4
C030,2016,6,23.7
C030,2016,7,27.0
C030,2016,8,29.3
C030,2016,9,26.2
C030,2016,10,20.3
C030,2016,11,12.3
C030,2016,12,10.6
C051,2016,1,14.5
C051,2016,2,13.1
C051,2016,3,13.2
C051,2016,4,16.4
C051,2016,5,21.8
C051,2016,6,24.4
C051,2016,7,25.6
C051,2016,8,29.2
C051,2016,9,26.8
C051,2016,10,21.3
C051,2016,11,15.0
C051,2016,12,13.7
C0A0,2016,1,11.3
C0A0,2016,2,10.6
C0A0,2016,3,11.0
C0A0,2016,4,14.8
C0A0,2016,5,20.5
C0A0,2016,6,23.6
C0A0,2016,7,25.7
C0A0,2016,8,28.7
C0A0,2016,9,25.7
C0A0,2016,10,19.8
C0A0,2016,11,12.7
C0A0,2016,12,11.0
C049,2016,1,10.2
C049,2016,2,10.2
C049,2016,3,10.8
C049,2016,4,14.1
C049,2016,5,19.7
C049,2016,6,23.4
C049,2016,7,25.8
C049,2016,8,28.5
C049,2016,9,25.6
C049,2016,10,19.4
C049,2016,11,12.0
C049,2016,12,8.5
C020,2016,1,10.3
C020,2016,2,9.9
C020,2016,3,10.4
C020,2016,4,14.1
C020,2016,5,19.3
C020,2016,6,23.9
C020,2016,7,27.1
C020,2016,8,28.7
C020,2016,9,25.5
C020,2016,10,19.7
C020,2016,11,11.6
C020,2016,12,8.2
C070,2016,1,9.0
C070,2016,2,8.4
C070,2016,3,8.5
C070,2016,4,10.5
C070,2016,5,15.5
C070,2016,6,18.9
C070,2016,7,21.3
C070,2016,8,24.6
C070,2016,9,22.0
C070,2016,10,15.6
C070,2016,11,8.6
C070,2016,12,8.0
C050,2016,1,11.2
C050,2016,2,11.5
C050,2016,3,12.0
C050,2016,4,15.6
C050,2016,5,21.1
C050,2016,6,25.6
C050,2016,7,28.7
C050,2016,8,30.4
C050,2016,9,27.3
C050,2016,10,20.7
C050,2016,11,13.3
C050,2016,12,8.8
C0B1,2016,1,14.5
C0B1,2016,2,12.6
C0B1,2016,3,12.9
C0B1,2016,4,16.0
C0B1,2016,5,20.2
C0B1,2016,6,22.6
C0B1,2016,7,24.2
C0B1,2016,8,27.3
C0B1,2016,9,24.7
C0B1,2016,10,19.7
C0B1,2016,11,14.4
C0B1,2016,12,14.1
C079,2016,1,14.5
C079,2016,2,12.8
C079,2016,3,12.9
C079,2016,4,16.1
C079,2016,5,20.7
C079,2016,6,22.8
C079,2016,7,24.3
C079,2016,8,27.6
C079,2016,9,25.5
C079,2016,10,20.8
C079,2016,11,14.4
C079,2016,12,14.4
C0C1,2016,1,16.8
C0C1,2016,2,15.2
C0C1,2016,3,15.3
C0C1,2016,4,18.2
C0C1,2016,5,23.1
C0C1,2016,6,25.7
C0C1,2016,7,26.9
C0C1,2016,8,30.2
C0C1,2016,9,28.2
C0C1,2016,10,23.8
C0C1,2016,11,16.9
C0C1,2016,12,16.8
C061,2016,1,13.7
C061,2016,2,11.9
C061,2016,3,11.8
C061,2016,4,14.6
C061,2016,5,18.7
C061,2016,6,20.7
C061,2016,7,22.0
C061,2016,8,24.9
C061,2016,9,23.2
C061,2016,10,18.9
C061,2016,11,13.7
C061,2016,12,14.0
C032,2016,1,14.6
C032,2016,2,13.1
C032,2016,3,13.2
