code,year,month,temp_media
C076,2016,1,6.8
C076,2016,2,5.9
C076,2016,3,6.5
C076,2016,4,9.2
C076,2016,5,13.6
C076,2016,6,17.0
C076,2016,7,19.3
C076,2016,8,20.0
C076,2016,9,17.8
C076,2016,10,12.4
C076,2016,11,7.5
C076,2016,12,5.1
C056,2016,1,6.9
C056,2016,2,5.8
C056,2016,3,6.3
C056,2016,4,8.8
C056,2016,5,13.2
C056,2016,6,16.5
C056,2016,7,19.1
C056,2016,8,20.1
C056,2016,9,17.8
C056,2016,10,12.6
C056,2016,11,7.5
C056,2016,12,5.0
C035,2016,1,7.8
C035,2016,2,6.8
C035,2016,3,7.0
C035,2016,4,9.5
C035,2016,5,13.7
C035,2016,6,16.6
C035,2016,7,18.4
C035,2016,8,19.7
C035,2016,9,17.9
C035,2016,10,13.3
C035,2016,11,8.4
C035,2016,12,6.7
C001,2016,1,7.1
C001,2016,2,6.1
C001,2016,3,6.8
C001,2016,4,9.1
C001,2016,5,13.3
C001,2016,6,16.7
C001,2016,7,19.1
C001,2016,8,19.6
C001,2016,9,17.7
C001,2016,10,12.5
C001,2016,11,7.7
C001,2016,12,5.0
C025,2016,1,6.6
C025,2016,2,5.4
C025,2016,3,5.5
C025,2016,4,7.9
C025,2016,5,12.1
C025,2016,6,15.1
C025,2016,7,17.1
C025,2016,8,18.9
C025,2016,9,17.0
C025,2016,10,12.6
C025,2016,11,7.6
C025,2016,12,5.9
C034,2016,1,7.0
C034,2016,2,6.3
C034,2016,3,6.9
C034,2016,4,9.1
C034,2016,5,13.2
C034,2016,6,17.0
C034,2016,7,19.8
C034,2016,8,20.2
C034,2016,9,17.8
C034,2016,10,12.6
C034,2016,11,7.5
C034,2016,12,5.3
C0AA,2016,1,6.7
C0AA,2016,2,5.6
C0AA,2016,3,6.1
C0AA,2016,4,8.6
C0AA,2016,5,12.8
C0AA,2016,6,16.3
C0AA,2016,7,19.0
C0AA,2016,8,19.7
C0AA,2016,9,17.6
C0AA,2016,10,12.3
C0AA,2016,11,7.5
C0AA,2016,12,4.7
C067,2016,1,9.7
C067,2016,2,8.6
C067,2016,3,8.7
C067,2016,4,11.6
C067,2016,5,15.4
C067,2016,6,18.0
C067,2016,7,20.0
C067,2016,8,21.0
C067,2016,9,19.2
C067,2016,10,14.8
C067,2016,11,10.2
C067,2016,12,8.9
C040,2016,1,8.8
C040,2016,2,7.8
C040,2016,3,8.1
C040,2016,4,10.3
C040,2016,5,14.7
C040,2016,6,17.8
C040,2016,7,19.8
C040,2016,8,20.9
C040,2016,9,19.0
C040,2016,10,14.7
C040,2016,11,9.7
C040,2016,12,7.3
C044,2016,1,6.5
C044,2016,2,5.5
C044,2016,3,5.9
C044,2016,4,7.9
C044,2016,5,12.1
C044,2016,6,15.0
C044,2016,7,17.1
C044,2016,8,18.0
C044,2016,9,16.2
C044,2016,10,11.6
C044,2016,11,7.2
C044,2016,12,5.3
C048,2016,1,4.1
C048,2016,2,3.0
C048,2016,3,2.6
C048,2016,4,5.2
C048,2016,5,10.2
C048,2016,6,14.1
C048,2016,7,16.6
C048,2016,8,17.8
C048,2016,9,15.8
C048,2016,10,11.8
