code,year,month,temp_min_abs
C076,2016,1,-3.5
C076,2016,2,-5.2
C076,2016,3,-2.8
C076,2016,4,-2.8
C076,2016,5,0.2
C076,2016,6,3.5
C076,2016,7,5.9
C076,2016,8,7.6
C076,2016,9,6.7
C076,2016,10,-0.6
C076,2016,11,-1.7
C076,2016,12,-3.8
C056,2016,1,-3.0
C056,2016,2,-5.7
C056,2016,3,-2.3
C056,2016,4,-2.5
C056,2016,5,-1.3
C056,2016,6,4.5
C056,2016,7,4.6
C056,2016,8,6.7
C056,2016,9,7.5
C056,2016,10,-1.4
C056,2016,11,-1.2
C056,2016,12,-5.4
C035,2016,1,-1.4
C035,2016,2,-5.1
C035,2016,3,0.2
C035,2016,4,-1.2
C035,2016,5,-0.2
C035,2016,6,4.9
C035,2016,7,5.8
C035,2016,8,7.5
C035,2016,9,8.8
C035,2016,10,0.6
C035,2016,11,0.1
C035,2016,12,-3.8
C001,2016,1,-3.3
C001,2016,2,-5.0
C001,2016,3,-2.9
C001,2016,4,-2.8
C001,2016,5,-0.6
C001,2016,6,2.9
C001,2016,7,4.7
C001,2016,8,6.2
C001,2016,9,7.2
C001,2016,10,-1.5
C001,2016,11,-1.6
C001,2016,12,-4.7
C025,2016,1,-2.0
C025,2016,2,-5.6
C025,2016,3,-0.9
C025,2016,4,-1.9
C025,2016,5,1.2
C025,2016,6,6.3
C025,2016,7,7.2
C025,2016,8,8.9
C025,2016,9,8.3
C025,2016,10,2.5
C025,2016,11,0.6
C025,2016,12,-2.4
C034,2016,1,-3.0
C034,2016,2,-5.6
C034,2016,3,-1.5
C034,2016,4,-3.2
C034,2016,5,-0.8
C034,2016,6,3.0
C034,2016,7,5.5
C034,2016,8,6.4
C034,2016,9,5.1
C034,2016,10,-1.8
C034,2016,11,-2.2
C034,2016,12,-6.0
C0AA,2016,1,-4.0
C0AA,2016,2,-7.6
C0AA,2016,3,-3.6
C0AA,2016,4,-3.4
C0AA,2016,5,-1.2
C0AA,2016,6,5.5
C0AA,2016,7,4.1
C0AA,2016,8,5.8
C0AA,2016,9,6.9
C0AA,2016,10,-2.7
C0AA,2016,11,-1.6
C0AA,2016,12,-5.7
C067,2016,1,-0.2
C067,2016,2,-2.2
C067,2016,3,0.0
C067,2016,4,-0.1
C067,2016,5,2.6
C067,2016,6,7.6
C067,2016,7,8.9
C067,2016,8,10.2
C067,2016,9,10.4
C067,2016,10,3.6
C067,2016,11,1.1
C067,2016,12,-1.6
C040,2016,1,-0.2
C040,2016,2,-1.4
C040,2016,3,0.8
C040,2016,4,1.0
C040,2016,5,3.8
C040,2016,6,9.0
C040,2016,7,10.5
C040,2016,8,12.2
C040,2016,9,10.0
C040,2016,10,4.6
C040,2016,11,1.5
C040,2016,12,-1.8
C044,2016,1,-1.0
C044,2016,2,-4.9
C044,2016,3,-0.5
C044,2016,4,-1.0
C044,2016,5,1.0
C044,2016,6,5.2
C044,2016,7,8.2
C044,2016,8,8.4
C044,2016,9,6.6
C044,2016,10,1.9
C044,2016,11,0.2
C044,2016,12,-3.0
C048,2016,1,-2.3
C048,2016,2,-6.5
C048,2016,3,-2.8
C048,2016,4,-1.4
C048,2016,5,-0.9
C048,2016,6,4.9
C048,2016,7,6.4
C048,2016,8,6.9
C048,2016,9,5.9
C048,2016,10,2.0
C048,2016,11,-1.2
C048,2016,12,-0.2
C068,2016,1,-3.1
C068,2016,2,-7.6
C068,2016,3,-1.2
C068,2016,4,-2.8
C068,2016,5,0.6
C068,2016,6,6.2
C068,2016,7,7.0
C068,2016,8,7.2
C068,2016,9,7.3
C068,2016,10,0.3
C068,2016,11,-1.9
C068,2016,12,-6.3
C024,2016,1,-8.8
C024,2016,2,-15.9
C024,2016,3,-3.8
C024,2016,4,-3.5
C024,2016,5,0.0
C024,2016,6,5.3
C024,2016,7,5.0
C024,2016,8,4.4
C024,2016,9,4.0
C024,2016,10,-1.6
C024,2016,11,-4.7
C024,2016,12,-5.5
C00A,2016,1,-3.2
C00A,2016,2,-4.4
C00A,2016,3,-1.4
C00A,2016,4,-2.9
C00A,2016,5,0.0
C00A,2016,6,6.3
C00A,2016,7,7.6
C00A,2016,8,8.8
C00A,2016,9,5.1
C00A,2016,10,-1.0
C00A,2016,11,-0.8
C00A,2016,12,-6.8
C047,2016,1,-2.8
C047,2016,2,-7.1
C047,2016,3,-2.9
C047,2016,4,-1.8
C047,2016,5,-0.8
C047,2016,6,4.6
C047,2016,7,5.9
C047,2016,8,6.5
C047,2016,9,5.1
C047,2016,10,0.9
C047,2016,11,-1.3
C047,2016,12,-2.4
C031,2016,1,0.6
C031,2016,2,-2.3
C031,2016,3,0.8
C031,2016,4,0.2
C031,2016,5,2.7
C031,2016,6,8.9
C031,2016,7,9.9
C031,2016,8,11.3
C031,2016,9,9.0
C031,2016,10,5.0
C031,2016,11,1.1
C031,2016,12,-2.4
C041,2016,1,-4.2
C041,2016,2,-5.8
C041,2016,3,-1.6
C041,2016,4,-4.4
C041,2016,5,-1.3
C041,2016,6,3.7
C041,2016,7,4.5
C041,2016,8,4.9
C041,2016,9,4.7
C041,2016,10,-2.2
C041,2016,11,-1.6
C041,2016,12,-7.2
C055,2016,1,-3.4
C055,2016,2,-6.9
C055,2016,3,-3.5
C055,2016,4,-3.4
C055,2016,5,-0.1
C055,2016,6,6.0
C055,2016,7,6.1
C055,2016,8,6.2
C055,2016,9,6.6
C055,2016,10,-2.0
C055,2016,11,-2.8
C055,2016,12,-6.1
C060,2016,1,-1.2
C060,2016,2,-3.7
C060,2016,3,0.1
C060,2016,4,-1.0
C060,2016,5,0.8
C060,2016,6,5.5
C060,2016,7,7.5
C060,2016,8,8.9
C060,2016,9,7.3
C060,2016,10,2.0
C060,2016,11,0.1
C060,2016,12,-3.7
C021,2016,1,-6.7
C021,2016,2,-10.4
C021,2016,3,-2.0
C021,2016,4,-3.1
C021,2016,5,0.3
C021,2016,6,6.2
C021,2016,7,7.9
C021,2016,8,5.6
C021,2016,9,5.2
C021,2016,10,-0.5
C021,2016,11,-4.1
C021,2016,12,-4.2
C030,2016,1,-4.6
C030,2016,2,-10.3
C030,2016,3,-4.0
C030,2016,4,-3.8
C030,2016,5,-2.6
C030,2016,6,4.7
C030,2016,7,4.4
C030,2016,8,5.3
C030,2016,9,6.6
C030,2016,10,-1.8
C030,2016,11,-2.7
C030,2016,12,-6.6
C051,2016,1,-0.9
C051,2016,2,-3.0
C051,2016,3,1.1
C051,2016,4,-0.5
C051,2016,5,2.0
C051,2016,6,6.6
C051,2016,7,7.9
C051,2016,8,9.3
C051,2016,9,9.8
C051,2016,10,2.8
C051,2016,11,1.9
C051,2016,12,-1.6
C0A0,2016,1,-1.3
C0A0,2016,2,-5.1
C0A0,2016,3,-0.3
C0A0,2016,4,-1.1
C0A0,2016,5,-0.4
C0A0,2016,6,4.5
C0A0,2016,7,5.7
C0A0,2016,8,7.3
C0A0,2016,9,6.6
C0A0,2016,10,1.6
C0A0,2016,11,-0.9
C0A0,2016,12,-3.9
C049,2016,1,-4.4
C049,2016,2,-6.7
C049,2016,3,-0.9
C049,2016,4,-3.7
C049,2016,5,-1.6
C049,2016,6,2.5
C049,2016,7,6.2
C049,2016,8,7.0
C049,2016,9,6.7
C049,2016,10,-0.3
C049,2016,11,-1.7
C049,2016,12,-4.0
C020,2016,1,-4.9
C020,2016,2,-7.6
C020,2016,3,-3.3
C020,2016,4,-4.9
C020,2016,5,-1.6
C020,2016,6,1.6
C020,2016,7,3.7
C020,2016,8,4.7
C020,2016,9,6.4
C020,2016,10,-2.6
C020,2016,11,-2.1
C020,2016,12,-6.7
C070,2016,1,0.6
C070,2016,2,-3.0
C070,2016,3,-0.5
C070,2016,4,-0.9
C070,2016,5,0.2
C070,2016,6,6.0
C070,2016,7,6.7
C070,2016,8,7.6
C070,2016,9,6.4
C070,2016,10,3.1
C070,2016,11,-1.3
C070,2016,12,-4.2
C050,2016,1,-2.1
C050,2016,2,-4.6
C050,2016,3,-0.8
C050,2016,4,-2.4
C050,2016,5,0.1
C050,2016,6,4.5
C050,2016,7,6.7
C050,2016,8,7.5
C050,2016,9,6.4
C050,2016,10,-0.1
C050,2016,11,-1.2
C050,2016,12,-3.4
C0B1,2016,1,0.4
C0B1,2016,2,-2.2
C0B1,2016,3,1.8
C0B1,2016,4,0.9
C0B1,2016,5,2.2
C0B1,2016,6,9.1
C0B1,2016,7,9.2
C0B1,2016,8,11.4
C0B1,2016,9,11.0
C0B1,2016,10,4.6
C0B1,2016,11,2.8
C0B1,2016,12,-0.1
C079,2016,1,-0.5
C079,2016,2,-2.6
C079,2016,3,-0.6
C079,2016,4,0.0
C079,2016,5,1.9
C079,2016,6,9.2
C079,2016,7,8.1
C079,2016,8,9.6
C079,2016,9,9.8
C079,2016,10,3.0
C079,2016,11,0.1
C079,2016,12,-2.2
C0C1,2016,1,1.6
C0C1,2016,2,-0.2
C0C1,2016,3,2.0
C0C1,2016,4,1.7
C0C1,2016,5,3.6
C0C1,2016,6,8.8
C0C1,2016,7,10.6
C0C1,2016,8,11.3
C0C1,2016,9,11.9
C0C1,2016,10,5.0
