code,year,month,viento_media_velocidades_maximas
C056,2016,1,43.7
C056,2016,2,40.3
C056,2016,3,38.1
C056,2016,5,35.1
C056,2016,10,26.0
C056,2016,11,32.7
C056,2016,12,24.4
C035,2016,1,35.8
C035,2016,2,35.9
C035,2016,3,36.0
C035,2016,4,37.2
C035,2016,5,33.8
C035,2016,6,29.4
C035,2016,7,28.7
C035,2016,8,29.1
C035,2016,9,30.3
C035,2016,10,24.4
C035,2016,11,28.9
C035,2016,12,24.0
C001,2016,1,40.8
C001,2016,2,38.4
C001,2016,3,37.4
C001,2016,4,39.8
C001,2016,5,33.9
C001,2016,6,32.8
C001,2016,7,33.7
C001,2016,8,34.8
C001,2016,9,32.5
C001,2016,10,23.4
C001,2016,11,28.3
C001,2016,12,15.8
C025,2016,1,57.1
C025,2016,2,53.7
C025,2016,3,53.4
C025,2016,4,53.4
C025,2016,5,49.6
C025,2016,6,41.6
C025,2016,7,40.1
C025,2016,8,43.1
C025,2016,9,45.2
C025,2016,10,37.0
C025,2016,11,47.5
C025,2016,12,41.8
C034,2016,1,37.7
C034,2016,2,38.2
C034,2016,3,35.9
C034,2016,4,38.3
C034,2016,5,33.3
C034,2016,6,31.3
C034,2016,7,32.7
C034,2016,8,32.2
C034,2016,9,30.4
C034,2016,10,24.6
C034,2016,11,31.1
C034,2016,12,18.3
C0AA,2016,1,37.1
C0AA,2016,2,39.8
C0AA,2016,3,40.5
C0AA,2016,4,42.2
C0AA,2016,5,40.1
C0AA,2016,11,32.9
C0AA,2016,12,23.9
C067,2016,1,41.6
C067,2016,2,37.5
C067,2016,3,34.0
C067,2016,4,38.0
C067,2016,5,34.3
C067,2016,6,29.2
C067,2016,7,27.5
C067,2016,8,31.3
C067,2016,9,29.7
C067,2016,10,28.1
C067,2016,11,32.9
C067,2016,12,33.7
C040,2016,1,48.1
C040,2016,2,46.7
C040,2016,3,45.1
C040,2016,4,47.2
C040,2016,5,44.3
C040,2016,6,38.9
C040,2016,7,40.0
C040,2016,8,40.0
C040,2016,9,39.2
C040,2016,10,29.1
C040,2016,11,35.8
C040,2016,12,22.8
C048,2016,1,73.4
C048,2016,2,65.1
C048,2016,3,63.5
C048,2016,4,59.6
C048,2016,5,52.0
C048,2016,6,45.1
C048,2016,7,43.8
C048,2016,8,47.4
C048,2016,9,44.8
C048,2016,10,39.4
C048,2016,11,57.3
C048,2016,12,40.7
C068,2016,1,46.4
C068,2016,2,50.1
C068,2016,3,46.4
C068,2016,4,52.3
C068,2016,5,50.8
C068,2016,6,48.2
C068,2016,7,51.1
C068,2016,8,51.8
C068,2016,9,48.4
C068,2016,10,43.8
C068,2016,11,41.3
C068,2016,12,36.6
C024,2016,1,48.8
C024,2016,2,51.2
C024,2016,3,50.0
C024,2016,4,45.9
C024,2016,5,45.9
C024,2016,6,38.3
C024,2016,7,35.1
C024,2016,8,38.7
C024,2016,9,38.7
C024,2016,10,34.3
C024,2016,11,42.2
C024,2016,12,34.0
C00A,2016,1,42.6
C00A,2016,2,47.1
C00A,2016,3,43.9
C00A,2016,4,42.9
C00A,2016,5,43.5
C00A,2016,6,35.0
C00A,2016,7,36.4
C00A,2016,8,36.1
C00A,2016,9,36.3
C00A,2016,10,32.8
C00A,2016,11,38.1
C00A,2016,12,32.6
C047,2016,1,70.3
C047,2016,2,63.6
C047,2016,3,58.7
C047,2016,4,55.8
C047,2016,5,50.8
C047,2016,6,43.7
C047,2016,7,42.0
C047,2016,8,45.5
C047,2016,9,43.8
C047,2016,10,39.5
C047,2016,11,54.3
C047,2016,12,41.5
C031,2016,1,41.9
C031,2016,2,52.0
C031,2016,3,45.8
C031,2016,4,48.6
C031,2016,5,45.9
C031,2016,6,45.6
C031,2016,7,46.1
C031,2016,8,45.5
C031,2016,9,40.9
C031,2016,10,36.6
C031,2016,11,39.8
C031,2016,12,29.2
C041,2016,1,49.6
C041,2016,2,46.1
C041,2016,3,38.7
C041,2016,4,41.4
C041,2016,5,42.4
C041,2016,6,31.7
C041,2016,7,28.7
C041,2016,8,31.8
C041,2016,9,34.1
C041,2016,10,30.0
C041,2016,11,37.7
C041,2016,12,28.5
C060,2016,1,48.8
C060,2016,2,54.2
C060,2016,3,53.1
C060,2016,4,48.1
C060,2016,5,44.0
C060,2016,6,39.7
C060,2016,7,36.2
C060,2016,8,37.2
C060,2016,9,35.3
C060,2016,10,29.6
C060,2016,11,39.1
C060,2016,12,28.6
C021,2016,1,52.6
C021,2016,2,57.7
C021,2016,3,55.9
C021,2016,4,50.2
C021,2016,5,48.5
C021,2016,6,39.3
C021,2016,7,38.1
C021,2016,8,42.3
C021,2016,9,40.4
C021,2016,10,38.1
C021,2016,11,45.8
C021,2016,12,37.1
C030,2016,1,37.5
C030,2016,2,38.9
C030,2016,3,38.4
C030,2016,4,40.5
C030,2016,5,37.4
C030,2016,6,34.2
C030,2016,7,36.3
C030,2016,8,37.9
C030,2016,9,34.4
C030,2016,10,28.9
C030,2016,11,30.2
C030,2016,12,23.0
C051,2016,1,49.2
C051,2016,2,37.6
C051,2016,3,34.7
C051,2016,4,39.3
C051,2016,5,35.1
C051,2016,6,29.2
C051,2016,7,27.5
C051,2016,8,30.1
C051,2016,9,30.6
C051,2016,10,24.8
C051,2016,11,31.6
C051,2016,12,25.6
C020,2016,1,50.9
C020,2016,2,46.2
C020,2016,3,42.0
C020,2016,4,45.9
C020,2016,5,41.5
C020,2016,6,38.6
C020,2016,7,37.2
C020,2016,8,37.7
C020,2016,9,37.2
C020,2016,10,30.5
C020,2016,11,35.3
C020,2016,12,22.5
C050,2016,1,48.3
C050,2016,2,43.5
C050,2016,3,39.0
C050,2016,4,42.2
C050,2016,5,38.8
C050,2016,6,38.0
C050,2016,7,37.4
C050,2016,8,38.0
C050,2016,9,34.8
C050,2016,10,29.4
C050,2016,11,33.5
C050,2016,12,24.0
C061,2016,1,76.6
C061,2016,2,63.6
C061,2016,3,50.3
C061,2016,4,51.2
C061,2016,5,41.7
C061,2016,6,30.3
C061,2016,7,28.6
C061,2016,8,32.6
C061,2016,9,36.9
C061,2016,10,32.4
C061,2016,11,51.5
C061,2016,12,47.4
C032,2016,1,31.3
C032,2016,2,35.4
C032,2016,3,31.6
C032,2016,4,33.2
C032,2016,5,33.5
C032,2016,6,31.9
C032,2016,7,28.2
C032,2016,8,33.4
C032,2016,9,30.4
C032,2016,10,25.5
C032,2016,11,25.2
C032,2016,12,22.3
C002,2016,1,36.6
C002,2016,2,42.9
C002,2016,3,38.0
C002,2016,4,35.1
C002,2016,5,35.1
C002,2016,6,32.7
C002,2016,7,26.4
C002,2016,8,29.2
C002,2016,9,31.6
C002,2016,10,24.1
C002,2016,11,30.8
C002,2016,12,19.1
C069,2016,1,48.8
C069,2016,2,52.9
C069,2016,3,42.4
C069,2016,4,34.4
C069,2016,5,33.5
C069,2016,6,28.3
C069,2016,7,23.8
C069,2016,8,25.7
C069,2016,9,31.3
C069,2016,10,23.6
C069,2016,11,39.3
C069,2016,12,28.8
C065,2016,1,75.8
C065,2016,2,67.6
C065,2016,3,58.5
C065,2016,4,57.6
C065,2016,5,49.9
C065,2016,6,36.3
C065,2016,7,31.1
C065,2016,8,34.5
C065,2016,9,41.6
C065,2016,10,35.8
C065,2016,11,51.4
C065,2016,12,37.3
C003,2016,1,39.9
C003,2016,2,40.5
C003,2016,3,37.7
C003,2016,4,36.2
C003,2016,5,37.5
C003,2016,6,29.6
C003,2016,7,26.8
C003,2016,8,29.8
C003,2016,9,31.0
C003,2016,10,26.4
C003,2016,11,31.6
C003,2016,12,26.1
C039,2016,1,56.3
C039,2016,2,50.1
C039,2016,3,45.1
C039,2016,4,44.5
C039,2016,5,41.1
C039,2016,6,35.3
C039,2016,7,31.5
C039,2016,8,35.0
C039,2016,9,35.5
C039,2016,10,30.4
C039,2016,11,41.4
C039,2016,12,35.0
C075,2016,1,38.5
C075,2016,2,41.6
C075,2016,3,38.8
C075,2016,4,37.1
C075,2016,5,34.9
C075,2016,6,30.0
C075,2016,7,25.4
C075,2016,8,27.9
C038,2016,1,49.3
C038,2016,2,44.7
C038,2016,3,39.8
