code,year,month,viento_velocidad_media
C056,2016,1,12.3
C056,2016,2,10.9
C056,2016,3,10.3
C056,2016,5,7.1
C056,2016,10,4.6
C056,2016,11,7.2
C056,2016,12,4.9
C035,2016,1,7.2
C035,2016,2,7.3
C035,2016,3,7.1
C035,2016,4,7.8
C035,2016,5,7.2
C035,2016,6,6.3
C035,2016,7,6.6
C035,2016,8,6.3
C035,2016,9,6.3
C035,2016,10,5.1
C035,2016,11,6.2
C035,2016,12,5.9
C001,2016,1,11.3
C001,2016,2,9.3
C001,2016,3,9.1
C001,2016,4,8.6
C001,2016,5,6.4
C001,2016,6,6.6
C001,2016,7,7.8
C001,2016,8,7.0
C001,2016,9,5.9
C001,2016,10,3.8
C001,2016,11,5.6
C001,2016,12,2.6
C025,2016,1,20.5
C025,2016,2,19.3
C025,2016,3,18.8
C025,2016,4,19.9
C025,2016,5,18.2
C025,2016,6,14.7
C025,2016,7,15.3
C025,2016,8,16.1
C025,2016,9,16.1
C025,2016,10,14.5
C025,2016,11,18.3
C025,2016,12,20.4
C034,2016,1,8.2
C034,2016,2,7.3
C034,2016,3,7.5
C034,2016,4,8.3
C034,2016,5,6.5
C034,2016,6,6.0
C034,2016,7,7.2
C034,2016,8,6.9
C034,2016,9,5.7
C034,2016,10,5.3
C034,2016,11,5.8
C034,2016,12,4.8
C0AA,2016,1,10.9
C0AA,2016,2,11.2
C0AA,2016,3,11.4
C0AA,2016,4,11.0
C0AA,2016,5,10.9
C0AA,2016,11,8.7
C0AA,2016,12,5.9
C067,2016,1,9.3
C067,2016,2,7.9
C067,2016,3,6.8
C067,2016,4,8.2
C067,2016,5,7.3
C067,2016,6,6.3
C067,2016,7,6.0
C067,2016,8,6.8
C067,2016,9,6.1
C067,2016,10,5.8
C067,2016,11,7.5
C067,2016,12,9.0
C040,2016,1,11.4
C040,2016,2,10.1
C040,2016,3,10.4
C040,2016,4,10.3
C040,2016,5,10.1
C040,2016,6,8.9
C040,2016,7,10.4
C040,2016,8,9.3
C040,2016,9,7.6
C040,2016,10,5.8
C040,2016,11,8.2
C040,2016,12,5.5
C048,2016,1,27.1
C048,2016,2,22.8
C048,2016,3,22.0
C048,2016,4,19.0
C048,2016,5,16.5
C048,2016,6,14.6
C048,2016,7,13.8
C048,2016,8,15.0
C048,2016,9,14.1
C048,2016,10,12.0
C048,2016,11,18.7
C048,2016,12,13.1
C068,2016,1,14.7
C068,2016,2,13.9
C068,2016,3,13.7
C068,2016,4,14.6
C068,2016,5,14.0
C068,2016,6,12.5
C068,2016,7,14.5
C068,2016,8,14.3
C068,2016,9,13.1
C068,2016,10,12.3
C068,2016,11,12.3
C068,2016,12,10.7
C024,2016,1,16.0
C024,2016,2,16.1
C024,2016,3,15.7
C024,2016,4,14.4
C024,2016,5,14.5
C024,2016,6,10.7
C024,2016,7,9.8
C024,2016,8,11.3
C024,2016,9,11.2
C024,2016,10,10.5
C024,2016,11,14.3
C024,2016,12,10.6
C00A,2016,1,12.2
C00A,2016,2,13.3
C00A,2016,3,11.9
C00A,2016,4,10.6
C00A,2016,5,12.4
C00A,2016,6,10.2
C00A,2016,7,10.6
C00A,2016,8,11.5
C00A,2016,9,10.3
C00A,2016,10,9.4
C00A,2016,11,11.5
C00A,2016,12,10.1
C047,2016,1,28.8
C047,2016,2,24.6
C047,2016,3,23.8
C047,2016,4,20.5
C047,2016,5,19.5
C047,2016,6,16.8
C047,2016,7,16.1
C047,2016,8,18.8
C047,2016,9,16.8
C047,2016,10,14.7
C047,2016,11,21.4
C047,2016,12,16.6
C031,2016,1,12.9
C031,2016,2,15.4
C031,2016,3,14.7
C031,2016,4,14.3
C031,2016,5,15.4
C031,2016,6,13.7
C031,2016,7,13.7
C031,2016,8,14.7
C031,2016,9,12.6
C031,2016,10,11.2
C031,2016,11,13.8
C031,2016,12,10.3
C041,2016,1,13.0
C041,2016,2,11.3
C041,2016,3,10.5
C041,2016,4,10.1
C041,2016,5,11.5
C041,2016,6,7.4
C041,2016,7,7.6
C041,2016,8,8.6
C041,2016,9,8.2
C041,2016,10,7.1
C041,2016,11,10.1
C041,2016,12,8.6
C060,2016,1,14.6
C060,2016,2,15.4
C060,2016,3,14.8
C060,2016,4,12.9
C060,2016,5,13.0
C060,2016,6,8.9
C060,2016,7,7.7
C060,2016,8,9.4
C060,2016,9,8.8
C060,2016,10,7.6
C060,2016,11,11.9
C060,2016,12,9.2
C021,2016,1,18.7
C021,2016,2,20.8
C021,2016,3,21.2
C021,2016,4,18.5
C021,2016,5,17.5
C021,2016,6,12.8
C021,2016,7,12.9
C021,2016,8,14.5
C021,2016,9,14.0
C021,2016,10,12.5
C021,2016,11,16.9
C021,2016,12,12.3
C030,2016,1,9.6
C030,2016,2,9.9
C030,2016,3,10.3
C030,2016,4,10.1
C030,2016,5,8.6
C030,2016,6,6.7
C030,2016,7,7.9
C030,2016,8,8.4
C030,2016,9,7.5
C030,2016,10,5.7
C030,2016,11,6.8
C030,2016,12,4.8
C051,2016,1,9.2
C051,2016,2,7.5
C051,2016,3,6.3
C051,2016,4,7.8
C051,2016,5,6.5
C051,2016,6,5.9
C051,2016,7,5.8
C051,2016,8,5.7
C051,2016,9,5.8
C051,2016,10,5.1
C051,2016,11,6.1
C051,2016,12,5.7
C020,2016,1,12.9
C020,2016,2,11.6
C020,2016,3,11.7
C020,2016,4,11.2
C020,2016,5,10.9
C020,2016,6,7.9
C020,2016,7,8.2
C020,2016,8,8.7
C020,2016,9,8.4
C020,2016,10,6.8
C020,2016,11,9.6
C020,2016,12,6.9
C050,2016,1,14.5
C050,2016,2,11.6
C050,2016,3,11.0
C050,2016,4,10.9
C050,2016,5,9.5
C050,2016,6,9.6
C050,2016,7,10.9
C050,2016,8,9.9
C050,2016,9,8.7
C050,2016,10,7.5
C050,2016,11,8.8
C050,2016,12,8.1
C061,2016,1,24.2
C061,2016,2,18.2
C061,2016,3,14.8
C061,2016,4,13.7
C061,2016,5,10.8
C061,2016,6,8.2
C061,2016,7,7.1
C061,2016,8,7.3
C061,2016,9,9.3
C061,2016,10,8.7
C061,2016,11,15.5
C061,2016,12,14.0
C032,2016,1,5.1
C032,2016,2,5.7
C032,2016,3,5.0
C032,2016,4,5.9
C032,2016,5,5.3
C032,2016,6,4.7
C032,2016,7,4.5
C032,2016,8,5.0
C032,2016,9,4.4
C032,2016,10,3.9
C032,2016,11,4.0
C032,2016,12,4.3
C002,2016,1,5.5
C002,2016,2,6.8
C002,2016,3,6.1
C002,2016,4,5.5
C002,2016,5,5.9
C002,2016,6,5.3
C002,2016,7,4.3
C002,2016,8,4.5
C002,2016,9,4.1
C002,2016,10,3.4
C002,2016,11,4.2
C002,2016,12,3.1
C069,2016,1,13.2
C069,2016,2,13.7
C069,2016,3,12.3
C069,2016,4,11.2
C069,2016,5,10.9
C069,2016,6,8.9
C069,2016,7,8.2
C069,2016,8,8.2
C069,2016,9,8.7
C069,2016,10,7.4
C069,2016,11,10.9
C069,2016,12,8.3
C065,2016,1,23.6
C065,2016,2,22.0
C065,2016,3,20.2
C065,2016,4,18.2
C065,2016,5,15.3
C065,2016,6,11.6
C065,2016,7,9.0
C065,2016,8,9.4
C065,2016,9,12.4
C065,2016,10,10.8
C065,2016,11,16.9
C065,2016,12,11.1
C003,2016,1,7.2
C003,2016,2,7.7
C003,2016,3,6.9
C003,2016,4,7.1
C003,2016,5,7.3
C003,2016,6,5.9
C003,2016,7,5.2
C003,2016,8,5.7
C003,2016,9,5.5
C003,2016,10,4.8
C003,2016,11,5.9
C003,2016,12,5.2
C039,2016,1,15.0
C039,2016,2,13.8
C039,2016,3,12.2
C039,2016,4,11.9
C039,2016,5,12.8
C039,2016,6,10.6
C039,2016,7,9.6
C039,2016,8,10.6
C039,2016,9,9.8
C039,2016,10,9.1
C039,2016,11,10.3
C039,2016,12,11.8
C075,2016,1,6.6
C075,2016,2,7.1
C075,2016,3,7.2
C075,2016,4,6.7
C075,2016,5,7.2
C075,2016,6,6.4
C075,2016,7,5.2
C075,2016,8,5.4
C038,2016,1,10.6
C038,2016,2,9.6
C038,2016,3,8.9
C038,2016,4,8.9
C038,2016,5,8.0
C038,2016,6,7.2
C038,2016,7,6.4
C038,2016,8,6.6
C038,2016,9,7.0
C038,2016,10,5.9
C038,2016,11,7.6
C038,2016,12,6.0
C033,2016,1,10.1
C033,2016,2,8.5
C033,2016,4,9.4
C033,2016,5,9.1
C033,2016,12,8.0
C036,2016,1,10.1
C036,2016,2,10.8
C036,2016,3,10.4
C036,2016,4,10.5
C036,2016,5,10.4
C036,2016,6,8.4
C036,2016,7,8.0
C036,2016,8,8.1
C036,2016,9,8.4
C036,2016,10,6.2
C036,2016,11,8.3
C036,2016,12,6.4
C045,2016,1,30.4
C045,2016,4,22.2
C045,2016,5,19.2
C045,2016,6,15.5
C045,2016,7,13.8
C045,2016,8,16.1
C045,2016,9,17.7
C045,2016,10,17.1
C045,2016,11,23.8
C045,2016,12,20.7
C019,2016,1,38.5
C019,2016,2,36.5
C019,2016,3,30.9
C019,2016,4,27.1
C019,2016,5,25.6
C019,2016,6,22.1
C019,2016,7,17.7
C019,2016,8,19.2
C019,2016,9,23.2
C019,2016,10,21.3
C019,2016,11,31.1
C019,2016,12,23.1
C057,2016,1,9.5
C057,2016,2,10.7
C057,2016,3,9.8
C057,2016,4,9.1
C057,2016,5,9.5
C057,2016,6,7.0
C057,2016,7,5.8
C057,2016,8,5.9
C057,2016,9,6.1
C057,2016,10,4.9
C057,2016,11,6.8
C057,2016,12,6.1
C046,2016,1,34.7
C046,2016,2,33.7
C046,2016,3,30.8
C046,2016,4,29.5
C046,2016,5,27.6
C046,2016,6,20.2
C046,2016,7,18.7
C046,2016,8,20.3
C046,2016,9,23.2
C046,2016,10,19.7
C046,2016,11,27.9
C046,2016,12,27.2
C059,2016,1,13.2
C059,2016,2,11.2
C059,2016,3,10.1
C059,2016,4,9.4
C059,2016,5,8.1
C059,2016,6,6.6
C059,2016,7,5.3
C059,2016,8,6.1
C059,2016,9,6.1
C059,2016,10,4.7
C059,2016,11,7.9
C059,2016,12,5.8
C072,2016,1,40.7
C072,2016,2,27.3
C072,2016,3,22.9
C072,2016,4,25.7
C072,2016,5,17.5
C072,2016,6,11.6
C072,2016,7,14.3
C072,2016,8,15.7
C072,2016,9,18.4
C072,2016,10,20.8
C072,2016,11,26.9
C072,2016,12,28.1
C0B4,2016,1,6.7
C0B4,2016,2,5.3
C0B4,2016,3,4.5
C0B4,2016,4,5.7
C0B4,2016,5,5.4
C0B4,2016,6,5.2
C0B4,2016,7,5.1
C0B4,2016,8,5.4
C0B4,2016,9,4.6
C0B4,2016,10,4.0
C0B4,2016,11,4.4
C0B4,2016,12,5.8
C054,2016,1,6.3
C054,2016,2,7.0
C054,2016,3,7.1
C054,2016,4,6.9
C054,2016,5,6.2
C054,2016,6,5.9
C054,2016,7,6.4
C054,2016,8,5.8
C054,2016,9,5.2
C054,2016,10,3.8
C054,2016,11,4.8
C054,2016,12,4.6
C042,2016,1,24.5
C042,2016,2,25.8
C042,2016,3,24.2
C042,2016,4,19.6
C042,2016,5,17.4
C042,2016,6,15.7
C042,2016,7,14.0
C042,2016,8,14.3
C042,2016,9,15.6
C042,2016,10,13.6
C042,2016,11,20.1
C042,2016,12,17.4
C0C3,2016,1,5.7
C0C3,2016,2,6.1
C0C3,2016,3,5.7
C0C3,2016,4,7.4
C0C3,2016,5,7.1
C0C3,2016,6,7.2
C0C3,2016,7,6.7
C0C3,2016,8,7.2
C0C3,2016,9,6.1
C0C3,2016,10,5.4
C0C3,2016,11,4.9
C0C3,2016,12,5.0
C066,2016,1,30.3
C066,2016,2,25.6
C066,2016,3,23.0
C066,2016,4,21.8
C066,2016,5,17.5
C066,2016,6,13.6
C066,2016,7,13.2
C066,2016,8,14.7
C066,2016,9,15.6
C066,2016,10,16.2
C066,2016,11,21.8
C066,2016,12,20.9
C022,2016,1,14.1
C022,2016,2,12.3
C022,2016,3,12.0
C022,2016,4,11.7
C022,2016,5,8.9
C022,2016,6,6.3
C022,2016,7,6.4
C022,2016,8,6.9
C022,2016,9,7.4
C022,2016,10,7.9
C022,2016,11,11.4
C022,2016,12,13.2
C037,2016,1,13.3
C037,2016,2,11.8
C037,2016,3,10.9
C037,2016,4,10.5
C037,2016,5,9.6
C037,2016,6,8.3
C037,2016,7,7.6
C037,2016,9,8.1
C037,2016,10,6.9
C037,2016,11,9.2
C037,2016,12,9.3
C023,2016,1,8.5
C023,2016,2,8.0
C023,2016,3,7.4
C023,2016,4,7.8
C023,2016,5,7.4
C023,2016,6,6.0
C023,2016,9,6.0
C023,2016,10,4.3
C023,2016,11,5.5
C026,2016,1,7.0
C026,2016,2,7.7
C026,2016,3,6.8
C026,2016,4,8.6
C026,2016,5,7.4
C026,2016,6,5.7
C026,2016,7,5.3
C026,2016,8,5.5
C026,2016,9,5.2
C026,2016,10,5.1
C026,2016,11,6.2
C026,2016,12,6.4
C058,2016,1,10.9
C058,2016,2,11.3
C058,2016,3,11.0
C058,2016,4,11.7
C058,2016,5,9.7
C058,2016,6,7.0
C058,2016,7,6.6
C058,2016,8,6.6
C058,2016,9,7.3
C058,2016,10,7.0
C058,2016,11,10.1
C058,2016,12,8.4
C018,2016,1,16.2
C018,2016,2,17.4
C018,2016,3,16.8
C018,2016,4,12.9
C018,2016,5,11.8
C018,2016,6,11.4
C018,2016,7,9.3
C018,2016,8,9.4
C018,2016,9,9.9
C018,2016,10,8.5
C018,2016,11,12.3
C018,2016,12,7.6
C071,2016,1,29.1
C071,2016,2,27.6
C071,2016,3,24.5
C071,2016,4,23.1
C071,2016,5,22.4
C071,2016,6,18.2
C071,2016,7,14.8
C071,2016,8,15.6
C071,2016,9,17.8
C071,2016,10,16.8
C071,2016,11,24.1
C071,2016,12,16.3
C0EC,2016,1,8.7
C0EC,2016,2,7.5
C0EC,2016,3,7.2
C0EC,2016,4,7.1
C0EC,2016,5,6.2
C0EC,2016,6,5.3
C0EC,2016,7,4.8
C0EC,2016,8,5.0
C0EC,2016,9,5.8
C0EC,2016,10,5.0
C0EC,2016,11,6.3
C0EC,2016,12,7.6
C017,2016,1,11.4
C017,2016,2,12.0
C017,2016,3,11.5
C017,2016,4,9.9
C017,2016,5,9.9
C017,2016,6,7.7
C017,2016,7,6.5
C017,2016,8,6.9
C017,2016,9,7.8
C017,2016,10,7.2
C017,2016,11,8.5
C017,2016,12,9.1
C043,2016,1,8.5
C043,2016,2,7.1
C043,2016,3,7.0
C043,2016,4,7.8
C043,2016,5,6.4
C043,2016,6,5.2
C043,2016,7,5.2
C043,2016,8,5.7
C043,2016,9,5.1
C043,2016,10,4.2
C043,2016,11,5.2
C007,2016,1,15.0
C007,2016,2,17.2
C007,2016,3,17.5
C007,2016,4,15.0
C007,2016,5,15.5
C007,2016,6,12.1
C007,2016,7,10.7
C007,2016,8,11.1
C007,2016,9,11.7
C007,2016,10,9.6
C007,2016,11,12.2
C064,2016,1,19.0
C064,2016,2,19.4
C064,2016,3,18.9
C064,2016,4,15.2
C064,2016,5,13.2
C064,2016,6,11.7
C064,2016,7,10.7
C064,2016,8,10.4
C064,2016,9,11.4
C064,2016,10,10.0
C064,2016,11,14.2
C064,2016,12,12.1
C028,2016,1,13.8
C028,2016,2,12.2
