code,year,month,viento_velocidad_racha_maxima
C056,2016,1,94.7
C056,2016,2,90.7
C056,2016,3,70.6
C056,2016,4,58.3
C056,2016,5,67.3
C056,2016,6,49.0
C056,2016,7,57.6
C056,2016,8,61.2
C056,2016,9,65.5
C056,2016,10,55.4
C056,2016,11,57.6
C056,2016,12,79.2
C035,2016,1,79.2
C035,2016,2,71.3
C035,2016,3,63.0
C035,2016,4,60.5
C035,2016,5,61.9
C035,2016,6,43.2
C035,2016,7,38.5
C035,2016,8,44.6
C035,2016,9,56.5
C035,2016,10,41.4
C035,2016,11,55.4
C035,2016,12,52.6
C001,2016,1,97.2
C001,2016,2,90.4
C001,2016,3,70.6
C001,2016,4,62.6
C001,2016,5,73.1
C001,2016,6,59.4
C001,2016,7,44.6
C001,2016,8,67.0
C001,2016,9,83.2
C001,2016,10,51.8
C001,2016,11,61.9
C001,2016,12,35.6
C025,2016,1,108.0
C025,2016,2,102.2
C025,2016,3,91.4
C025,2016,4,90.0
C025,2016,5,95.4
C025,2016,6,61.2
C025,2016,7,53.3
C025,2016,8,79.2
C025,2016,9,91.8
C025,2016,10,68.4
C025,2016,11,78.1
C025,2016,12,74.9
C034,2016,1,85.0
C034,2016,2,86.4
C034,2016,3,61.9
C034,2016,4,64.8
C034,2016,5,68.8
C034,2016,6,65.9
C034,2016,7,44.6
C034,2016,8,45.0
C034,2016,9,71.3
C034,2016,10,45.0
C034,2016,11,61.2
C034,2016,12,30.2
C0AA,2016,1,78.5
C0AA,2016,2,79.2
C0AA,2016,3,65.2
C0AA,2016,4,66.6
C0AA,2016,5,83.9
C0AA,2016,6,51.8
C0AA,2016,8,54.7
C0AA,2016,9,87.5
C0AA,2016,10,67.0
C0AA,2016,11,60.1
C0AA,2016,12,69.8
C067,2016,1,78.5
C067,2016,2,79.9
C067,2016,3,76.3
C067,2016,4,76.7
C067,2016,5,62.6
C067,2016,6,63.4
C067,2016,7,53.6
C067,2016,8,43.9
C067,2016,9,54.4
C067,2016,10,65.2
C067,2016,11,81.0
C067,2016,12,79.2
C040,2016,1,114.5
C040,2016,2,92.2
C040,2016,3,81.0
C040,2016,4,75.2
C040,2016,5,82.1
C040,2016,6,63.7
C040,2016,7,48.6
C040,2016,8,70.2
C040,2016,9,79.9
C040,2016,10,51.8
C040,2016,11,74.5
C040,2016,12,50.0
C048,2016,1,126.0
C048,2016,2,117.7
C048,2016,3,94.7
C048,2016,4,99.0
C048,2016,5,88.9
C048,2016,6,75.2
