PRODUCTODES_C;CODIGO MUNICIPIO;NOMBRE LOCALIDAD
FRUTALES;48009;Arrankudiaga
FRUTALES;48025;Zeberio
FRUTALES;48025;Zeberio
FRUTALES;48060;Markina-Xemein
FRUTALES;48011;Arrigorriaga
MANZANO;48023;Artea
MANZANO;48023;Artea
MANZANO;48049;Ispaster
MANZANO;48049;Ispaster
FRUTALES;48009;Arrankudiaga
FRUTALES;48009;Arrankudiaga
FRUTALES;48009;Arrankudiaga
MANZANO;48070;Aulesti
FRUTALES;48070;Aulesti
FRUTALES;48070;Aulesti
FRUTALES;48019;Berriz
FRUTALES;48067;Muxika
FRUTALES;48081;Lezama
FRUTALES;48038;Gamiz-Fika
FRUTALES;48038;Gamiz-Fika
FRUTALES;48071;Muskiz
FRUTALES;48018;Berriatua
FRUTALES;48024;Zeanuri
FRUTALES;48092;Bedia
FRUTALES;48032;Elorrio
FRUTALES;48032;Elorrio
FRUTALES;48032;Elorrio
FRUTALES;48067;Muxika
FRUTALES;48067;Muxika
FRUTALES;48064;Meñaka
FRUTALES;48905;Zamudio
FRUTALES;48905;Zamudio
FRUTALES;48905;Zamudio
FRUTALES;48009;Arrankudiaga
VI•EDO DE TXAKOLI;48090;Balmaseda
VI•EDO DE TXAKOLI;48090;Balmaseda
FRUTALES;48090;Balmaseda
FRUTALES;48063;Mendexa
FRUTALES;48009;Arrankudiaga
FRUTALES;48067;Muxika
FRUTALES;48067;Muxika
VI•EDO DE TXAKOLI;48045;Güeñes
FRUTALES;48045;Güeñes
VI•EDO DE TXAKOLI;48045;Güeñes
VI•EDO DE TXAKOLI;48012;Bakio
VI•EDO DE TXAKOLI;48012;Bakio
FRUTALES;48012;Bakio
VI•EDO DE TXAKOLI;48012;Bakio
VI•EDO DE TXAKOLI;48012;Bakio
FRUTALES;48024;Zeanuri
FRUTALES;48902;Erandio
FRUTALES;48066;Morga
FRUTALES;48066;Morga
MANZANO;48901;Derio
FRUTALES;48906;Forua
FRUTALES;48906;Forua
FRUTALES;48906;Forua
FRUTALES;48903;Loiu
FRUTALES;48017;Bermeo
FRUTALES;48017;Bermeo
FRUTALES;48062;Mendata
FRUTALES;48070;Aulesti
FRUTALES;48911;Ajangiz
FRUTALES;48911;Ajangiz
VI•EDO DE TXAKOLI;48042;Gordexola
VI•EDO DE TXAKOLI;48042;Gordexola
FRUTALES;48915;Ziortza-Bolibar
FRUTALES;48915;Ziortza-Bolibar
FRUTALES;48915;Ziortza-Bolibar
FRUTALES;48067;Muxika
VI•EDO DE TXAKOLI;48067;Muxika
FRUTALES;48016;Berango
FRUTALES;48062;Mendata
FRUTALES;48058;Mallabia
FRUTALES;48058;Mallabia
FRUTALES;48058;Mallabia
FRUTALES;48058;Mallabia
FRUTALES;48058;Mallabia
FRUTALES;48027;Durango
FRUTALES;48027;Durango
FRUTALES;48027;Durango
FRUTALES;48021;Busturia
FRUTALES;48009;Arrankudiaga
FRUTALES;48009;Arrankudiaga
FRUTALES;48067;Muxika
MANZANO;48070;Aulesti
AKTINIDIA (KIWI);48070;Aulesti
MANZANO;48070;Aulesti
FRUTALES;48079;Errigoiti
FRUTALES;48079;Errigoiti
FRUTALES;48079;Errigoiti
FRUTALES;48025;Zeberio
VI•EDO DE TXAKOLI;48025;Zeberio
FRUTALES;48079;Errigoiti
FRUTALES;48061;Maruri-Jatabe
FRUTALES;48061;Maruri-Jatabe
FRUTALES;48061;Maruri-Jatabe
FRUTALES;48061;Maruri-Jatabe
FRUTALES;48086;Sopuerta
FRUTALES;48086;Sopuerta
FRUTALES;48069;Mungia
FRUTALES;48069;Mungia
FRUTALES;48069;Mungia
FRUTALES;48019;Berriz
FRUTALES;48019;Berriz
FRUTALES;48033;Ereño
FRUTALES;48069;Mungia
FRUTALES;48069;Mungia
FRUTALES;48069;Mungia
FRUTALES;48017;Bermeo
FRUTALES;48017;Bermeo
FRUTALES;48017;Bermeo
FRUTALES;48017;Bermeo
FRUTALES;48029;Etxebarri
MANZANO;48079;Errigoiti
AKTINIDIA (KIWI);48041;Gautegiz Arteaga
AKTINIDIA (KIWI);48041;Gautegiz Arteaga
AKTINIDIA (KIWI);48009;Arrankudiaga
AKTINIDIA (KIWI);48041;Gautegiz Arteaga
AKTINIDIA (KIWI);48041;Gautegiz Arteaga
FRUTALES;48010;Arrieta
FRUTALES;48010;Arrieta
AKTINIDIA (KIWI);48010;Arrieta
FRUTALES;48069;Mungia
FRUTALES;48069;Mungia
FRUTALES;48901;Derio
VI•EDO DE TXAKOLI;48081;Lezama
VI•EDO DE TXAKOLI;48081;Lezama
VI•EDO DE TXAKOLI;48081;Lezama
FRUTALES;48903;Loiu
FRUTALES;48055;Lemoa
FRUTALES;48055;Lemoa
FRUTALES;48009;Arrankudiaga
FRUTALES;48910;Iurreta
VI•EDO DE TXAKOLI;48903;Loiu
FRUTALES;48903;Loiu
FRUTALES;48009;Arrankudiaga
FRUTALES;48069;Mungia
FRUTALES;48069;Mungia
VI•EDO DE TXAKOLI;48069;Mungia
AKTINIDIA (KIWI);48069;Mungia
FRUTALES;48069;Mungia
FRUTALES;48069;Mungia
FRUTALES;48913;Zierbena
FRUTALES;48913;Zierbena
FRUTALES;48913;Zierbena
FRUTALES;48070;Aulesti
FRUTALES;48070;Aulesti
