CODIGO MUNICIPIO;NOMBRE MUNICIPIO;NIDOS 2020
48001;Abadiño;
48002;Abanto y Ciérvana-Abanto Zierbena;
48911;Ajangiz;
48912;Alonsotegi;
48003;Amorebieta-Etxano;
48004;Amoroto;
48005;Arakaldo;
48006;Arantzazu;
48093;Areatza;
48009;Arrankudiaga;
48914;Arratzu;
48010;Arrieta;
48011;Arrigorriaga;
48023;Artea;
48008;Artzentales;
48091;Atxondo;
48070;Aulesti;
48012;Bakio;
48090;Balmaseda;
48013;Barakaldo;
48014;Barrika;
48015;Basauri;
48092;Bedia;
48016;Berango;
48017;Bermeo;
48018;Berriatua;
48019;Berriz;
48020;Bilbao;
48021;Busturia;
48901;Derio;
48026;Dima;
48027;Durango;
48028;Ea;
48031;Elantxobe;
48032;Elorrio;
48902;Erandio;
48033;Ereño;
48034;Ermua;
48079;Errigoiti;
48029;Etxebarri;
48030;Etxebarria;
48906;Forua;
48035;Fruiz;
48036;Galdakao;
48037;Galdames;
48038;Gamiz-Fika;
48039;Garai;
48040;Gatika;
48041;Gautegiz Arteaga;
48046;Gernika-Lumo;
48044;Getxo;
48047;Gizaburuaga;
48042;Gordexola;
48043;Gorliz;
48045;Güeñes;
48048;Ibarrangelu;
48094;Igorre;
48049;Ispaster;
48910;Iurreta;
48050;Izurtza;
48022;Karrantza Harana/Valle de Carranza;
48907;Kortezubi;
48051;Lanestosa;
48052;Larrabetzu;
48053;Laukiz;
48054;Leioa;
48057;Lekeitio;
48055;Lemoa;
48056;Lemoiz;
48081;Lezama;
48903;Loiu;
48058;Mallabia;
48059;Mañaria;
48060;Markina-Xemein;
48061;Maruri-Jatabe;
48062;Mendata;
48063;Mendexa;
48064;Meñaka;
48066;Morga;
48068;Mundaka;
48069;Mungia;
48007;Munitibar-Arbatzegi Gerrikaitz;
48908;Murueta;
48071;Muskiz;
48067;Muxika;
48909;Nabarniz;
48073;Ondarroa;
48075;Orozko;
48083;Ortuella;
48072;Otxandio;
48077;Plentzia;
48078;Portugalete;
48082;Santurtzi;
48084;Sestao;
48904;Sondika;
48085;Sopela;
48086;Sopuerta;
48076;Sukarrieta;
48087;Trucios-Turtzioz;
48088;Ubide;
48065;Ugao-Miraballes;
48089;Urduliz;
48074;Urduña/Orduña;
48080;Valle de Trápaga-Trapagaran;
48095;Zaldibar;
48096;Zalla;
48905;Zamudio;
48097;Zaratamo;
48024;Zeanuri;
48025;Zeberio;
48913;Zierbena;
48915;Ziortza-Bolibar;
