_id,URTEA/ANIO,JARDUERA_ZENBAKIA/NUM_ACTUACION,ALTA_DATA/FECHA ALTA,ERABILTZAILEA_EU/USUARIO_EU,ERABILTZAILEA_CAS/USUARIO_CAS,UDALERRIA/MUNICIPIO,HELBIDEA/DIRECCION,ESPEZIE/ESPECIE,KOKALEKUA/UBICACION,ALTUERA/ALTURA,DIAMETROA/DIAMETRO,longitude,latitude,EGOERA_EU/ESTADO_EU,EGOERA_CAS/ESTADO_CAS,ITXIERA_DATA/FECHA CIERRE,ITXIERAKO AGENTEA_EU/AGENTE CIERRE_EU,ITXIERAKO AGENTEA_CAS/AGENTE CIERRE_CAS
1,2019,214,2019-07-06 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,OLALDE,AVISPA ASIÁTICA,CONSTRUCCIÓN,0,1,"532124,0816","4777436,519",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-06-15 00:00:00,SUHILTZAILEAK,BOMBEROS
2,2019,22,2019-03-25 00:00:00,BASALAN,BASALAN,ABADIÑO,MCDONALD'S ABADIÑO,AVISPA ASIÁTICA,CONSTRUCCIÓN,8,10,"531000,5783","4779715,773",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-03-25 00:00:00,BASALAN,BASALAN
3,2019,434,2019-08-07 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GEREDIAGA AUZOA 2  ,AVISPA COMÚN,CONSTRUCCIÓN,2,2,"532159,4404","4779313,024",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-09-07 00:00:00,SUHILTZAILEAK,BOMBEROS
4,2019,565,2019-07-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,MUNTSARATZ Nº 19 A,AVISPA ASIÁTICA,CONSTRUCCIÓN,4,20,"532457,6901","4777072,989",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-07-20 00:00:00,SUHILTZAILEAK,BOMBEROS
5,2019,766,2019-06-08 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ARRANKURRI KALEA 58  ,AVISPA ASIÁTICA,ARBOLADO,10,30,"531388,7069","4777964,231",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-06-08 00:00:00,SUHILTZAILEAK,BOMBEROS
6,2019,1012,2019-08-22 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ASTOLA 66,AVISPA COMÚN,ARBOLADO,3,30,"531399,8838","4777566,585",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-08-22 00:00:00,SUHILTZAILEAK,BOMBEROS
7,2019,1081,2019-08-27 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,SAGASTA,AVISPA ASIÁTICA,ARBOLADO,10,30,"531328,0271","4774608,062",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-08-27 00:00:00,SUHILTZAILEAK,BOMBEROS
8,2019,1420,2019-09-20 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,OLALDE KALEA 6  ,AVISPA ASIÁTICA,CONSTRUCCIÓN,2,10,"532071,9075","4777400,603",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-09-20 00:00:00,SUHILTZAILEAK,BOMBEROS
9,2019,1790,2019-10-21 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,GAZTELUA,AVISPA ASIÁTICA,ARBOLADO,0,30,"533791,3865","4778018,01",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-10-22 00:00:00,SUHILTZAILEAK,BOMBEROS
10,2019,1975,2019-04-11 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ABADIÑOBEASKOA KALEA 8  ,AVISPA ASIÁTICA,CONSTRUCCIÓN,1,1,"531611,7723","4778186,07",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2019-04-11 00:00:00,SUHILTZAILEAK,BOMBEROS
11,2018,2788,2018-09-27 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,ARZUBIA 16 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,3,30,"531216,6956","4779313,656",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-09-27 00:00:00,SUHILTZAILEAK,BOMBEROS
12,2018,2685,2018-09-24 00:00:00,ABADIÑOKO UDALA,AYUNTAMIENTO ABADIÑO,ABADIÑO,SAGASTA AUZOA 6 ABADIÑO,AVISPA ASIÁTICA,ARBOLADO,5,15,"531307,698","4774559,689",ITXITA - EZABATUTA,CERRADA - ELIMINADO,2018-09-24 00:00:00,SUHILTZAILEAK,BOMBEROS
