COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;;DÍAS DE HELADA;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;12;18;10;2;2;0;0;0;0;0;2;12;58
C0A4;Albaina;594;12;18;17;3;5;0;0;0;0;0;2;15;72
C056;Alegria;545;11;11;8;1;2;0;0;0;0;0;1;9;43
C035;Altube;618;13;12;10;5;3;0;0;0;0;0;4;12;59
C0A3;Antoñana;556;13;18;14;2;2;0;0;0;0;0;4;9;62
C016;Arkauti;517;10;13;6;1;1;0;0;0;0;0;1;8;40
C025;Beluntza;687;9;7;1;3;2;0;0;0;0;0;3;6;31
C0A2;Egino;573;15;12;12;3;1;0;0;0;0;0;1;11;55
C034;Espejo;504;11;19;12;3;1;0;0;0;0;0;4;12;62
C0AA;Etura;549;;0;11;3;4;0;0;0;0;0;1;10;
C067;Gardea;141;5;1;0;1;0;0;0;0;0;0;0;3;10
C040;Gasteiz;546;3;1;0;0;0;0;0;0;0;0;0;6;10
C044;Gorbea;662;12;10;3;3;2;0;0;0;0;0;3;11;44
C048;Herrera;1188;18;5;6;4;1;0;0;0;0;0;7;2;43
C068;Ilarduia;596;8;7;8;1;1;0;0;0;0;0;0;10;35
C024;Iturrieta;987;27;15;18;9;6;1;0;0;0;1;9;15;101
C00A;Kanpezu;550;7;14;9;2;1;0;0;0;0;0;2;11;46
C047;Kapildui;1173;16;4;2;4;1;0;0;0;0;0;8;2;37
C031;Moreda;490;0;0;0;0;0;0;0;0;0;0;0;3;3
C041;Navarrete;689;14;19;14;4;4;0;0;0;0;0;3;14;72
C055;Ozaeta;548;15;19;12;3;2;0;0;0;0;0;5;13;69
C060;Páganos;577;10;9;1;2;1;0;0;0;0;0;1;6;30
C0A1;Pagoeta;705;11;22;13;5;5;0;0;0;0;1;2;13;72
C021;Roitegi;980;15;13;4;4;3;0;0;0;0;0;4;8;51
C030;Salvatierra;589;14;14;14;5;4;0;0;0;0;0;3;13;67
C051;Saratxo;230;5;2;0;1;1;0;0;0;0;0;0;6;15
C0A0;Sarria;655;15;17;14;5;2;0;0;0;0;0;5;10;68
C049;Subijana;537;15;21;14;7;2;0;0;0;0;0;5;12;76
C00B;Tobillas;700;16;18;17;4;3;0;0;0;0;0;3;10;71
C020;Trebiño;578;12;18;13;6;5;0;0;0;0;0;3;14;71
C070;Zaldiaran;980;12;4;1;2;1;0;0;0;0;0;4;0;24
C050;Zambrana;470;8;13;7;1;1;0;0;0;0;0;0;5;35
C0B1;Abusu (La Peña);23;3;0;0;0;0;0;0;0;0;0;0;1;4
C079;Amorebieta;65;4;1;0;0;0;0;0;0;0;0;0;4;9
C0C1;Aranguren;92;1;0;0;0;0;0;0;0;0;0;;;
C061;Arboleda;329;2;0;0;0;0;0;0;0;0;0;0;0;2
C032;Areta;122;5;2;0;1;0;0;0;0;0;0;0;6;14
C002;Arteaga;19;4;2;0;0;0;0;0;0;0;0;0;2;8
C0C2;Balmaseda;178;7;5;4;1;1;0;0;0;0;0;0;6;24
C069;Bermeo;106;0;0;0;0;0;0;0;0;0;0;0;0;0
C0B6;Berna;95;5;2;1;0;0;0;0;0;0;0;0;5;13
C0BE;Berriatua;25;2;0;0;0;0;0;0;0;0;0;0;0;2
C065;Cerroja;677;2;2;0;2;0;0;0;0;0;0;2;0;8
C003;Derio;30;6;0;0;0;0;0;0;0;0;0;0;2;8
C039;Deusto;3;2;0;0;0;0;0;0;0;0;0;0;0;2
C075;Eitzaga;270;4;0;0;0;0;0;0;0;0;0;0;2;6
C074;Elorrio;167;5;0;0;0;0;0;0;0;0;0;0;2;7
C009;Galdakao;30;2;0;0;0;0;0;0;0;0;0;0;0;2
C038;Galindo;5;0;0;0;0;0;0;0;0;0;0;0;0;0
C033;Igorre;150;6;2;0;0;0;1;0;0;0;0;0;2;11
C0BD;Iruzubieta;110;4;2;1;1;0;0;0;0;0;0;0;5;13
C036;Iurreta;180;5;1;0;0;0;0;0;0;0;0;0;1;7
C045;La Garbea;717;0;2;0;2;0;0;0;0;0;0;0;0;4
C0B7;Mañaria;168;5;1;0;0;0;0;0;0;0;0;0;5;11
