COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;IRRADIACIÓN MEDIA DIARIA (MJ/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C035;Altube;618;5.3;8.2;13.3;18.8;21.3;18.5;21.7;19.3;14.7;10.9;6.3;3.9;13.5
C016;Arkauti;517;5.7;8.0;13.4;20.1;21.3;19.4;22.8;19.2;14.2;10.8;6.1;4.2;13.8
C034;Espejo;504;6.7;8.6;13.4;20.2;22.6;23.6;;;;;;;
C0AA;Etura;549;5.6;7.8;13.5;19.9;21.2;20.0;23.3;19.5;14.7;10.5;6.3;4.3;13.9
C040;Gasteiz;546;6.1;8.5;13.9;19.6;21.5;20.0;22.9;19.3;14.7;11.0;6.5;4.5;14.0
C048;Herrera;1188;5.6;7.7;12.9;19.3;19.8;19.5;21.8;18.6;14.2;11.5;6.0;3.5;13.4
C024;Iturrieta;987;6.1;7.9;13.1;19.5;21.4;20.8;23.8;18.8;14.0;11.0;5.4;3.8;13.8
C00A;Kanpezu;550;5.8;7.7;13.4;20.9;21.8;21.5;24.5;19.9;14.4;11.1;6.0;4.0;14.2
C031;Moreda;490;6.2;8.2;13.9;21.6;22.0;22.6;25.1;20.8;15.6;12.1;6.4;4.5;14.9
C041;Navarrete;689;5.8;7.7;13.3;20.5;21.7;21.1;24.1;19.6;14.6;10.9;5.9;3.7;14.1
C060;Páganos;577;6.4;8.4;13.9;21.4;21.9;22.7;24.8;20.8;16.3;11.4;6.4;4.9;15.0
C030;Salvatierra;589;5.8;8.0;13.1;19.6;21.1;20.0;23.4;19.1;14.3;10.9;6.0;4.3;13.8
C051;Saratxo;230;5.2;7.8;12.3;18.0;20.3;16.6;19.3;17.8;13.5;10.0;6.0;3.9;12.6
C020;Trebiño;578;5.7;7.9;13.6;19.9;21.5;20.6;23.3;19.6;15.1;11.1;6.2;4.2;14.1
C050;Zambrana;470;5.7;7.3;13.7;20.0;20.8;20.2;23.1;19.2;14.6;11.0;6.2;3.9;13.8
C061;Arboleda;329;5.4;7.9;10.8;17.1;14.8;15.3;15.5;15.3;12.8;9.8;5.7;3.8;11.2
C002;Arteaga;19;5.3;7.7;9.4;18.2;20.5;16.8;18.2;17.0;12.3;9.1;5.6;3.4;12.0
C069;Bermeo;106;5.5;7.7;10.8;18.6;21.6;17.9;19.4;17.0;13.0;9.5;6.1;3.8;12.6
C065;Cerroja;677;5.4;7.5;11.2;19.9;19.9;15.3;15.7;15.6;12.9;10.6;6.0;3.6;12.0
C003;Derio;30;5.6;7.7;11.1;17.5;19.8;15.8;17.4;16.2;13.0;9.8;5.6;3.7;11.9
C039;Deusto;3;5.6;8.1;11.2;17.7;20.4;16.3;17.9;16.6;13.3;9.9;6.0;4.0;12.2
C033;Igorre;150;5.4;8.0;11.1;17.5;19.7;15.8;18.0;16.6;12.5;10.0;5.6;3.6;12.0
C036;Iurreta;180;5.6;8.4;11.7;18.4;20.8;16.6;18.9;17.3;13.4;10.4;6.0;3.8;12.6
C019;Matxitxako;433;5.2;7.1;10.0;17.9;19.9;15.8;16.5;15.8;12.5;9.2;5.8;3.6;11.6
C057;Mungia;22;5.5;8.0;10.6;17.7;20.6;16.8;18.2;17.1;12.8;9.8;5.8;3.8;12.2
G059;Ordunte;300;5.3;8.3;12.9;18.0;20.3;17.7;19.4;17.5;13.8;10.4;5.9;4.1;12.8
C054;Otxandio;556;5.8;8.1;12.8;18.4;20.5;17.9;20.0;18.0;13.2;10.3;5.8;3.7;12.9
C042;Punta Galea;61;5.3;8.4;11.4;18.4;20.8;17.5;19.8;18.0;14.0;10.1;6.3;3.6;12.8
C022;Urkiola;709;5.7;7.9;12.2;17.7;20.0;15.7;17.5;16.7;12.5;10.1;5.6;3.4;12.1
C037;Venta Alta;162;5.6;8.1;11.4;17.4;20.2;15.7;17.9;17.0;13.2;10.0;5.8;3.9;12.2
C023;Arrasate;318;5.5;8.0;12.7;18.5;20.6;17.2;19.1;18.0;13.1;10.2;5.7;3.9;12.7
C058;Bidania;592;5.5;8.0;11.3;18.9;20.6;17.2;18.5;17.5;12.8;10.4;5.7;3.8;12.5
C018;Higer;43;5.5;7.7;11.2;19.0;20.5;17.7;19.5;18.0;13.5;10.2;0.6;0.0;11.9
C0DC;Ibai Eder;90;4.8;8.2;11.5;17.9;21.1;16.8;18.7;16.7;12.2;9.5;4.4;3.2;12.1
C0EC;Lasarte;18;5.2;7.5;10.1;17.4;19.8;15.5;16.7;16.2;12.5;9.4;5.5;3.5;11.6
C043;Ordizia;243;5.4;7.5;11.7;18.8;20.6;17.4;18.4;16.9;12.7;10.0;5.4;3.4;12.4
C007;Santa Clara;48;4.9;7.1;9.7;18.3;20.1;16.6;17.7;16.1;13.9;10.2;5.7;3.9;12.0
C029;Zizurkil;149;5.4;7.8;10.9;18.0;20.0;15.7;16.6;16.3;12.7;9.7;5.5;3.8;11.9
COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;IRRADIACIÓN MEDIA DIARIA (MJ/m2);;;;;;;;;;;
