COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MÁXIMO
;;;;;;NIVEL MÁXIMO (m);;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAXIMOA
C076;Abetxuko;510;1.404;0.290;0.199;0.086;0.086;0.086;0.079;0.070;0.058;0.057;0.098;0.281;1.404
C0A4;Albaina;594;;;0.653;0.359;0.232;0.192;0.186;0.170;0.146;0.155;0.243;0.541;
C056;Alegria;545;1.570;1.107;0.974;0.342;0.759;1.073;0.746;0.580;0.570;0.172;0.282;0.789;1.570
C0A3;Antoñana;556;1.666;1.036;0.922;0.640;0.481;0.483;0.469;0.481;0.436;0.459;0.578;1.032;1.666
C0A2;Egino;573;1.890;0.817;0.626;0.507;0.164;0.307;0.310;0.289;0.169;0.141;0.403;0.773;1.890
C0AA;Etura;549;2.022;1.209;0.745;0.434;0.314;0.300;0.263;0.351;0.162;0.218;0.236;1.273;2.022
C067;Gardea;141;1.772;0.660;0.850;0.522;0.624;0.510;0.502;0.136;0.202;0.144;0.622;1.082;1.772
C055;Ozaeta;548;2.217;0.877;0.901;0.630;0.425;0.494;0.047;0.024;0.037;0.054;0.228;0.777;2.217
C0A1;Pagoeta;705;0.290;0.278;0.306;0.224;0.233;0.220;0.185;0.195;0.180;0.190;0.165;0.188;0.306
C051;Saratxo;230;1.739;0.505;0.865;0.532;0.706;0.480;0.200;0.116;0.138;0.128;0.704;0.980;1.739
C0A0;Sarria;655;2.040;0.533;0.731;0.419;0.679;0.339;0.377;0.149;0.327;0.308;0.689;0.894;2.040
C0B1;Abusu (La Peña);23;4.039;1.520;1.538;0.858;1.134;0.630;0.648;0.266;0.701;0.376;1.761;2.622;4.039
C079;Amorebieta;65;2.734;1.275;1.340;0.867;0.972;0.467;0.663;0.440;0.724;0.347;1.228;1.991;2.734
C0C1;Aranguren;92;2.902;1.493;0.949;0.892;0.805;0.628;0.554;0.540;0.514;0.550;1.179;2.096;2.902
C032;Areta;122;1.451;0.557;0.647;0.436;0.501;0.405;0.354;0.332;0.340;0.342;0.522;0.755;1.451
C0C2;Balmaseda;178;1.642;0.591;0.382;0.362;0.312;0.297;0.298;0.294;0.274;0.262;0.386;0.919;1.642
C0BE;Berriatua;25;1.816;0.820;1.198;0.475;0.611;0.279;0.407;0.553;0.560;0.411;0.892;1.452;1.816
C074;Elorrio;167;0.940;0.562;0.596;0.411;0.373;0.210;0.330;0.242;0.234;0.246;0.435;0.730;0.940
C009;Galdakao;30;;;;;;;;;;0.786;2.677;3.824;
C0BD;Iruzubieta;110;1.090;0.655;0.810;0.414;0.550;0.237;0.344;0.234;0.383;0.179;0.693;0.958;1.090
C0B7;Mañaria;168;1.114;0.688;0.610;0.474;0.582;0.312;0.414;0.262;0.498;0.148;0.800;0.934;1.114
C057;Mungia;22;5.123;2.759;4.234;1.068;1.432;0.720;1.116;0.573;2.776;0.558;4.262;4.420;5.123
