COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MEDIO
;;;;;NIVEL MEDIO (m);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;0.533;0.518;0.224;0.543;0.079;0.107;0.076;0.060;0.049;0.046;0.067;0.063;0.197
C0A4;Albaina;594;0.483;0.512;0.438;0.511;0.289;0.261;0.191;0.131;0.115;0.118;0.261;0.297;0.301
C056;Alegria;545;0.878;0.879;0.785;0.877;0.576;0.651;0.639;0.583;0.515;0.539;0.303;0.288;0.626
C0A3;Antoñana;556;0.779;0.677;0.694;0.727;0.510;0.526;0.461;0.440;0.443;0.449;0.531;0.476;0.559
C0A2;Egino;573;0.562;0.544;0.435;0.459;0.246;0.210;0.161;0.099;;;0.259;0.234;
C0AA;Etura;549;0.752;0.624;0.488;0.569;0.238;0.306;0.173;0.085;0.055;0.056;0.262;0.361;0.331
C067;Gardea;141;0.565;0.640;0.474;0.437;0.313;0.288;0.184;0.123;0.073;0.154;0.229;0.182;0.305
C055;Ozaeta;548;0.436;0.430;0.303;0.334;0.136;0.116;0.052;0.015;;0.017;0.111;0.114;
C0A1;Pagoeta;705;0.219;0.249;0.282;0.357;0.312;0.299;0.225;0.206;0.197;0.186;0.180;0.207;0.243
C051;Saratxo;230;0.424;0.510;0.343;0.310;0.223;0.194;0.147;0.103;0.081;0.120;0.173;0.138;0.231
C0A0;Sarria;655;0.331;0.379;0.295;0.275;0.221;0.210;0.150;0.096;0.134;0.204;0.322;0.227;0.237
C0B1;Abusu (La Peña);23;1.226;1.390;0.815;0.780;0.428;0.405;0.231;0.129;0.072;0.264;0.391;0.295;0.536
C079;Amorebieta;65;0.866;0.963;0.640;0.643;0.462;0.438;0.363;0.358;0.270;0.350;0.434;0.372;0.513
C0C1;Aranguren;92;1.226;1.505;1.051;0.926;0.738;0.637;0.526;0.492;0.455;0.468;0.605;0.534;0.764
C032;Areta;122;0.449;0.505;0.363;0.368;0.304;0.296;0.263;0.238;0.220;0.263;0.282;0.248;0.317
C0C2;Balmaseda;178;0.501;0.686;0.456;0.400;0.336;0.313;0.276;0.263;0.262;0.272;0.306;0.282;0.363
C0BE;Berriatua;25;0.562;0.622;0.390;0.388;0.250;0.238;0.197;0.182;0.157;0.228;0.285;0.245;0.312
C074;Elorrio;167;0.385;0.429;0.264;0.264;0.198;0.194;0.136;0.110;0.088;0.121;0.177;0.156;0.210
C009;Galdakao;30;1.941;2.109;1.290;1.251;0.757;0.757;0.584;0.485;0.425;0.624;0.746;0.650;0.968
C0BD;Iruzubieta;110;0.420;0.445;0.314;0.300;0.209;0.209;0.173;0.141;0.118;0.169;0.222;0.213;0.244
C0B7;Mañaria;168;0.458;0.494;0.313;0.321;0.238;0.218;0.176;0.140;0.099;0.186;0.249;0.200;0.258
C057;Mungia;22;1.516;1.712;0.860;0.850;0.572;0.568;0.446;0.379;0.326;0.512;0.625;0.542;0.742
C063;Muxika;16;0.515;0.538;0.334;0.322;0.215;0.201;0.171;0.157;0.136;0.181;0.213;0.201;0.265
C0BA;Oleta;14;0.526;0.591;0.357;0.349;0.238;0.218;0.187;0.176;0.144;0.241;0.271;0.243;0.295
C0B4;Orozko;200;0.366;0.488;0.260;0.252;0.126;0.113;0.070;;0.015;0.084;0.088;0.082;
C054;Otxandio;556;0.612;0.663;0.394;0.400;0.249;0.204;0.060;0.016;;;0.249;0.191;
C0B9;Sangroniz;10;0.890;0.956;0.625;0.632;0.521;0.503;0.481;0.396;;;;0.412;
C0C4;Sodupe-Cadagua;56;0.647;0.833;0.596;0.501;0.430;0.384;0.310;0.283;0.284;0.302;0.362;0.323;0.438
C0B3;Urkizu;75;0.996;1.077;0.711;0.641;0.300;0.339;0.228;0.179;0.155;0.256;0.314;0.268;0.455
C0E5;Agauntza;180;0.525;0.562;0.390;0.410;0.285;0.234;0.218;0.148;0.140;0.159;0.256;0.244;0.298
C0DB;Aitzu;312;0.486;0.509;0.361;0.353;0.243;0.245;0.166;0.115;0.106;0.150;0.227;0.235;0.266
C0D3;Aixola;320;0.204;0.215;0.144;0.156;0.113;0.124;0.092;0.087;0.076;0.065;0.092;0.086;0.121
C0DD;Aizarnazabal;25;0.866;0.986;0.627;0.695;0.474;0.468;0.393;0.341;0.306;0.383;0.477;0.457;0.539
C0E9;Alegia;90;0.904;0.973;0.681;0.716;0.479;0.425;0.375;0.260;0.239;0.299;0.433;0.424;0.517
C078;Altzola;17;1.046;1.153;0.785;0.839;0.587;0.579;0.510;0.478;0.417;0.393;0.564;0.498;0.654
C052;Ameraun;285;0.694;0.786;0.456;0.608;0.407;0.451;0.374;0.325;0.085;0.162;0.173;0.228;0.396
C0E1;Amundarain;111;0.502;0.528;0.407;0.406;0.307;0.253;0.201;0.145;0.130;0.202;0.318;0.274;0.306
C077;Andoain;52;0.743;0.832;0.541;0.636;0.451;0.475;0.370;0.297;0.257;0.291;0.371;0.430;0.474
C080;Añarbe;184;0.709;0.722;0.456;0.598;0.357;0.429;0.281;0.223;0.211;0.294;0.330;0.376;0.415
C0E8;Araxes;141;0.709;0.767;0.502;0.564;0.365;0.374;0.251;0.204;0.193;0.226;0.322;0.365;0.403
C0EA;Belauntza;105;0.412;0.465;0.319;0.374;0.278;0.271;0.230;0.197;0.171;0.183;0.224;0.249;0.281
C0F0;Ereñozu;25;0.975;1.063;0.665;0.828;0.601;0.645;0.491;0.384;0.297;0.331;0.475;0.575;0.611
C0E7;Estanda;195;0.415;0.455;0.296;0.316;0.190;0.192;0.136;0.102;0.095;0.116;0.156;0.174;0.220
C0DC;Ibai Eder;90;0.463;0.555;0.323;0.371;0.231;0.221;0.174;0.156;0.147;0.176;0.212;0.212;0.270
C0EC;Lasarte;18;1.135;1.289;0.790;0.954;0.620;0.608;0.498;0.390;0.343;0.410;0.556;0.585;0.681
C0DE;Matxinbenta;250;0.312;0.346;0.221;0.242;0.168;0.169;0.110;0.084;0.070;0.094;0.148;0.147;0.176
C0F4;Oiartzun;53;0.538;0.587;0.368;0.465;0.332;0.387;0.321;0.212;0.171;0.220;0.291;0.315;0.351
C0D1;Oñati;195;0.653;0.695;0.486;0.494;0.360;0.339;0.255;0.174;0.135;0.187;0.364;0.297;0.370
C0D2;San Prudentzio;175;0.785;0.850;0.609;0.628;0.431;0.386;0.335;0.251;0.237;0.300;0.413;0.377;0.467
C0D0;Urkulu;340;0.242;0.243;0.189;0.169;0.119;0.089;0.099;0.044;0.025;0.070;0.148;0.096;0.128
COD.;ESTACIÓN;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MEDIO
;;;;;NIVEL MEDIO (m);;;;;;;;;;
