COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;PRECIPITACIÓN ACUMULADA (l/m2);;;;;;;;;;
C076;Abetxuko;510;165.3;49.4;23.2;78.2;46.8;14.4;28.8;42.1;43;54;223.7;71.8;840.7
C056;Alegria;545;158.3;40.7;20;58.7;57.1;11.9;30.8;60.7;33.8;66.9;203.9;79.4;822.2
C035;Altube;618;268.1;60.7;43.6;73.5;91.4;33.2;66.1;43;72.6;81.1;293.3;99.3;1225.9
C016;Arkauti;517;152;36.5;21.3;69.8;46.8;17.1;23.1;26.3;44.4;62.5;184.1;63.6;747.5
C034;Espejo;504;97.4;36.5;14.2;90.6;28.4;22.8;63.4;21.5;51.6;38.5;195.9;75.4;736.2
C0AA;Etura;549;173.5;39.1;20.2;58.6;68.2;17;30.2;65.1;45.7;52.8;235.8;79.7;885.9
C067;Gardea;141;250.5;66.5;43.2;64.1;55.1;25;49.8;33.8;60.7;74.6;330.9;91.6;1145.8
C044;Gorbea;662;411.5;77.1;52.3;87.7;100.9;19.3;48.3;56.7;80.6;66.5;369.4;133.1;1503.4
C048;Herrera;1188;107.5;41.6;25.6;75.1;71.5;37.3;27.8;38.6;74.4;49.5;202.2;73.6;824.7
C068;Ilarduia;596;244.1;45.6;31.2;75.8;104.1;23.6;34.3;52;84.5;76.4;341.5;133.9;1247.0
C024;Iturrieta;987;169.2;44.9;24.9;75.7;95.4;39;38.4;43.3;87.9;72.8;250.7;98.6;1040.8
C0A0;Kanpezu;550;139;40;15.5;70.7;48.9;37.5;21.6;30.7;61.7;42.6;208.1;60;776.3
C047;Kapildui;1173;154.4;36.9;29.2;83;93.5;27.7;40.8;47.3;55;83.7;263.8;91.6;1006.9
C031;Moreda;490;56.7;18.9;4.2;52.6;35.3;35.7;28.5;16.3;48.6;57.2;110.2;30.9;495.1
C041;Navarrete;689;109.9;51.1;14.4;90.4;64.1;35.7;35.8;25.1;55.3;32.4;205.5;70.9;790.6
C055;Ozaeta;548;218;43.6;17.9;63.1;79.2;13;23;60.9;56.2;65;290.5;87.4;1017.8
C060;Páganos;577;82.8;31.1;6.4;69.6;31.1;28;23.2;30.4;47.7;25;140.7;52.6;568.6
C030;Salvatierra;589;190.7;39.7;21.9;62.9;74.6;22.2;41.1;62.8;59.6;49.3;290;106.3;1021.1
C051;Saratxo;230;228.7;53.6;33.3;63;52.3;25.2;44.5;39.1;43.1;68.7;254.5;76.7;982.7
C0A0;Sarria;655;318.7;75.8;49.1;78.5;99.4;31.9;57.1;64;104;104.9;341.2;106.6;1431.2
