COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;;DÍAS DE PRECIPITACIÓN;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;20;19;22;19;14;11;5;4;11;7;14;8;154
C056;Alegria;545;22;19;20;20;15;11;7;5;10;9;14;7;159
C035;Altube;618;22;20;23;21;19;12;16;8;12;10;16;8;187
C001;Arkaute;517;19;18;21;21;15;12;8;5;12;8;14;9;162
C034;Espejo;504;21;16;22;19;15;6;4;3;8;7;14;5;140
C0AA;Etura;549;20;19;20;20;13;12;8;6;11;10;15;9;163
C067;Gardea;141;23;21;23;17;14;12;15;6;11;9;13;8;172
C044;Gorbea;662;23;20;23;20;16;12;14;9;12;10;16;7;182
C048;Herrera;1188;16;19;22;17;17;10;7;8;11;10;16;9;162
C068;Ilarduia;596;20;21;20;15;20;12;5;8;13;9;17;8;168
C024;Iturrieta;987;19;20;20;19;19;9;10;9;11;11;16;10;173
C00A;Kanpezu;550;19;19;18;18;13;7;4;1;6;11;15;6;137
C047;Kapildui;1173;21;20;23;20;19;13;16;12;14;13;15;9;195
C031;Moreda;490;13;16;11;6;13;7;7;2;5;9;14;7;110
C041;Navarrete;689;19;18;17;17;13;9;7;4;11;11;15;6;147
C055;Ozaeta;548;22;20;23;20;14;12;5;5;12;8;15;9;165
C060;Páganos;577;17;18;17;17;10;6;3;1;7;9;14;9;128
C030;Salvatierra;589;21;19;20;19;20;12;6;5;11;8;16;9;166
C051;Saratxo;230;22;19;22;21;15;11;15;10;11;7;15;7;175
C0A0;Sarria;655;23;20;23;23;20;12;13;6;10;9;17;8;184
C049;Subijana;537;22;19;21;20;19;8;8;4;8;8;14;6;157
C020;Trebiño;578;18;15;19;18;15;9;4;5;10;9;14;8;144
C070;Zaldiaran;980;19;18;19;20;16;13;8;9;13;10;14;5;164
C050;Zambrana;470;17;17;19;18;14;7;5;5;7;7;14;5;135
C0B1;Abusu (La Peña);23;20;19;21;20;15;11;15;9;10;9;17;10;176
C079;Amorebieta;65;21;20;21;18;16;12;15;10;12;9;17;7;178
C0C1;Aranguren;92;17;19;21;19;16;8;9;5;10;9;14;6;153
C061;Arboleda;329;17;20;21;20;15;12;16;8;11;7;17;6;170
C032;Areta;122;25;21;22;19;18;11;15;9;10;10;13;8;181
C002;Arteaga;19;23;22;20;18;15;10;15;9;13;13;19;10;187
C0C2;Balmaseda;178;17;20;20;20;16;9;10;7;10;7;15;12;163
C069;Bermeo;106;21;22;21;21;16;10;14;10;12;8;17;10;182
C0B6;Berna;95;23;20;22;18;15;13;14;9;11;9;18;8;180
C0BE;Berriatua;25;21;21;18;22;17;10;15;11;13;13;18;8;187
C065;Cerroja;677;17;18;19;21;16;7;14;11;12;9;17;9;170
C003;Derio;30;20;22;21;19;15;11;14;9;10;8;18;9;176
C039;Deusto;3;18;21;19;15;12;11;13;6;10;7;16;8;156
C075;Eitzaga;270;23;23;20;20;18;12;18;12;14;10;20;8;198
C074;Elorrio;167;23;22;22;22;17;14;17;14;15;8;20;8;202
C038;Galindo;5;17;21;20;17;14;12;16;8;11;7;18;8;169
C033;Igorre;150;20;21;22;20;14;14;16;8;13;10;16;7;181
C0BD;Iruzubieta;110;24;22;21;22;16;13;16;13;13;15;19;9;203
C036;Iurreta;180;22;22;21;21;15;12;13;11;13;11;17;9;187
C045;La Garbea;717;18;20;21;19;16;10;15;13;11;11;15;11;180
C0B7;Mañaria;168;21;21;20;18;16;14;15;10;14;11;17;7;184
C019;Matxitxako;433;21;21;22;18;13;12;16;10;14;9;16;11;183
C057;Mungia;22;21;22;21;19;14;8;14;12;13;8;18;10;180
C063;Muxika;16;16;23;19;18;17;8;14;11;13;11;19;9;178
C046;Oiz;980;19;19;21;19;19;13;19;13;14;13;16;9;194
C0BA;Oleta;14;23;22;22;23;18;9;16;10;13;12;19;9;196
C059;Ordunte;300;20;20;20;22;16;9;9;7;9;7;14;8;161
C072;Orduña;934;24;20;22;21;18;11;16;13;14;9;15;7;190
C0B4;Orozko;200;21;19;23;18;15;12;16;9;12;8;15;8;176
C054;Otxandio;556;23;20;23;20;16;13;15;12;15;11;19;9;196
C042;Punta Galea;61;20;20;17;17;14;9;13;9;11;8;17;8;163
C0B9;Sangroniz;10;23;22;21;17;15;11;14;8;10;8;18;10;177
C0C3;Sodupe;56;21;21;21;18;13;8;12;6;12;7;16;7;162
C022;Urkiola;709;22;20;19;19;15;13;17;12;12;9;16;8;182
C0B3;Urkizu;75;24;23;23;19;17;13;15;9;12;8;18;7;188
C037;Venta Alta;162;18;21;21;20;16;12;15;10;10;8;19;9;179
C0E5;Agauntza;180;25;18;21;22;19;12;19;12;15;11;18;7;199
C0DB;Aitzu;312;24;18;22;22;19;10;15;11;14;12;19;7;193
C0D3;Aixola;320;25;22;23;21;18;12;18;13;14;9;19;7;201
C0DD;Aizarnazabal;25;21;22;22;20;19;10;17;9;15;11;19;8;193
C0E9;Alegia;90;22;18;21;20;23;9;9;11;14;8;18;9;182
C078;Altzola;17;22;21;21;20;18;10;19;14;14;13;18;7;197
C052;Ameraun;285;23;20;23;21;19;13;19;15;14;11;17;7;202
C0E1;Amundarain;111;24;18;23;19;19;12;15;14;15;10;18;8;195
C077;Andoain;52;23;21;22;20;21;10;19;13;15;11;19;7;201
C080;Añarbe;184;22;23;23;23;21;14;18;15;15;9;17;6;206
C0E8;Araxes;141;21;19;22;21;20;10;14;11;14;9;18;9;188
C023;Arrasate;318;23;19;23;22;18;11;15;8;13;9;15;9;185
C084;Behobia;5;22;22;22;18;20;11;14;9;14;8;19;6;185
C0EA;Belauntza;105;22;19;22;21;23;10;15;13;14;9;19;7;194
C026;Berastegi;379;22;19;23;20;21;13;20;13;15;8;19;9;202
C058;Bidania;592;21;22;21;23;22;12;18;14;15;11;20;8;207
C0F0;Ereñozu;25;22;20;22;20;21;13;18;13;14;10;17;6;196
C0E7;Estanda;195;24;18;22;21;18;11;13;13;15;10;17;7;189
C0DC;Ibai Eder;90;21;21;21;18;15;12;15;11;14;12;20;7;187
C0EC;Lasarte;18;21;21;21;20;19;11;17;12;15;10;19;6;192
C0DE;Matxinbenta;250;23;21;22;22;18;11;19;12;14;13;20;7;202
