COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN 10 MINUTOS (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;1;2.5;1.4;1.2;2.3;3;2.2;1.8;1.5;1;1.1;1.3;3.0
C056;Alegria;545;1.1;1.8;1;0.7;3.5;11.7;4;1.9;1.3;1.2;1.1;1.4;11.7
C035;Altube;618;1.3;1.7;1.9;3.9;6.3;4;1.3;1.2;1.7;1.4;1.9;2;6.3
C016;Arkauti;517;1.5;1.9;1.8;2.5;5.3;6.6;5.3;1.4;1.7;2;0.9;1.4;6.6
C034;Espejo;504;0.9;1.2;1.4;1.8;7.9;8.8;1.6;3.1;0.8;1;1.3;1.8;8.8
C0AA;Etura;549;1;2.4;1;1;4.5;5.7;6.7;1.3;0.6;1.5;1.8;1.4;6.7
C067;Gardea;141;1.6;2.1;2.7;2.1;7.8;4.4;8.5;3.2;2.2;0.7;1.3;1.9;8.5
C044;Gorbea;662;1.4;1.8;0.8;2.2;3.8;4.4;7.4;1.4;1.4;0.7;3.4;1.7;7.4
C048;Herrera;1188;0.8;1.7;1.3;0.9;3.8;10.3;10.9;2.2;0.6;3.5;1.6;2.5;10.9
C068;Ilarduia;596;1.3;2.5;1.3;1.5;4.2;3.7;8.1;6.1;1.5;2.5;1.3;2.6;8.1
C024;Iturrieta;987;1.4;2.8;2;1.1;7.9;5.1;2.7;3.3;1.8;2.9;1.1;2.4;7.9
C0A0;Kanpezu;550;1;4;1.3;1.2;5.9;6.8;6.4;1.3;0.8;2.6;0.8;2;6.8
C047;Kapildui;1173;1.1;3;2.3;1.3;2.2;3.2;7.9;4.8;1.2;1.5;1.4;1.4;7.9
C031;Moreda;490;1.1;2.2;1.2;0.5;2.8;8.8;9.2;1.2;0.6;1.5;1.7;1.4;9.2
C041;Navarrete;689;1.1;1.8;1.8;1.5;3.2;8.7;2.4;2.3;0.8;2.3;1.7;2;8.7
C055;Ozaeta;548;1.2;3;1.1;1.5;7.9;7.2;5;1.1;1;1.5;0.9;2.2;7.9
C060;Páganos;577;0.9;1.8;1;1;3.3;14.1;14.7;1.9;0.4;1.1;1;1.4;14.7
C030;Salvatierra;589;1;2;1;0.7;2;6.8;3.2;8.6;0.7;1.7;1;1.9;8.6
C051;Saratxo;230;1.1;2;2.4;1.7;7.3;5.6;5.8;1.9;1.6;0.9;1.9;1.9;7.3
C0A0;Sarria;655;1.3;1.6;2;3.8;9;3.9;1.4;1.9;2.2;1.6;1.8;1.5;9.0
C049;Subijana;537;1.2;0.9;1.2;0.7;5.6;6.6;1.3;1.3;0.8;0.9;2.2;2.3;6.6
C00B;Tobillas;700;;;;2.1;4.5;8;1.3;1.2;0.9;1.3;1.3;2.2;8.0
C020;Trebiño;578;0.6;2.5;3;1.9;2.2;3.7;2.4;1.5;0.6;1.8;1.4;2.3;3.7
C070;Zaldiaran;980;0.8;1.6;1.5;1.8;1.8;4;3.4;1.3;0.8;3.2;2.8;2.3;4.0
C050;Zambrana;470;0.7;2.3;1.4;0.8;3.1;3.2;3.9;1.4;0.5;3.3;1.3;1.8;3.9
C0B1;Abusu (La Peña);23;3.8;2.3;3.6;2.2;4;4.6;5.1;10;2.9;1.2;4.1;4.2;10.0
C079;Amorebieta;65;2.1;2.9;1.8;2.1;2.9;5.5;3.1;3.9;3.3;0.9;1.9;3.2;5.5
C0C1;Aranguren;92;1.8;1.5;1.9;1.2;4.2;5.9;2.4;8.9;2.3;1.1;2.3;2.3;8.9
C061;Arboleda;329;4.1;2.6;1.8;1.7;6.6;6.6;1.8;2.8;3.4;1.6;4.6;3;6.6
C032;Areta;122;2.1;2.2;3.1;2.3;9.1;3.3;10.2;4.9;2.5;0.9;3.7;1.7;10.2
C002;Arteaga;19;1.9;2.6;1.7;3;2.8;4;3;9.8;4.1;1.4;2.7;2.6;9.8
C0C2;Balmaseda;178;1.3;2.5;3.2;1.8;6.1;8.6;6;5.8;1.8;0.6;1.6;1.9;8.6
C069;Bermeo;106;2.2;1.9;2.5;5;2.1;3.3;2.4;5.6;5.8;1.1;3.9;2.9;5.8
C0B6;Berna;95;3.1;2;2.6;1.8;4.8;3.3;3.5;3.8;1.8;0.6;4.4;2.3;4.8
C0BE;Berriatua;25;1.8;1.3;1.8;2;4.1;3.3;7.2;6.7;3.2;2.3;2.9;4.2;7.2
C065;Cerroja;677;1.8;1.5;1.5;1.3;7;3.7;3.4;9.1;2.3;0.6;2.7;3.7;9.1
C003;Derio;30;2.6;3.4;6.7;3;3.2;5.6;5.1;3.4;4.5;1.1;2.3;2.6;6.7
C039;Deusto;3;2.5;2.5;1.9;1.5;3.2;3.4;1.7;10.3;1.9;0.6;4.1;2.7;10.3
C075;Eitzaga;270;1.6;3.7;1.6;1.6;7.6;2.9;3;3;3.7;2.2;2.8;1.8;7.6
C074;Elorrio;167;2;2.9;1.9;2;2;3.7;3.2;3;1.6;0.9;2.2;1.9;3.7
C009;Galdakao;30;;;;;;;;3.4;2.2;1.2;2.7;2.1;
C038;Galindo;5;2.3;2.9;2;2.1;1.8;5.9;1.8;3;2.8;0.9;3.3;3;5.9
C033;Igorre;150;2.8;2.4;2.9;1.8;4.6;4.8;3.8;1.1;3.3;0.9;2.6;2.8;4.8
C0BD;Iruzubieta;110;4.3;2.2;3;1.3;7.7;2.4;1.6;6.6;3.7;1.7;2.5;3.4;7.7
C036;Iurreta;180;2.3;1.9;2.3;1.6;3.7;2.2;8.4;6;2.8;0.7;2.1;1.5;8.4
C045;La Garbea;717;1.2;1.4;2.5;1.6;2.7;8.9;2.7;2.4;2.7;1.3;4.1;2;8.9
C0B7;Mañaria;168;1.9;3.2;2.4;1.8;4.8;3.3;7.5;9.6;2.2;1.2;1.9;2.6;9.6
C019;Matxitxako;433;1.9;1.7;3.1;1.6;4.2;3.2;3.4;6.8;8.9;1.1;4.1;2.4;8.9
C057;Mungia;22;3.2;2.4;2.7;1.6;2.3;4;4.3;4;3.5;1.1;3.4;3.9;4.3
C063;Muxika;16;2.2;2;2;2.4;9.7;3;2.7;8;5.7;1.2;3.4;2.3;9.7
C046;Oiz;980;1.1;1.2;1.3;2.1;9.7;1.9;1.3;1.6;3.3;1.5;1.9;1.4;9.7
C0BA;Oleta;14;3.6;2.7;2.2;2.8;3.3;4.7;3.3;8.8;4.3;2.1;4;3.2;8.8
C059;Ordunte;300;1.4;1.6;2.9;2.4;4.1;8.7;5.6;13.5;1.3;0.3;2.9;1.8;13.5
C072;Orduña;934;1.8;1.1;1.7;2.4;8.5;4.1;1.5;1.6;1;1.4;2.6;1.7;8.5
C0B4;Orozko;200;1.6;1.8;1.6;2.4;4.4;4.4;13;6.2;2.6;0.9;2.3;1.6;13.0
C054;Otxandio;556;1.5;2.6;1.3;2.5;2.9;3.4;3.8;1.3;1.4;2.2;2;1.9;3.8
C042;Punta Galea;61;1.9;2.5;1.4;1.7;4.5;3.1;2.5;4.4;3.6;0.6;3.4;3;4.5
C0B9;Sangroniz;10;4.9;2.4;3.1;1.7;2.6;4.8;3.1;4.3;4.8;1.2;4.3;2.8;4.9
C0C3;Sodupe;55;2.8;1.9;2.4;1.5;3.7;3.3;6.5;4.5;5;1;7.4;2.2;7.4
C022;Urkiola;709;2;1.8;1.4;3.9;4.3;6.4;2.6;2.6;2.5;1.3;2.6;2.2;6.4
C0B3;Urkizu;75;2.3;2.3;3.1;2;5.6;4;3.9;1.5;2.9;0.9;3.3;2.5;5.6
C037;Venta Alta;162;3.5;1.6;6.2;3.1;6.2;5.1;6.8;3.6;2.6;1;2.9;3.5;6.8
C0E5;Agauntza;180;1.3;2.4;2.1;1.6;2.2;8.9;2.9;6.5;1.9;2;2.1;1.6;8.9
C0DB;Aitzu;312;1.4;3.2;2;1.4;4;8;4.7;4.3;1.4;5.8;1.5;2;8.0
C0D3;Aixola;320;1.1;1.2;1.5;1.6;5.5;3.2;3.4;10;5.4;2;1.7;2.2;10.0
C0DD;Aizarnazabal;25;3.1;3.1;2.5;3.4;4;3.1;3;5.5;2.4;5.9;4.6;2.5;5.9
C0E9;Alegia;90;1.9;2;1.1;2.6;1.9;3.8;6.1;6.9;1.8;2.4;1.9;1.8;6.9
C078;Altzola;17;2.6;2.6;2.3;2;5.9;3.6;7;9.9;3.1;4;2.5;2;9.9
C052;Ameraun;285;2.9;3;2.2;2.4;4.7;5.7;6.5;9.6;5.2;0.9;4.1;3;9.6
C0E1;Amundarain;111;1;1.4;1.8;1.6;1.8;8.9;4;9.1;2.6;1.9;1.5;5.1;9.1
C077;Andoain;52;3.1;2.1;2.4;1.7;2.9;2.8;3.5;7.2;4.6;8;10.3;2.7;10.3
C080;Añarbe;184;3.1;2.8;2.9;2.9;3;3.6;2.4;4.3;5.9;1.7;3.6;2.5;5.9
C0E8;Araxes;141;3.7;2.5;1.8;2.2;2;3.8;4.4;12.2;3.1;2.4;2.3;5.9;12.2
C023;Arrasate;318;1.8;3.4;1.9;2;2.8;7;7.8;2.7;1.7;2.5;2.1;2.6;7.8
C084;Behobia;5;2.2;2.4;3.5;3.1;2.9;5.1;2.3;12.8;3.7;1.6;9.6;2.2;12.8
C0EA;Belauntza;105;3.2;2.2;2;2.7;1.9;4.1;8;10.5;1.6;1.6;3.9;2.4;10.5
C026;Berastegi;379;2.3;2.1;2.1;2.3;4.4;5.5;9.3;7.8;4.4;2;3;2.7;9.3
C058;Bidania;592;2.3;2.5;2.2;1.7;3.1;8.5;7;10.1;5.2;2.8;2.7;2.2;10.1
C0F0;Ereñozu;25;2.6;2.8;2.8;3;5;2.4;4.3;15.4;6.3;5.1;6.6;3.9;15.4
C0F1;Eskas;650;;;;;;;;;;1.4;4.5;3.4;
C0E7;Estanda;195;1.6;2.3;1.2;1.1;3.9;3.5;4.3;6.2;1.2;1.7;1.8;2.2;6.2
