COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;PRECIPITACIÓN MÁXIMA EN UN DÍA (l/m2);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;26.3;10.5;27.5;7.3;18.8;17.7;4.7;6.8;6.1;19;17.6;24.9;27.5
C056;Alegria;545;20.8;8.7;21.2;5.9;17.3;34.9;6.9;10.3;7.8;12.6;15;22.7;34.9
C035;Altube;618;54.9;19.4;33.6;16.2;30.6;17;9.8;7.8;10.3;11.1;20.3;40.1;54.9
C016;Arkauti;517;30.8;12.8;22.5;9.5;24.2;20.1;7.2;6.1;7.1;18.5;16.6;27.2;30.8
C034;Espejo;504;22.5;12.4;18.5;8.5;22.5;13;3.1;19.1;5.1;9;9.5;25.2;25.2
C0AA;Etura;549;35.5;15.3;35.3;7.4;16.4;17.3;9.7;8.7;4.5;11.6;22;28.8;35.5
C067;Gardea;141;48;18.3;42.8;11.7;20.1;19.7;24.8;10.1;20.2;3.4;24.8;37.6;48.0
C044;Gorbea;662;106.6;16.4;17.2;10.5;30.1;15.9;11.4;10;11.3;11.9;48;39.9;106.6
C048;Herrera;1188;36.2;11.6;10.4;4.7;24.7;23.8;18.2;19.7;5.4;19.7;12.4;26.3;36.2
C068;Ilarduia;596;52.2;25.3;39.2;15.4;16;24.7;19.6;24.8;10.3;17.5;22.7;56.5;56.5
C024;Iturrieta;987;31.6;20.3;28.6;11.3;21.2;19;6.6;21.8;13.9;23.4;18.2;41.6;41.6
C0A0;Kanpezu;550;20.7;16.4;28.5;6.8;18.1;24.5;18.9;5.8;4.3;30.7;8.8;18;30.7
C047;Kapildui;1173;35.3;18.1;10.6;7.1;19.8;19.6;17.8;20.6;10.6;16.9;21.9;32.1;35.3
