COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;SUMA
;;;;DÍAS DE PRECIPITACIÓN IGUAL O SUPERIOR A 1 mm;;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;BATURA
C076;Abetxuko;510;7;9;7;5;8;11;3;3;3;4;11;19;90
C056;Alegria;545;7;9;8;6;8;11;4;4;6;4;11;15;93
C035;Altube;618;9;10;10;8;8;10;4;7;8;6;12;20;112
C016;Arkauti;517;6;9;7;5;7;10;3;4;4;5;11;15;86
C034;Espejo;504;8;10;6;7;10;10;1;3;2;2;10;14;83
C0AA;Etura;549;9;10;6;5;7;11;4;3;3;5;13;14;90
C067;Gardea;141;8;10;7;6;9;13;6;7;12;5;14;18;115
C044;Gorbea;662;9;10;8;8;7;10;4;5;8;4;14;20;107
C048;Herrera;1188;8;10;9;6;8;11;4;7;4;5;13;15;100
C068;Ilarduia;596;10;12;11;6;8;11;4;4;5;7;16;19;113
C024;Iturrieta;987;9;10;10;7;8;12;4;9;9;7;15;18;118
C0A0;Kanpezu;550;7;11;7;4;9;10;2;5;3;3;10;15;86
C047;Kapildui;1173;8;10;10;7;8;12;5;9;8;6;12;16;111
C031;Moreda;490;4;9;3;2;9;8;4;4;2;4;7;11;67
C041;Navarrete;689;7;11;8;6;8;9;5;5;4;3;10;14;90
C055;Ozaeta;548;7;10;7;5;8;11;4;3;4;7;13;16;95
C060;Páganos;577;7;8;6;4;7;8;2;3;2;2;7;8;64
C030;Salvatierra;589;7;9;9;5;8;11;2;3;4;5;13;17;93
C051;Saratxo;230;8;9;7;6;8;11;4;6;11;3;13;17;103
C0A0;Sarria;655;9;10;10;8;9;11;3;6;10;7;16;20;119
C049;Subijana;537;8;10;5;5;9;10;2;3;2;4;12;14;84
C00B;Tobillas;700;;;;4;10;10;2;4;3;4;13;17;
C020;Trebiño;578;5;9;7;5;9;10;3;3;4;3;9;13;80
C070;Zaldiaran;980;7;8;5;4;6;10;4;4;6;6;10;12;82
C050;Zambrana;470;5;10;4;3;8;10;4;3;2;3;9;11;72
C0B1;Abusu (La Peña);23;8;8;9;8;9;11;7;11;12;7;15;20;125
C079;Amorebieta;65;8;10;10;8;9;9;7;10;13;7;16;22;129
C0C1;Aranguren;92;8;9;9;7;8;10;3;9;13;4;15;21;116
C061;Arboleda;329;8;9;8;8;10;14;9;11;14;7;15;20;133
C032;Areta;122;8;9;7;7;9;12;7;10;12;5;15;20;121
C002;Arteaga;19;8;10;12;8;6;9;7;9;15;5;15;22;126
C0C2;Balmaseda;178;8;9;8;8;7;9;4;6;11;5;14;19;108
C069;Bermeo;106;9;10;12;8;12;12;6;10;15;7;15;23;139
C0B6;Berna;95;9;10;11;8;8;12;7;8;14;9;16;20;132
C0BE;Berriatua;25;8;11;12;8;8;12;5;10;15;6;16;21;132
C065;Cerroja;677;8;9;8;8;9;10;3;8;14;5;13;20;115
C003;Derio;30;9;8;10;8;10;11;8;10;14;5;16;21;130
C039;Deusto;3;8;8;10;7;7;9;7;9;11;5;14;19;114
C075;Eitzaga;270;8;11;11;8;9;14;7;11;13;8;16;22;138
C074;Elorrio;167;8;10;11;8;9;15;8;9;12;7;16;19;132
C009;Galdakao;30;;;;;;;;11;12;6;15;20;
C038;Galindo;5;9;9;9;7;9;12;5;11;14;8;15;22;130
C033;Igorre;150;9;11;9;8;9;13;10;9;14;8;14;21;135
C0BD;Iruzubieta;110;8;11;12;8;8;15;7;11;15;7;16;21;139
C036;Iurreta;180;8;10;12;8;7;11;7;10;14;6;16;19;128
C045;La Garbea;717;8;8;9;8;8;11;6;11;14;7;11;20;121
C0B7;Mañaria;168;9;10;12;8;8;13;7;10;13;5;15;20;130
C019;Matxitxako;433;9;10;10;8;11;16;12;10;17;7;14;22;146
C057;Mungia;22;8;8;11;8;10;12;7;10;17;7;15;23;136
