COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;TEMPERATURA MÁXIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C076;Abetxuko;510;15.8;17.0;19.1;26.4;25.8;32.9;31.7;36.4;32.6;26.3;18.3;16.7;36.4
C0A4;Albaina;594;15.1;15.8;18.9;25.0;25.6;32.7;32.3;37.4;32.2;25.6;17.4;17.1;37.4
C056;Alegria;545;15.8;16.2;16.8;25.7;24.6;30.6;30.8;35.3;31.2;26.0;17.7;17.5;35.3
C035;Altube;618;15.7;16.9;16.8;25.6;23.7;29.4;28.9;33.7;30.7;25.7;17.1;17.9;33.7
C0A3;Antoñana;556;16.1;16.6;19.7;23.6;25.2;32.6;32.3;34.1;31.8;24.9;16.1;18.0;34.1
C016;Arkauti;517;15.6;16.8;17.9;25.8;24.7;31.5;30.3;35.2;31.5;26.0;17.8;16.9;35.2
C025;Beluntza;687;15.0;16.1;17.3;24.6;24.4;29.9;28.2;33.5;31.2;25.5;16.3;16.8;33.5
C0A2;Egino;573;14.6;16.4;17.1;23.4;23.5;29.6;28.2;33.3;31.3;25.6;15.8;17.2;33.3
C034;Espejo;504;17.3;17.0;19.3;24.2;26.4;32.2;32.3;36.7;33.4;25.7;16.8;18.4;36.7
C0AA;Etura;549;15.2;16.1;16.8;25.4;24.3;30.8;30.8;35.2;31.5;26.0;17.6;16.8;35.2
C067;Gardea;141;19.2;20.2;19.6;29.4;26.0;30.8;31.3;37.7;34.7;30.2;21.7;21.1;37.7
C040;Gasteiz;546;16.4;16.5;19.0;26.2;25.3;31.3;31.6;37.1;31.8;26.3;18.3;17.9;37.1
C044;Gorbea;662;15.0;14.9;15.6;24.0;22.6;28.9;27.1;32.0;29.9;24.5;16.7;15.4;32.0
C048;Herrera;1188;12.0;12.2;15.4;20.5;21.6;28.7;29.1;31.9;28.7;20.3;13.6;15.2;31.9
C068;Ilarduia;596;15.6;17.0;17.8;24.5;24.1;30.2;29.8;34.9;32.7;26.0;16.3;17.7;34.9
C024;Iturrieta;987;12.3;12.4;14.2;20.8;21.7;28.2;28.1;32.0;28.4;21.8;13.3;14.7;32.0
C00A;Kanpezu;550;16.1;16.1;20.0;23.2;25.8;32.6;33.0;36.0;32.7;25.3;16.4;17.6;36.0
