COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÁXIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;11.4;10.9;11.5;15.4;21.1;24.8;26.7;29.2;26.2;20.4;12.7;9.8;18.3
C056;Alegria;545;11.3;10.0;10.4;14.2;19.3;22.8;25.6;27.6;25.0;19.4;12.0;9.5;17.3
C035;Altube;618;12.0;10.8;10.9;14.5;19.8;22.4;24.0;27.4;24.9;19.3;12.7;11.7;17.5
C001;Arkaute;517;11.7;10.9;11.5;15.1;20.2;23.6;25.7;28.2;25.7;20.1;13.2;10.4;18.0
C025;Beluntza;687;10.1;8.9;9.2;12.4;18.0;21.0;22.9;26.9;24.0;18.0;11.2;10.1;16.1
C034;Espejo;504;11.1;11.3;11.6;15.1;20.4;24.7;28.2;29.8;26.8;20.8;13.1;9.4;18.5
C0AA;Etura;549;10.8;9.8;10.2;13.7;18.6;22.7;25.3;27.6;24.8;19.2;12.0;9.6;17.0
C067;Gardea;141;14.8;13.3;13.4;16.7;21.9;24.2;25.3;28.9;26.5;21.5;15.0;14.3;19.7
C040;Gasteiz;546;11.9;11.3;11.7;14.5;20.0;23.1;24.9;27.3;25.2;20.0;13.3;10.7;17.8
C044;Gorbea;662;10.5;9.4;9.4;12.4;17.6;20.6;22.1;24.8;23.0;17.6;11.3;9.6;15.7
C048;Herrera;1188;6.7;5.7;5.4;9.3;14.9;19.3;22.0;23.4;20.6;15.9;8.1;9.3;13.4
C068;Ilarduia;596;10.8;9.7;10.2;13.9;18.6;22.5;24.1;26.7;24.7;18.6;11.8;10.1;16.8
C024;Iturrieta;987;7.8;6.7;6.9;10.7;15.5;19.9;23.4;25.4;22.1;16.5;8.8;8.9;14.4
C00A;Kanpezu;550;10.1;10.4;10.8;14.6;19.1;24.7;28.3;29.3;25.8;19.9;12.1;9.9;17.9
C047;Kapildui;1173;6.3;5.2;5.0;9.3;14.1;18.2;20.8;22.5;19.7;14.8;7.2;7.8;12.6
C031;Moreda;490;10.9;11.9;12.6;16.2;21.2;26.7;30.1;30.9;27.3;21.2;13.4;9.8;19.4
C041;Navarrete;689;9.7;9.3;9.7;13.4;18.8;23.3;26.2;27.9;24.6;19.1;11.2;9.4;16.9
C055;Ozaeta;548;11.7;10.6;11.3;14.9;19.8;23.6;25.6;27.7;25.2;19.9;13.4;10.9;17.9
C060;Páganos;577;9.9;10.4;11.1;14.5;19.9;25.0;28.0;28.9;25.5;19.9;12.3;8.9;17.9
C021;Roitegi;980;8.4;7.1;7.4;11.3;16.0;20.6;24.2;26.1;23.0;17.2;9.5;9.5;15.0
C030;Salvatierra;589;10.9;9.8;10.5;14.2;19.4;23.7;27.0;29.3;26.2;20.3;12.3;10.6;17.8
C051;Saratxo;230;14.5;13.1;13.2;16.4;21.8;24.4;25.6;29.2;26.8;21.3;15.0;13.7;19.6
C0A0;Sarria;655;11.3;10.6;11.0;14.8;20.5;23.6;25.7;28.7;25.7;19.8;12.7;11.0;18.0
C049;Subijana;537;10.2;10.2;10.8;14.1;19.7;23.4;25.8;28.5;25.6;19.4;12.0;8.5;17.3
C020;Trebiño;578;10.3;9.9;10.4;14.1;19.3;23.9;27.1;28.7;25.5;19.7;11.6;8.2;17.4
C070;Zaldiaran;980;9.0;8.4;8.5;10.5;15.5;18.9;21.3;24.6;22.0;15.6;8.6;8.0;14.2
C050;Zambrana;470;11.2;11.5;12.0;15.6;21.1;25.6;28.7;30.4;27.3;20.7;13.3;8.8;18.9
C0B1;Abusu (La Peña);23;14.5;12.6;12.9;16.0;20.2;22.6;24.2;27.3;24.7;19.7;14.4;14.1;18.6
C079;Amorebieta;65;14.5;12.8;12.9;16.1;20.7;22.8;24.3;27.6;25.5;20.8;14.4;14.4;18.9
C0C1;Aranguren;92;16.8;15.2;15.3;18.2;23.1;25.7;26.9;30.2;28.2;23.8;16.9;16.8;21.4
C061;Arboleda;329;13.7;11.9;11.8;14.6;18.7;20.7;22.0;24.9;23.2;18.9;13.7;14.0;17.3
C032;Areta;122;14.6;13.1;13.2;16.2;21.3;23.7;24.8;28.1;25.8;20.9;15.0;14.0;19.2
C002;Arteaga;19;16.6;14.7;15.1;17.7;21.2;22.9;25.1;27.5;25.7;21.0;15.8;16.3;20.0
C0C2;Balmaseda;178;12.7;11.4;11.6;14.2;19.5;22.0;23.3;26.8;24.4;19.3;12.8;11.4;17.4
C069;Bermeo;106;15.4;13.6;13.7;16.4;19.8;21.5;23.9;26.4;24.4;19.7;14.9;15.5;18.8
C0B6;Berna;95;14.6;13.2;13.6;16.8;21.6;24.0;25.3;28.8;26.1;20.8;14.4;13.9;19.4
C0BE;Berriatua;25;16.4;14.6;14.5;17.4;21.1;22.7;24.6;26.6;25.3;20.6;15.5;16.0;19.6
C065;Cerroja;677;11.7;9.8;9.6;12.0;17.2;19.9;21.5;24.7;23.7;19.2;13.3;14.3;16.4
C003;Derio;30;15.4;13.7;14.0;17.0;21.0;23.4;24.9;27.8;25.9;21.3;15.4;15.3;19.6
C039;Deusto;3;16.2;14.3;14.3;16.9;20.5;22.4;24.4;26.9;25.1;20.8;15.9;16.0;19.5
C075;Eitzaga;270;15.0;13.5;13.7;17.8;23.1;25.6;26.3;29.4;27.1;21.8;15.2;15.2;20.3
C074;Elorrio;167;14.6;13.4;14.1;17.5;22.2;24.5;25.6;28.9;26.6;20.0;14.2;13.4;19.6
C038;Galindo;5;16.3;14.4;14.7;17.4;21.2;23.4;25.3;27.4;25.4;20.8;15.8;15.8;19.8
C033;Igorre;150;15.5;13.9;14.2;17.6;22.0;24.7;25.9;29.8;27.4;22.2;15.4;14.7;20.3
C0BD;Iruzubieta;110;14.7;13.2;13.2;16.1;20.2;22.4;23.8;26.8;24.9;20.1;14.1;14.3;18.7
C036;Iurreta;180;15.3;13.6;13.8;16.9;21.7;24.3;25.7;29.2;27.0;21.8;15.2;15.2;20.0
C045;La Garbea;717;11.0;9.6;9.8;12.4;17.9;20.9;22.1;25.7;23.1;18.6;11.9;11.8;16.2
C0B7;Mañaria;168;14.4;13.3;13.6;16.8;21.6;24.4;25.7;29.0;26.7;20.9;14.3;11.7;19.4
C019;Matxitxako;433;13.0;11.1;11.4;14.2;17.7;19.3;21.2;23.3;21.6;18.2;12.9;13.2;16.4
