COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;;TEMPERATURA MEDIA (ºC);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;6.8;5.9;6.5;9.2;13.6;17.0;19.3;20.0;17.8;12.4;7.5;5.1;11.8
C056;Alegria;545;6.9;5.8;6.3;8.8;13.2;16.5;19.1;20.1;17.8;12.6;7.5;5.0;11.6
C035;Altube;618;7.8;6.8;7.0;9.5;13.7;16.6;18.4;19.7;17.9;13.3;8.4;6.7;12.1
C001;Arkaute;517;7.1;6.1;6.8;9.1;13.3;16.7;19.1;19.6;17.7;12.5;7.7;5.0;11.7
C025;Beluntza;687;6.6;5.4;5.5;7.9;12.1;15.1;17.1;18.9;17.0;12.6;7.6;5.9;11.0
C034;Espejo;504;7.0;6.3;6.9;9.1;13.2;17.0;19.8;20.2;17.8;12.6;7.5;5.3;11.9
C0AA;Etura;549;6.7;5.6;6.1;8.6;12.8;16.3;19.0;19.7;17.6;12.3;7.5;4.7;11.4
C067;Gardea;141;9.7;8.6;8.7;11.6;15.4;18.0;20.0;21.0;19.2;14.8;10.2;8.9;13.8
C040;Gasteiz;546;8.8;7.8;8.1;10.3;14.7;17.8;19.8;20.9;19.0;14.7;9.7;7.3;13.2
C044;Gorbea;662;6.5;5.5;5.9;7.9;12.1;15.0;17.1;18.0;16.2;11.6;7.2;5.3;10.7
C048;Herrera;1188;4.1;3.0;2.6;5.2;10.2;14.1;16.6;17.8;15.8;11.8;5.8;6.5;9.4
C068;Ilarduia;596;6.8;6.0;6.1;9.0;13.0;16.4;18.8;20.2;18.0;13.0;7.9;5.7;11.8
C024;Iturrieta;987;4.3;3.4;3.5;6.4;10.5;14.1;17.1;18.3;15.7;10.7;5.3;4.2;9.5
C00A;Kanpezu;550;6.4;5.9;6.3;9.0;13.1;17.6;20.7;21.2;18.6;12.8;7.7;5.1;12.0
C047;Kapildui;1173;3.6;2.4;2.1;4.8;9.3;13.1;15.6;16.8;14.8;10.6;4.9;5.2;8.6
C031;Moreda;490;8.1;7.8;8.2;10.8;15.2;19.7;22.3;23.0;20.6;15.1;9.6;6.7;13.9
C041;Navarrete;689;5.7;4.8;5.3;8.0;12.4;16.1;18.8;19.5;17.1;11.6;6.5;3.9;10.8
C055;Ozaeta;548;7.3;6.2;6.9;9.7;13.9;17.2;19.5;19.9;17.9;12.4;8.2;5.0;12.0
C060;Páganos;577;7.0;6.7;7.0;9.6;14.1;18.4;20.8;21.6;19.0;13.7;8.3;5.4;12.6
C021;Roitegi;980;5.2;4.1;4.3;7.0;11.1;14.8;17.9;19.1;16.6;11.7;6.3;5.2;10.3
C030;Salvatierra;589;6.3;5.2;5.7;8.6;12.7;16.2;19.0;20.3;17.8;12.6;7.3;4.9;11.4
C051;Saratxo;230;10.1;8.8;8.8;11.5;15.3;18.2;20.0;21.1;19.4;14.9;10.3;8.6;13.9
C0A0;Sarria;655;7.1;6.3;6.8;9.1;13.6;16.7;18.6;19.1;17.3;12.5;8.2;6.1;11.8
C049;Subijana;537;6.2;5.3;6.2;8.4;12.9;16.6;19.1;19.8;17.5;12.1;7.1;4.8;11.3
C020;Trebiño;578;6.1;5.0;5.5;7.9;12.3;16.2;19.1;19.7;17.2;11.7;6.5;3.9;10.9
C070;Zaldiaran;980;6.3;5.6;5.3;6.1;10.3;13.6;15.7;17.6;15.9;11.3;5.9;5.2;9.9
