COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MIN
;;;;TEMPERATURA MÍNIMA ABSOLUTA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MIN
C076;Abetxuko;510;-3.5;-5.2;-2.8;-2.8;0.2;3.5;5.9;7.6;6.7;-0.6;-1.7;-3.8;-5.2
C056;Alegria;545;-3.0;-5.7;-2.3;-2.5;-1.3;4.5;4.6;6.7;7.5;-1.4;-1.2;-5.4;-5.7
C035;Altube;618;-1.4;-5.1;0.2;-1.2;-0.2;4.9;5.8;7.5;8.8;0.6;0.1;-3.8;-5.1
C001;Arkaute;517;-3.3;-5.0;-2.9;-2.8;-0.6;2.9;4.7;6.2;7.2;-1.5;-1.6;-4.7;-5.0
C025;Beluntza;687;-2.0;-5.6;-0.9;-1.9;1.2;6.3;7.2;8.9;8.3;2.5;0.6;-2.4;-5.6
C034;Espejo;504;-3.0;-5.6;-1.5;-3.2;-0.8;3.0;5.5;6.4;5.1;-1.8;-2.2;-6.0;-6.0
C0AA;Etura;549;-4.0;-7.6;-3.6;-3.4;-1.2;5.5;4.1;5.8;6.9;-2.7;-1.6;-5.7;-7.6
C067;Gardea;141;-0.2;-2.2;0.0;-0.1;2.6;7.6;8.9;10.2;10.4;3.6;1.1;-1.6;-2.2
C040;Gasteiz;546;-0.2;-1.4;0.8;1.0;3.8;9.0;10.5;12.2;10.0;4.6;1.5;-1.8;-1.8
C044;Gorbea;662;-1.0;-4.9;-0.5;-1.0;1.0;5.2;8.2;8.4;6.6;1.9;0.2;-3.0;-4.9
C048;Herrera;1188;-2.3;-6.5;-2.8;-1.4;-0.9;4.9;6.4;6.9;5.9;2.0;-1.2;-0.2;-6.5
C068;Ilarduia;596;-3.1;-7.6;-1.2;-2.8;0.6;6.2;7.0;7.2;7.3;0.3;-1.9;-6.3;-7.6
C024;Iturrieta;987;-8.8;-15.9;-3.8;-3.5;0.0;5.3;5.0;4.4;4.0;-1.6;-4.7;-5.5;-15.9
C00A;Kanpezu;550;-3.2;-4.4;-1.4;-2.9;0.0;6.3;7.6;8.8;5.1;-1.0;-0.8;-6.8;-6.8
C047;Kapildui;1173;-2.8;-7.1;-2.9;-1.8;-0.8;4.6;5.9;6.5;5.1;0.9;-1.3;-2.4;-7.1
C031;Moreda;490;0.6;-2.3;0.8;0.2;2.7;8.9;9.9;11.3;9.0;5.0;1.1;-2.4;-2.4
C041;Navarrete;689;-4.2;-5.8;-1.6;-4.4;-1.3;3.7;4.5;4.9;4.7;-2.2;-1.6;-7.2;-7.2
C055;Ozaeta;548;-3.4;-6.9;-3.5;-3.4;-0.1;6.0;6.1;6.2;6.6;-2.0;-2.8;-6.1;-6.9
C060;Páganos;577;-1.2;-3.7;0.1;-1.0;0.8;5.5;7.5;8.9;7.3;2.0;0.1;-3.7;-3.7
C021;Roitegi;980;-6.7;-10.4;-2.0;-3.1;0.3;6.2;7.9;5.6;5.2;-0.5;-4.1;-4.2;-10.4
C030;Salvatierra;589;-4.6;-10.3;-4.0;-3.8;-2.6;4.7;4.4;5.3;6.6;-1.8;-2.7;-6.6;-10.3
C051;Saratxo;230;-0.9;-3.0;1.1;-0.5;2.0;6.6;7.9;9.3;9.8;2.8;1.9;-1.6;-3.0
C0A0;Sarria;655;-1.3;-5.1;-0.3;-1.1;-0.4;4.5;5.7;7.3;6.6;1.6;-0.9;-3.9;-5.1
C049;Subijana;537;-4.4;-6.7;-0.9;-3.7;-1.6;2.5;6.2;7.0;6.7;-0.3;-1.7;-4.0;-6.7
C020;Trebiño;578;-4.9;-7.6;-3.3;-4.9;-1.6;1.6;3.7;4.7;6.4;-2.6;-2.1;-6.7;-7.6
C070;Zaldiaran;980;0.6;-3.0;-0.5;-0.9;0.2;6.0;6.7;7.6;6.4;3.1;-1.3;-4.2;-4.2
C050;Zambrana;470;-2.1;-4.6;-0.8;-2.4;0.1;4.5;6.7;7.5;6.4;-0.1;-1.2;-3.4;-4.6
C0B1;Abusu (La Peña);23;0.4;-2.2;1.8;0.9;2.2;9.1;9.2;11.4;11.0;4.6;2.8;-0.1;-2.2
C079;Amorebieta;65;-0.5;-2.6;-0.6;0.0;1.9;9.2;8.1;9.6;9.8;3.0;0.1;-2.2;-2.6
C0C1;Aranguren;92;1.6;-0.2;2.0;1.7;3.6;8.8;10.6;11.3;11.9;5.0;1.2;-0.3;-0.3
C061;Arboleda;329;2.9;-0.2;1.9;3.0;4.0;9.8;10.1;11.5;10.0;6.3;4.1;0.7;-0.2
C032;Areta;122;-0.7;-2.5;0.0;-0.7;2.2;7.7;8.1;9.4;10.2;2.9;2.2;-1.7;-2.5
C002;Arteaga;19;2.1;-0.4;0.8;1.6;3.8;10.5;10.3;11.6;10.8;4.3;1.8;0.0;-0.4
C0C2;Balmaseda;178;-3.0;-4.5;-2.2;-2.8;-0.9;4.5;5.8;6.8;6.4;0.5;-2.2;-4.7;-4.7
C069;Bermeo;106;5.1;2.7;4.9;6.4;6.7;11.7;13.8;15.0;13.1;8.3;5.9;3.3;2.7
C0B6;Berna;95;-0.6;-2.1;-0.9;0.0;1.4;9.0;7.6;9.0;9.4;2.8;0.2;-2.5;-2.5
C0BE;Berriatua;25;3.5;0.5;2.4;2.7;3.9;10.8;10.9;11.9;11.7;5.0;3.3;0.8;0.5
