COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;TEMPERATURA MÍNIMA MEDIA (ºC);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C076;Abetxuko;510;1.7;0.2;3.2;6.3;6.9;11.2;14.3;12.9;11.6;6.9;4.7;1.9;6.8
C0A4;Albaina;594;0.9;0.0;2.3;5.4;5.8;9.9;12.9;11.9;10.6;6.1;4.0;0.8;5.9
C056;Alegria;545;2.0;0.3;3.4;7.2;7.1;11.5;14.0;12.8;11.8;7.5;5.6;2.2;7.1
C035;Altube;618;1.2;-0.6;2.5;6.1;6.8;10.8;13.4;12.2;11.3;6.9;4.8;1.4;6.4
C0A3;Antoñana;556;1.1;-0.6;1.3;4.5;5.8;9.7;12.5;11.9;10.6;6.2;3.7;1.4;5.7
C016;Arkauti;517;2.1;0.5;3.4;6.9;7.4;11.6;14.4;13.2;12.1;7.4;5.2;2.2;7.2
C025;Beluntza;687;2.2;-0.4;2.6;6.2;6.8;11.1;13.6;13.0;12.1;7.5;5.2;3.6;7.0
C0A2;Egino;573;1.3;-0.5;2.5;5.8;6.2;10.7;13.6;13.1;11.7;7.2;5.4;1.9;6.6
C034;Espejo;504;1.4;0.8;3.5;5.6;6.5;10.7;13.9;12.3;10.8;6.1;4.6;0.9;6.4
C0AA;Etura;549;1.4;0.2;2.9;5.8;6.3;10.5;13.3;12.2;10.8;6.7;4.7;1.6;6.4
C067;Gardea;141;4.3;2.4;5.7;9.3;9.4;13.6;16.7;15.3;14.1;9.4;7.1;4.3;9.3
C040;Gasteiz;546;4.7;2.7;5.5;8.9;9.6;13.6;16.8;16.6;15.0;9.9;7.6;5.6;9.7
C044;Gorbea;662;1.4;-0.1;1.9;5.1;6.3;10.4;13.4;12.7;11.0;6.7;4.1;1.9;6.2
C048;Herrera;1188;1.6;-2.0;0.6;5.1;6.6;11.4;13.5;13.1;12.5;6.7;4.4;4.2;6.5
C068;Ilarduia;596;1.9;0.1;3.3;6.7;6.9;11.4;14.3;13.7;12.4;7.8;5.8;2.4;7.2
C024;Iturrieta;987;-0.7;-3.0;0.3;4.0;4.5;8.9;11.1;10.4;9.3;4.8;3.0;0.0;4.4
C00A;Kanpezu;550;2.1;0.7;2.7;5.3;7.3;11.6;14.4;14.2;12.7;7.8;4.7;2.9;7.2
C047;Kapildui;1173;1.5;-2.1;0.3;4.4;6.0;11.0;13.3;13.1;12.5;6.6;4.2;4.2;6.3
C031;Moreda;490;4.5;2.4;5.2;8.5;10.0;14.4;17.2;17.0;15.3;10.0;7.2;5.8;9.8
C041;Navarrete;689;0.8;-0.3;2.1;4.9;6.0;10.3;12.9;11.7;10.8;6.4;3.9;1.4;5.9
