COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;MEDIA DE LAS VELOCIDADES MÁXIMAS (km/h);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C056;Alegria;545;31.8;35.3;37.5;40.0;33.9;34.9;32.1;30.8;30.9;31.8;47.2;34.9;35.1
C035;Altube;618;31.2;31.1;36.0;36.0;31.2;33.4;32.5;30.6;28.9;27.9;39.0;34.9;32.7
C016;Arkauti;517;36.1;31.4;39.2;40.3;38.5;41.2;39.1;37.9;34.7;34.1;45.4;34.5;37.7
C025;Beluntza;687;48.7;44.7;48.9;51.3;45.5;47.2;45.1;42.3;43.9;43.2;60.1;54.2;47.9
C034;Espejo;504;29.7;27.0;34.5;32.9;33.0;34.2;35.2;31.8;32.9;28.2;40.7;31.7;32.6
C0AA;Etura;549;36.1;33.8;38.4;40.9;36.5;37.1;36.5;35.2;34.7;33.2;45.4;36.8;37.0
C067;Gardea;141;24.7;34.4;35.4;36.4;29.6;34.4;29.7;30.6;30.9;30.0;36.0;36.7;32.4
C040;Gasteiz;546;39.5;33.7;43.5;44.9;41.7;45.0;41.6;42.2;38.8;37.0;52.3;39.5;41.7
C048;Herrera;1188;61.3;54.8;56.0;54.9;54.3;48.3;44.2;41.4;49.1;50.0;75.4;64.4;54.5
C068;Ilarduia;596;42.9;44.6;48.0;51.7;44.9;54.6;52.5;51.4;47.2;44.2;48.1;43.1;47.8
C024;Iturrieta;987;46.5;42.7;43.5;45.6;44.4;43.3;38.0;34.9;38.6;39.6;56.3;47.3;43.4
C00A;Kanpezu;550;41.7;37.4;38.6;42.9;38.3;41.5;36.8;34.1;34.7;33.6;48.8;40.6;39.1
C047;Kapildui;1173;57.6;53.1;54.6;53.7;49.9;50.1;44.1;40.3;50.1;49.7;74.7;62.0;53.3
C031;Moreda;490;46.7;39.3;42.2;43.6;45.3;44.4;45.2;42.5;39.3;38.3;54.1;46.1;43.9
C041;Navarrete;689;33.9;36.2;39.4;43.4;34.7;39.3;31.0;30.7;33.0;33.2;52.9;39.6;37.3
C060;Páganos;577;50.3;42.2;44.2;42.7;44.0;42.1;36.2;33.9;38.5;36.0;53.3;45.6;42.4
C021;Roitegi;980;51.0;47.4;49.2;48.2;47.3;47.2;42.7;37.7;42.7;43.7;58.9;50.1;47.2
C030;Salvatierra;589;34.5;34.6;37.9;38.1;34.0;38.0;36.7;34.7;33.7;34.3;41.9;35.5;36.2
C051;Saratxo;230;26.8;32.8;35.3;35.6;29.3;35.1;30.5;30.9;29.7;31.3;43.3;37.0;33.1
C00B;Tobillas;700;32.3;31.5;38.0;40.2;36.4;35.6;33.0;35.8;34.9;37.2;52.0;41.8;37.4
C020;Trebiño;546;38.9;35.6;40.4;43.4;38.6;41.4;40.1;39.2;38.0;36.2;52.4;42.1;40.5
