COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MED
;;;;VELOCIDAD MEDIA (km/h);;;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;B/B
C056;Alegria;545;12.3;10.9;10.3;;7.1;;;;;4.6;7.2;4.9;
C035;Altube;618;7.2;7.3;7.1;7.8;7.2;6.3;6.6;6.3;6.3;5.1;6.2;5.9;6.6
C001;Arkaute;517;11.3;9.3;9.1;8.6;6.4;6.6;7.8;7.0;5.9;3.8;5.6;2.6;7.0
C025;Beluntza;687;20.5;19.3;18.8;19.9;18.2;14.7;15.3;16.1;16.1;14.5;18.3;20.4;17.7
C034;Espejo;504;8.2;7.3;7.5;8.3;6.5;6.0;7.2;6.9;5.7;5.3;5.8;4.8;6.6
C0AA;Etura;549;10.9;11.2;11.4;11.0;10.9;;;;;;8.7;5.9;
C067;Gardea;141;9.3;7.9;6.8;8.2;7.3;6.3;6.0;6.8;6.1;5.8;7.5;9.0;7.2
C040;Gasteiz;546;11.4;10.1;10.4;10.3;10.1;8.9;10.4;9.3;7.6;5.8;8.2;5.5;9.0
C048;Herrera;1188;27.1;22.8;22.0;19.0;16.5;14.6;13.8;15.0;14.1;12.0;18.7;13.1;17.4
C068;Ilarduia;596;14.7;13.9;13.7;14.6;14.0;12.5;14.5;14.3;13.1;12.3;12.3;10.7;13.4
C024;Iturrieta;987;16.0;16.1;15.7;14.4;14.5;10.7;9.8;11.3;11.2;10.5;14.3;10.6;12.9
C00A;Kanpezu;550;12.2;13.3;11.9;10.6;12.4;10.2;10.6;11.5;10.3;9.4;11.5;10.1;11.2
C047;Kapildui;1173;28.8;24.6;23.8;20.5;19.5;16.8;16.1;18.8;16.8;14.7;21.4;16.6;19.9
C031;Moreda;490;12.9;15.4;14.7;14.3;15.4;13.7;13.7;14.7;12.6;11.2;13.8;10.3;13.6
C041;Navarrete;689;13.0;11.3;10.5;10.1;11.5;7.4;7.6;8.6;8.2;7.1;10.1;8.6;9.5
C060;Páganos;577;14.6;15.4;14.8;12.9;13.0;8.9;7.7;9.4;8.8;7.6;11.9;9.2;11.2
C021;Roitegi;980;18.7;20.8;21.2;18.5;17.5;12.8;12.9;14.5;14.0;12.5;16.9;12.3;16.1
C030;Salvatierra;589;9.6;9.9;10.3;10.1;8.6;6.7;7.9;8.4;7.5;5.7;6.8;4.8;8.0
