COD.;ESTACION;cota (m);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;MAX
;;;;;VELOCIDAD DE LA RACHA MÁXIMA (km/h);;;;;;;;;;
KOD.;ESTAZIOA;kota (m);URT;OTS;MAR;API;MAI;EKA;UZT;ABU;IRA;URR;AZA;ABE;MAX
C056;Alegria;545;78.5;107.6;59.8;52.6;58.3;64.1;76.0;46.1;45.7;59.4;50.4;108.0;108.0
C035;Altube;618;51.8;97.9;53.3;45.4;60.1;52.6;51.5;47.5;37.8;40.7;46.4;100.4;100.4
C016;Arkauti;517;49.0;107.6;71.3;55.1;70.2;69.5;104.0;76.0;61.9;44.6;60.5;107.3;107.6
C025;Beluntza;687;85.7;149.0;78.1;74.2;82.4;109.8;88.6;74.9;70.2;59.4;72.4;126.4;149.0
C034;Espejo;504;46.8;96.5;52.2;56.9;58.0;80.3;53.3;42.8;46.4;37.8;62.6;95.8;96.5
C0AA;Etura;549;79.2;107.6;65.5;70.2;71.3;80.6;65.5;60.1;58.0;56.9;52.9;88.6;107.6
C067;Gardea;141;69.8;97.2;52.6;64.4;58.3;51.5;61.9;51.1;47.9;63.0;70.6;98.3;98.3
C040;Gasteiz;546;61.2;123.1;69.1;62.6;72.7;79.9;74.5;52.6;58.7;52.2;63.7;143.3;143.3
C048;Herrera;1188;94.3;135.0;91.8;86.0;85.7;81.4;77.8;66.2;72.7;67.7;85.0;101.5;135.0
C068;Ilarduia;596;122.0;147.2;86.4;72.7;96.5;70.6;83.2;78.5;60.8;71.3;64.8;81.0;147.2
C024;Iturrieta;987;82.8;130.7;73.1;59.4;77.4;72.7;69.8;61.9;63.0;64.1;63.7;88.2;130.7
C00A;Kanpezu;550;91.4;118.8;72.0;69.8;68.8;54.4;68.0;47.9;60.5;56.2;55.8;72.7;118.8
C047;Kapildui;1173;90.4;140.8;92.9;78.5;78.5;87.8;84.6;60.8;67.0;62.6;76.0;121.3;140.8
